## SLURM PROLOG ###############################################################
##    Job ID : 357399
##  Job Name : ah_stage_c_train
##  Nodelist : gpu2501
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Thu Feb 12 01:50:34 PM EST 2026
###############################################################################
Job: ah_stage_c_train (357399)
Node: gpu2501
Date: Thu Feb 12 01:50:34 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage C training with config: quadro_stage_c_fcpa
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_c_fcpa
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fcpa', BETTING_ABSTRACTION='fcpa', PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=512, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.5, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=50, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', WANDB_PROJECT='alpha-holdem-poker', WANDB_RUN_NAME='', WANDB_MODE='offline', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=9000, target_iterations=20000, device=cuda, run_id=20260212_185050
[iter=9005] rollout_mean_bb=8.7514 policy_loss=-0.002788 value_loss=0.901437
[iter=9010] rollout_mean_bb=5.5097 policy_loss=-0.003341 value_loss=0.900152
[iter=9015] rollout_mean_bb=9.1761 policy_loss=-0.002205 value_loss=1.047536
[iter=9020] rollout_mean_bb=12.6245 policy_loss=0.000454 value_loss=0.825687
[iter=9025] rollout_mean_bb=4.6822 policy_loss=-0.001973 value_loss=0.851447
[iter=9030] rollout_mean_bb=1.2050 policy_loss=-0.001500 value_loss=0.915498
[iter=9035] rollout_mean_bb=9.0661 policy_loss=-0.000361 value_loss=0.732865
[iter=9040] rollout_mean_bb=6.6112 policy_loss=0.001438 value_loss=0.790241
[iter=9045] rollout_mean_bb=4.1644 policy_loss=0.001537 value_loss=0.640829
[iter=9050] rollout_mean_bb=5.3683 policy_loss=0.002722 value_loss=0.630130
[iter=9055] rollout_mean_bb=11.1690 policy_loss=-0.000567 value_loss=0.789503
[iter=9060] rollout_mean_bb=-0.3684 policy_loss=0.002269 value_loss=0.917883
[iter=9065] rollout_mean_bb=0.8711 policy_loss=-0.000533 value_loss=1.082297
[iter=9070] rollout_mean_bb=5.6171 policy_loss=-0.080139 value_loss=0.874287
[iter=9075] rollout_mean_bb=12.2185 policy_loss=0.000481 value_loss=1.160572
[iter=9080] rollout_mean_bb=9.3465 policy_loss=0.001898 value_loss=1.137408
[iter=9085] rollout_mean_bb=1.4877 policy_loss=0.141040 value_loss=0.983279
[iter=9090] rollout_mean_bb=2.3520 policy_loss=0.002017 value_loss=1.430402
[iter=9095] rollout_mean_bb=1.6979 policy_loss=-0.071247 value_loss=2.219332
[iter=9100] rollout_mean_bb=6.6545 policy_loss=-0.001860 value_loss=1.065205
[iter=9105] rollout_mean_bb=5.5068 policy_loss=0.015841 value_loss=0.839085
[iter=9110] rollout_mean_bb=4.7773 policy_loss=0.003884 value_loss=0.858607
[iter=9115] rollout_mean_bb=9.6124 policy_loss=0.001881 value_loss=1.043801
[iter=9120] rollout_mean_bb=0.8690 policy_loss=0.048041 value_loss=0.667434
[iter=9125] rollout_mean_bb=2.5247 policy_loss=-0.000119 value_loss=1.031550
[iter=9130] rollout_mean_bb=-0.5449 policy_loss=-0.000276 value_loss=1.402824
[iter=9135] rollout_mean_bb=8.9023 policy_loss=0.008406 value_loss=1.444729
[iter=9140] rollout_mean_bb=12.5271 policy_loss=0.006868 value_loss=1.312146
[iter=9145] rollout_mean_bb=3.6869 policy_loss=0.000986 value_loss=1.562565
[iter=9150] rollout_mean_bb=4.2720 policy_loss=-0.000993 value_loss=1.634269
[iter=9155] rollout_mean_bb=8.2826 policy_loss=0.000037 value_loss=1.524233
[iter=9160] rollout_mean_bb=-1.8857 policy_loss=0.004408 value_loss=1.483693
[iter=9165] rollout_mean_bb=9.5990 policy_loss=0.015512 value_loss=1.687821
[iter=9170] rollout_mean_bb=10.2318 policy_loss=0.045777 value_loss=1.368139
[iter=9175] rollout_mean_bb=11.5065 policy_loss=-0.023204 value_loss=1.872660
[iter=9180] rollout_mean_bb=3.2266 policy_loss=-0.002165 value_loss=1.776857
[iter=9185] rollout_mean_bb=5.0168 policy_loss=-0.505940 value_loss=2.545328
[iter=9190] rollout_mean_bb=10.5578 policy_loss=0.000495 value_loss=1.457151
[iter=9195] rollout_mean_bb=7.0560 policy_loss=0.052488 value_loss=1.487525
[iter=9200] rollout_mean_bb=1.5990 policy_loss=-0.001581 value_loss=1.622803
[iter=9205] rollout_mean_bb=8.4115 policy_loss=0.083765 value_loss=1.768561
[iter=9210] rollout_mean_bb=8.5703 policy_loss=-0.018215 value_loss=1.910842
[iter=9215] rollout_mean_bb=9.5456 policy_loss=-0.005602 value_loss=1.900742
[iter=9220] rollout_mean_bb=7.8841 policy_loss=0.018166 value_loss=1.835702
[iter=9225] rollout_mean_bb=12.6042 policy_loss=0.002392 value_loss=1.903595
[iter=9230] rollout_mean_bb=5.4727 policy_loss=0.011106 value_loss=1.614566
[iter=9235] rollout_mean_bb=19.5651 policy_loss=-0.002046 value_loss=1.656001
[iter=9240] rollout_mean_bb=14.3854 policy_loss=0.001024 value_loss=1.926157
[iter=9245] rollout_mean_bb=9.0234 policy_loss=0.007435 value_loss=1.913921
[iter=9250] rollout_mean_bb=1.7917 policy_loss=-0.006923 value_loss=2.284634
[iter=9255] rollout_mean_bb=6.9727 policy_loss=0.011495 value_loss=2.081952
[iter=9260] rollout_mean_bb=7.7057 policy_loss=0.007444 value_loss=2.179268
[iter=9265] rollout_mean_bb=8.8086 policy_loss=0.009880 value_loss=2.145931
[iter=9270] rollout_mean_bb=3.0391 policy_loss=-0.000432 value_loss=2.206207
[iter=9275] rollout_mean_bb=10.9479 policy_loss=0.001668 value_loss=2.052451
[iter=9280] rollout_mean_bb=13.4284 policy_loss=-0.005622 value_loss=2.134412
[iter=9285] rollout_mean_bb=2.9479 policy_loss=-0.008029 value_loss=1.880636
[iter=9290] rollout_mean_bb=11.2266 policy_loss=-0.006906 value_loss=1.651710
[iter=9295] rollout_mean_bb=8.1992 policy_loss=-0.001137 value_loss=1.593082
[iter=9300] rollout_mean_bb=11.6289 policy_loss=-0.003684 value_loss=1.732668
[iter=9305] rollout_mean_bb=6.4727 policy_loss=0.002242 value_loss=1.863818
[iter=9310] rollout_mean_bb=4.6276 policy_loss=-0.008488 value_loss=1.643680
[iter=9315] rollout_mean_bb=7.2930 policy_loss=-0.000297 value_loss=1.599866
[iter=9320] rollout_mean_bb=1.7292 policy_loss=-0.004721 value_loss=1.716295
[iter=9325] rollout_mean_bb=10.7109 policy_loss=0.001005 value_loss=1.874671
