## SLURM PROLOG ###############################################################
##    Job ID : 354303
##  Job Name : ah_stage_a_train
##  Nodelist : gpu2111
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Thu Feb 12 07:49:39 AM EST 2026
###############################################################################
Job: ah_stage_a_train (354303)
Node: gpu2111
Date: Thu Feb 12 07:49:39 AM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage A training with config: quadro_stage_a
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_a
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fcpa', BETTING_ABSTRACTION='fcpa', PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=1500, ROLLOUT_EPISODES=128, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=192, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.015, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=192, K_BEST=8, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=2.0, SNAPSHOT_INTERVAL=50, LR=0.0001, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=2, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=3000, EVAL_BASELINE_SEEDS=2, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=3000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BB_SIZE=100.0, CHECKPOINT_FREQ=40, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='', RUN_ID='', WANDB_PROJECT='alpha-holdem-poker', WANDB_RUN_NAME='', WANDB_MODE='offline', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=0, target_iterations=1500, device=cuda, run_id=20260212_124946
[iter=5] rollout_mean_bb=9.3534 policy_loss=0.941646 value_loss=3.157758
[iter=10] rollout_mean_bb=-5.2690 policy_loss=-0.003891 value_loss=1.805249
[iter=15] rollout_mean_bb=6.1861 policy_loss=0.004709 value_loss=1.084633
[iter=20] rollout_mean_bb=-5.6813 policy_loss=-0.002323 value_loss=2.046796
[iter=25] rollout_mean_bb=-2.5578 policy_loss=-0.006861 value_loss=0.878730
[iter=30] rollout_mean_bb=4.9673 policy_loss=-0.000973 value_loss=1.920021
[iter=35] rollout_mean_bb=5.4094 policy_loss=0.000599 value_loss=2.186839
[iter=40] rollout_mean_bb=20.9085 policy_loss=-0.001476 value_loss=2.089248
[iter=45] rollout_mean_bb=-0.4901 policy_loss=-0.016084 value_loss=1.025916
[iter=50] rollout_mean_bb=6.3241 policy_loss=0.002774 value_loss=1.670694
[iter=55] rollout_mean_bb=15.7891 policy_loss=0.001496 value_loss=2.292569
[iter=60] rollout_mean_bb=5.3725 policy_loss=0.000677 value_loss=1.929038
[iter=65] rollout_mean_bb=6.7987 policy_loss=-0.002913 value_loss=2.165373
[iter=70] rollout_mean_bb=16.6454 policy_loss=0.001369 value_loss=2.053419
[iter=75] rollout_mean_bb=-0.8033 policy_loss=0.000612 value_loss=2.065492
[iter=80] rollout_mean_bb=-6.2020 policy_loss=0.001715 value_loss=2.564702
[iter=85] rollout_mean_bb=13.7355 policy_loss=0.000921 value_loss=2.238754
[iter=90] rollout_mean_bb=-15.9776 policy_loss=0.000997 value_loss=2.539142
[iter=95] rollout_mean_bb=5.3534 policy_loss=-0.000659 value_loss=2.489933
[iter=100] rollout_mean_bb=6.8025 policy_loss=0.001888 value_loss=3.074413
[iter=105] rollout_mean_bb=25.5875 policy_loss=-0.226185 value_loss=2.652755
[iter=110] rollout_mean_bb=0.2909 policy_loss=0.000769 value_loss=3.087282
[iter=115] rollout_mean_bb=-18.6636 policy_loss=-0.000890 value_loss=3.220171
[iter=120] rollout_mean_bb=-2.2550 policy_loss=-0.001951 value_loss=3.268296
[iter=125] rollout_mean_bb=-16.7565 policy_loss=0.000061 value_loss=3.543890
[iter=130] rollout_mean_bb=25.6846 policy_loss=0.691921 value_loss=4.078578
[iter=135] rollout_mean_bb=-23.6013 policy_loss=-0.001662 value_loss=3.311905
[iter=140] rollout_mean_bb=5.2660 policy_loss=-0.004555 value_loss=3.619643
[iter=145] rollout_mean_bb=13.0292 policy_loss=-0.004845 value_loss=3.140955
[iter=150] rollout_mean_bb=11.9507 policy_loss=-0.001688 value_loss=3.300826
[iter=155] rollout_mean_bb=-10.3766 policy_loss=0.000718 value_loss=3.184668
[iter=160] rollout_mean_bb=-44.3922 policy_loss=0.001894 value_loss=3.209351
[iter=165] rollout_mean_bb=1.8355 policy_loss=-0.007710 value_loss=3.843606
[iter=170] rollout_mean_bb=-13.5233 policy_loss=0.000735 value_loss=2.628948
[iter=175] rollout_mean_bb=2.5235 policy_loss=-0.000278 value_loss=2.854633
[iter=180] rollout_mean_bb=-7.3776 policy_loss=0.004232 value_loss=2.372073
[iter=185] rollout_mean_bb=-5.4000 policy_loss=-0.752497 value_loss=3.525127
[iter=190] rollout_mean_bb=-14.7123 policy_loss=0.000834 value_loss=2.297111
