## SLURM PROLOG ###############################################################
##    Job ID : 354385
##  Job Name : ah_stage_b_train
##  Nodelist : gpu2264
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Thu Feb 12 09:05:10 AM EST 2026
###############################################################################
Job: ah_stage_b_train (354385)
Node: gpu2264
Date: Thu Feb 12 09:05:10 AM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage B training with config: quadro_stage_b
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_b
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fcpa', BETTING_ABSTRACTION='fcpa', PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=9000, ROLLOUT_EPISODES=256, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.015, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=192, K_BEST=8, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=2.0, SNAPSHOT_INTERVAL=50, LR=0.0001, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=2, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BB_SIZE=100.0, CHECKPOINT_FREQ=40, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='', RUN_ID='', WANDB_PROJECT='alpha-holdem-poker', WANDB_RUN_NAME='', WANDB_MODE='offline', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=0, target_iterations=9000, device=cuda, run_id=20260212_140526
[iter=5] rollout_mean_bb=12.3652 policy_loss=0.051242 value_loss=2.073306
[iter=10] rollout_mean_bb=-12.8789 policy_loss=-0.011480 value_loss=2.576809
[iter=15] rollout_mean_bb=-3.1719 policy_loss=0.000025 value_loss=2.335103
[iter=20] rollout_mean_bb=6.5195 policy_loss=-0.000280 value_loss=2.755537
[iter=25] rollout_mean_bb=4.3008 policy_loss=-0.033940 value_loss=2.929762
[iter=30] rollout_mean_bb=2.8535 policy_loss=-0.031106 value_loss=2.732022
[iter=35] rollout_mean_bb=3.0215 policy_loss=-0.007875 value_loss=2.818083
[iter=40] rollout_mean_bb=-1.3477 policy_loss=0.001158 value_loss=2.678579
[iter=45] rollout_mean_bb=1.0625 policy_loss=0.002718 value_loss=2.889413
[iter=50] rollout_mean_bb=-0.0781 policy_loss=-0.002126 value_loss=2.918863
[iter=55] rollout_mean_bb=10.0215 policy_loss=-0.013819 value_loss=3.232486
[iter=60] rollout_mean_bb=-2.5801 policy_loss=-0.001349 value_loss=3.721861
[iter=65] rollout_mean_bb=11.0078 policy_loss=0.002388 value_loss=3.407959
[iter=70] rollout_mean_bb=5.6621 policy_loss=0.001622 value_loss=3.759698
[iter=75] rollout_mean_bb=-5.3750 policy_loss=-0.049978 value_loss=3.738467
[iter=80] rollout_mean_bb=13.0430 policy_loss=0.021071 value_loss=3.597138
[iter=85] rollout_mean_bb=13.8301 policy_loss=0.006125 value_loss=3.728170
[iter=90] rollout_mean_bb=-4.2383 policy_loss=0.004112 value_loss=3.512780
[iter=95] rollout_mean_bb=12.3320 policy_loss=0.004491 value_loss=3.565822
[iter=100] rollout_mean_bb=12.8691 policy_loss=0.000363 value_loss=3.545003
[iter=105] rollout_mean_bb=-6.9414 policy_loss=0.000153 value_loss=3.952645
[iter=110] rollout_mean_bb=20.6016 policy_loss=-0.004818 value_loss=4.033702
[iter=115] rollout_mean_bb=-12.8535 policy_loss=0.006152 value_loss=4.016367
[iter=120] rollout_mean_bb=1.4355 policy_loss=0.001818 value_loss=3.919270
[iter=125] rollout_mean_bb=-2.7188 policy_loss=0.004166 value_loss=4.087494
[iter=130] rollout_mean_bb=15.0781 policy_loss=0.004249 value_loss=3.948487
[iter=135] rollout_mean_bb=-4.3730 policy_loss=-0.003572 value_loss=3.993485
[iter=140] rollout_mean_bb=7.9082 policy_loss=-0.002275 value_loss=4.058452
[iter=145] rollout_mean_bb=-5.3438 policy_loss=-0.001081 value_loss=3.999487
[iter=150] rollout_mean_bb=-10.5234 policy_loss=0.007727 value_loss=4.255949
[iter=155] rollout_mean_bb=17.3379 policy_loss=-0.041658 value_loss=4.156270
[iter=160] rollout_mean_bb=10.9160 policy_loss=0.025386 value_loss=4.364265
[iter=165] rollout_mean_bb=16.1914 policy_loss=0.004549 value_loss=4.184655
[iter=170] rollout_mean_bb=9.7051 policy_loss=-0.008663 value_loss=4.265004
[iter=175] rollout_mean_bb=-8.6562 policy_loss=-0.044569 value_loss=4.111332
[iter=180] rollout_mean_bb=2.2402 policy_loss=-0.048238 value_loss=4.368817
[iter=185] rollout_mean_bb=-14.4902 policy_loss=0.001759 value_loss=4.198335
[iter=190] rollout_mean_bb=-2.4609 policy_loss=0.001248 value_loss=3.563413
