## SLURM PROLOG ###############################################################
##    Job ID : 373427
##  Job Name : ah_stage_d_fchpa_cont12k_train
##  Nodelist : gpu1414
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Fri Feb 13 10:58:21 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_cont12k_train (373427)
Node: gpu1414
Date: Fri Feb 13 10:58:21 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D FCHPA continuation training:
  config=quadro_stage_d_fchpa_continue_12k_tuned
  strict_abstraction=true
  wandb_mode=online
  wandb_group=stage_d_fchpa_continue_12k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_continue_12k_tuned
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=12000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=768, SELF_PLAY_TEMPERATURE_START=1.05, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.8, PPO_ENTROPY_COEF_START=0.004, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.8, LEAGUE_RANDOM_OPPONENT_PROB=0.1, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.25, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.06, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_continue_12k_tuned', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=9000, target_iterations=12000, device=cuda, run_id=20260214_035828
[iter=9005] rollout_mean_bb=1.2484 policy_loss=0.005422 value_loss=1.641172
[iter=9010] rollout_mean_bb=12.5067 policy_loss=0.026377 value_loss=2.056247
[iter=9015] rollout_mean_bb=1.1937 policy_loss=0.024686 value_loss=1.707989
[iter=9020] rollout_mean_bb=6.6272 policy_loss=-0.016468 value_loss=1.782955
[iter=9025] rollout_mean_bb=11.0022 policy_loss=-0.009646 value_loss=1.608477
[iter=9030] rollout_mean_bb=11.0382 policy_loss=0.011361 value_loss=1.369614
[iter=9035] rollout_mean_bb=12.7189 policy_loss=-0.001667 value_loss=1.658374
[iter=9040] rollout_mean_bb=15.0351 policy_loss=-0.008533 value_loss=2.241685
[iter=9045] rollout_mean_bb=3.4674 policy_loss=-0.038545 value_loss=2.193398
[iter=9050] rollout_mean_bb=7.7591 policy_loss=0.014916 value_loss=2.014597
[iter=9055] rollout_mean_bb=2.4206 policy_loss=0.005507 value_loss=3.283766
[iter=9060] rollout_mean_bb=10.3074 policy_loss=-0.039712 value_loss=3.182001
[iter=9065] rollout_mean_bb=-1.3464 policy_loss=0.034927 value_loss=3.382910
[iter=9070] rollout_mean_bb=0.1990 policy_loss=0.016045 value_loss=3.227381
[iter=9075] rollout_mean_bb=1.2585 policy_loss=0.007430 value_loss=2.771904
[iter=9080] rollout_mean_bb=5.7364 policy_loss=0.000750 value_loss=2.924867
[iter=9085] rollout_mean_bb=7.1789 policy_loss=0.021250 value_loss=2.886791
[iter=9090] rollout_mean_bb=-3.1256 policy_loss=0.005577 value_loss=3.114612
[iter=9095] rollout_mean_bb=2.7969 policy_loss=-0.016163 value_loss=3.076957
[iter=9100] rollout_mean_bb=-1.6058 policy_loss=0.010089 value_loss=2.340721
[iter=9105] rollout_mean_bb=-9.1281 policy_loss=0.022130 value_loss=2.628472
[iter=9110] rollout_mean_bb=6.7403 policy_loss=0.148296 value_loss=2.516108
[iter=9115] rollout_mean_bb=-5.5837 policy_loss=-0.009645 value_loss=1.963951
[iter=9120] rollout_mean_bb=0.3541 policy_loss=-0.055393 value_loss=2.702819
[iter=9125] rollout_mean_bb=5.8857 policy_loss=-0.006334 value_loss=2.792774
[iter=9130] rollout_mean_bb=12.5097 policy_loss=0.050527 value_loss=2.606424
[iter=9135] rollout_mean_bb=3.1692 policy_loss=-0.003680 value_loss=2.344736
[iter=9140] rollout_mean_bb=14.4968 policy_loss=0.002462 value_loss=2.444645
[iter=9145] rollout_mean_bb=8.2653 policy_loss=0.011893 value_loss=2.583559
[iter=9150] rollout_mean_bb=4.5197 policy_loss=0.001543 value_loss=2.268663
[iter=9155] rollout_mean_bb=4.7371 policy_loss=-0.016297 value_loss=2.298567
[iter=9160] rollout_mean_bb=4.8917 policy_loss=0.259378 value_loss=2.925425
[iter=9165] rollout_mean_bb=-0.0269 policy_loss=-0.029719 value_loss=2.236330
[iter=9170] rollout_mean_bb=14.3573 policy_loss=0.314505 value_loss=2.769942
[iter=9175] rollout_mean_bb=13.0439 policy_loss=0.085649 value_loss=2.785852
[iter=9180] rollout_mean_bb=3.6146 policy_loss=0.028093 value_loss=2.963246
[iter=9185] rollout_mean_bb=10.2451 policy_loss=-0.006188 value_loss=2.560315
[iter=9190] rollout_mean_bb=-1.3461 policy_loss=0.004697 value_loss=2.381070
[iter=9195] rollout_mean_bb=4.6716 policy_loss=-0.000782 value_loss=2.179803
[iter=9200] rollout_mean_bb=4.8133 policy_loss=-0.112892 value_loss=2.269592
[iter=9205] rollout_mean_bb=-3.3469 policy_loss=0.002936 value_loss=1.991981
[iter=9210] rollout_mean_bb=1.9451 policy_loss=0.013544 value_loss=2.072145
[iter=9215] rollout_mean_bb=2.2629 policy_loss=-0.009380 value_loss=2.079693
[iter=9220] rollout_mean_bb=3.8720 policy_loss=0.006002 value_loss=1.779799
[iter=9225] rollout_mean_bb=0.8683 policy_loss=-0.005690 value_loss=2.074604
[iter=9230] rollout_mean_bb=1.9284 policy_loss=-0.000792 value_loss=1.572437
[iter=9235] rollout_mean_bb=6.8582 policy_loss=-0.000418 value_loss=1.921052
[iter=9240] rollout_mean_bb=4.5228 policy_loss=-0.002365 value_loss=1.513123
[iter=9245] rollout_mean_bb=2.2545 policy_loss=-0.000174 value_loss=1.716663
[iter=9250] rollout_mean_bb=0.5375 policy_loss=0.001186 value_loss=1.791241
[iter=9255] rollout_mean_bb=7.8836 policy_loss=-0.035381 value_loss=1.661781
[iter=9260] rollout_mean_bb=4.1538 policy_loss=0.001222 value_loss=1.587503
[iter=9265] rollout_mean_bb=0.0771 policy_loss=0.000523 value_loss=1.620563
[iter=9270] rollout_mean_bb=-1.5346 policy_loss=0.002421 value_loss=1.368340
[iter=9275] rollout_mean_bb=3.5741 policy_loss=0.001648 value_loss=1.562986
[iter=9280] rollout_mean_bb=6.2459 policy_loss=-0.000534 value_loss=1.815626
[iter=9285] rollout_mean_bb=7.6655 policy_loss=-0.019771 value_loss=1.579516
