## SLURM PROLOG ###############################################################
##    Job ID : 375824
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2109
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sat Feb 14 06:12:02 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (375824)
Node: gpu2109
Date: Sat Feb 14 06:12:02 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_recover_diverse_corrective_17k
  strict_abstraction=true
  wandb_group=stage_d_corrective_17k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_diverse_corrective_17k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=17000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=768, SELF_PLAY_TEMPERATURE_START=1.15, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.75, PPO_ENTROPY_COEF_START=0.012, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.75, LEAGUE_RANDOM_OPPONENT_PROB=0.3, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=0.9, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.06, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.5, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_diverse_17k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_diverse_corrective_17k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=16000, target_iterations=17000, device=cuda, run_id=20260214_231216
[iter=16005] rollout_mean_bb=6.4488 policy_loss=-0.157486 value_loss=1.729615
[iter=16010] rollout_mean_bb=5.6127 policy_loss=-0.001139 value_loss=1.361175
[iter=16015] rollout_mean_bb=6.4623 policy_loss=0.000605 value_loss=1.617537
[iter=16020] rollout_mean_bb=12.7409 policy_loss=0.000103 value_loss=1.297036
[iter=16025] rollout_mean_bb=8.0879 policy_loss=0.005057 value_loss=1.458455
[iter=16030] rollout_mean_bb=9.0726 policy_loss=-0.157134 value_loss=1.739352
[iter=16035] rollout_mean_bb=8.3283 policy_loss=0.000151 value_loss=1.359611
[iter=16040] rollout_mean_bb=11.2755 policy_loss=0.190898 value_loss=2.804547
[iter=16045] rollout_mean_bb=5.8881 policy_loss=-0.000234 value_loss=1.623591
[iter=16050] rollout_mean_bb=3.1978 policy_loss=0.000905 value_loss=1.816103
[iter=16055] rollout_mean_bb=6.4460 policy_loss=-0.001688 value_loss=1.687990
[iter=16060] rollout_mean_bb=15.1377 policy_loss=-0.004201 value_loss=1.253014
[iter=16065] rollout_mean_bb=8.3702 policy_loss=-0.103340 value_loss=1.575975
[iter=16070] rollout_mean_bb=9.9102 policy_loss=0.012623 value_loss=1.372912
[iter=16075] rollout_mean_bb=5.7563 policy_loss=0.092936 value_loss=1.122614
[iter=16080] rollout_mean_bb=3.4200 policy_loss=0.086173 value_loss=1.690750
[iter=16085] rollout_mean_bb=4.1334 policy_loss=-0.176883 value_loss=1.568196
[iter=16090] rollout_mean_bb=10.3092 policy_loss=-0.000138 value_loss=1.170922
[iter=16095] rollout_mean_bb=8.0665 policy_loss=-0.158498 value_loss=1.255871
[iter=16100] rollout_mean_bb=3.3597 policy_loss=0.000530 value_loss=1.448379
[iter=16105] rollout_mean_bb=4.1228 policy_loss=-0.113068 value_loss=1.318626
[iter=16110] rollout_mean_bb=7.2948 policy_loss=-0.141762 value_loss=1.016432
[iter=16115] rollout_mean_bb=8.3472 policy_loss=0.127120 value_loss=1.369536
[iter=16120] rollout_mean_bb=7.5573 policy_loss=0.007490 value_loss=0.972988
[iter=16125] rollout_mean_bb=3.5728 policy_loss=0.175642 value_loss=1.503370
[iter=16130] rollout_mean_bb=9.8149 policy_loss=0.003948 value_loss=1.263491
[iter=16135] rollout_mean_bb=12.6425 policy_loss=-0.004047 value_loss=1.132877
[iter=16140] rollout_mean_bb=2.2913 policy_loss=-0.000195 value_loss=1.584292
[iter=16145] rollout_mean_bb=9.3277 policy_loss=-0.022133 value_loss=1.006965
[iter=16150] rollout_mean_bb=6.3123 policy_loss=0.000636 value_loss=1.160368
[iter=16155] rollout_mean_bb=3.1274 policy_loss=0.005076 value_loss=1.315779
[iter=16160] rollout_mean_bb=10.7600 policy_loss=-0.001024 value_loss=1.211026
[iter=16165] rollout_mean_bb=5.0278 policy_loss=0.008411 value_loss=1.546465
[iter=16170] rollout_mean_bb=12.5237 policy_loss=0.002075 value_loss=1.100580
[iter=16175] rollout_mean_bb=10.8216 policy_loss=0.019431 value_loss=1.131094
[iter=16180] rollout_mean_bb=8.5856 policy_loss=0.005971 value_loss=1.290339
[iter=16185] rollout_mean_bb=10.7517 policy_loss=0.014834 value_loss=1.168160
[iter=16190] rollout_mean_bb=11.9393 policy_loss=0.004694 value_loss=1.305872
[iter=16195] rollout_mean_bb=5.9685 policy_loss=-0.016664 value_loss=1.003340
[iter=16200] rollout_mean_bb=15.8370 policy_loss=0.009539 value_loss=1.059994
[iter=16205] rollout_mean_bb=9.0713 policy_loss=-0.028956 value_loss=1.021421
[iter=16210] rollout_mean_bb=7.0837 policy_loss=0.032682 value_loss=1.276823
[iter=16215] rollout_mean_bb=9.0223 policy_loss=-0.121292 value_loss=1.311047
[iter=16220] rollout_mean_bb=13.0240 policy_loss=-0.140767 value_loss=1.589248
[iter=16225] rollout_mean_bb=12.2060 policy_loss=-0.160561 value_loss=1.650759
[iter=16230] rollout_mean_bb=8.7882 policy_loss=0.000558 value_loss=1.584512
[iter=16235] rollout_mean_bb=10.0337 policy_loss=-0.001641 value_loss=1.523352
[iter=16240] rollout_mean_bb=15.4732 policy_loss=0.000684 value_loss=1.541305
[iter=16245] rollout_mean_bb=11.8679 policy_loss=0.009801 value_loss=1.645360
[iter=16250] rollout_mean_bb=6.3883 policy_loss=-0.001108 value_loss=1.560843
[iter=16255] rollout_mean_bb=3.2450 policy_loss=-0.077763 value_loss=1.646334
[iter=16260] rollout_mean_bb=10.9556 policy_loss=0.003694 value_loss=1.595457
[iter=16265] rollout_mean_bb=7.5456 policy_loss=-0.107919 value_loss=1.779102
[iter=16270] rollout_mean_bb=12.8802 policy_loss=0.115543 value_loss=1.885005
[iter=16275] rollout_mean_bb=9.2969 policy_loss=0.047968 value_loss=1.557924
[iter=16280] rollout_mean_bb=15.6510 policy_loss=0.010268 value_loss=1.607062
[iter=16285] rollout_mean_bb=8.8869 policy_loss=0.000824 value_loss=1.744015
[iter=16290] rollout_mean_bb=8.3828 policy_loss=0.035827 value_loss=1.194899
[iter=16295] rollout_mean_bb=4.4141 policy_loss=-0.028530 value_loss=1.715358
[iter=16300] rollout_mean_bb=7.7409 policy_loss=-0.023847 value_loss=1.606216
