## SLURM PROLOG ###############################################################
##    Job ID : 380273
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2101
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sun Feb 15 11:04:23 AM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (380273)
Node: gpu2101
Date: Sun Feb 15 11:04:23 AM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_recover_value_stable_corrective_18k
  strict_abstraction=true
  wandb_group=stage_d_stableize_18K
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_value_stable_corrective_18k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=18000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.12, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.7, PPO_ENTROPY_COEF_START=0.01, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.7, LEAGUE_RANDOM_OPPONENT_PROB=0.25, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.0, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.06, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.5, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_value_stable_18k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_value_stable_corrective_18k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=17000, target_iterations=18000, device=cuda, run_id=20260215_160432
[iter=17005] rollout_mean_bb=6.9076 policy_loss=-0.018992 value_loss=1.637482
[iter=17010] rollout_mean_bb=9.9439 policy_loss=-0.000638 value_loss=1.496752
[iter=17015] rollout_mean_bb=12.8132 policy_loss=0.005592 value_loss=1.446815
[iter=17020] rollout_mean_bb=9.9127 policy_loss=0.002131 value_loss=1.383021
[iter=17025] rollout_mean_bb=8.1694 policy_loss=-0.000967 value_loss=1.344077
[iter=17030] rollout_mean_bb=15.0194 policy_loss=-0.081916 value_loss=1.416234
[iter=17035] rollout_mean_bb=8.8073 policy_loss=0.013125 value_loss=1.595436
[iter=17040] rollout_mean_bb=2.8807 policy_loss=0.002531 value_loss=1.544297
[iter=17045] rollout_mean_bb=7.7815 policy_loss=0.000045 value_loss=1.376291
[iter=17050] rollout_mean_bb=9.5119 policy_loss=0.000171 value_loss=1.155876
[iter=17055] rollout_mean_bb=6.7469 policy_loss=0.008438 value_loss=1.265200
[iter=17060] rollout_mean_bb=3.2758 policy_loss=0.046114 value_loss=1.569568
[iter=17065] rollout_mean_bb=8.6588 policy_loss=0.000761 value_loss=1.351450
[iter=17070] rollout_mean_bb=8.5686 policy_loss=0.000697 value_loss=1.528045
[iter=17075] rollout_mean_bb=4.8319 policy_loss=0.028742 value_loss=1.607926
[iter=17080] rollout_mean_bb=7.4234 policy_loss=0.000803 value_loss=1.484537
[iter=17085] rollout_mean_bb=9.3356 policy_loss=-0.001467 value_loss=1.434259
[iter=17090] rollout_mean_bb=6.3026 policy_loss=-0.069480 value_loss=1.163433
[iter=17095] rollout_mean_bb=-2.3780 policy_loss=0.000050 value_loss=1.513094
[iter=17100] rollout_mean_bb=12.6224 policy_loss=0.000168 value_loss=1.422604
[iter=17105] rollout_mean_bb=3.3847 policy_loss=-0.094353 value_loss=1.458871
[iter=17110] rollout_mean_bb=18.8538 policy_loss=0.000644 value_loss=1.405354
[iter=17115] rollout_mean_bb=10.7483 policy_loss=-0.002707 value_loss=1.190238
[iter=17120] rollout_mean_bb=6.5508 policy_loss=-0.021107 value_loss=1.386827
[iter=17125] rollout_mean_bb=9.0216 policy_loss=0.329280 value_loss=2.073103
[iter=17130] rollout_mean_bb=10.0709 policy_loss=-0.089262 value_loss=1.388701
[iter=17135] rollout_mean_bb=12.0943 policy_loss=0.031848 value_loss=1.431083
[iter=17140] rollout_mean_bb=8.5306 policy_loss=0.017751 value_loss=1.590031
[iter=17145] rollout_mean_bb=7.9089 policy_loss=-0.106971 value_loss=1.557586
[iter=17150] rollout_mean_bb=5.9758 policy_loss=-0.008653 value_loss=1.302176
[iter=17155] rollout_mean_bb=1.2514 policy_loss=-0.000522 value_loss=1.556591
[iter=17160] rollout_mean_bb=6.9982 policy_loss=0.001610 value_loss=1.514128
[iter=17165] rollout_mean_bb=14.3977 policy_loss=-0.011784 value_loss=1.314385
[iter=17170] rollout_mean_bb=3.9651 policy_loss=-0.068497 value_loss=1.528323
[iter=17175] rollout_mean_bb=3.3101 policy_loss=0.031237 value_loss=1.607504
[iter=17180] rollout_mean_bb=5.4685 policy_loss=0.000482 value_loss=1.487918
[iter=17185] rollout_mean_bb=10.0225 policy_loss=0.002957 value_loss=1.500601
[iter=17190] rollout_mean_bb=12.5709 policy_loss=0.085836 value_loss=1.580512
[iter=17195] rollout_mean_bb=2.2448 policy_loss=0.000351 value_loss=1.277950
[iter=17200] rollout_mean_bb=6.8286 policy_loss=0.003207 value_loss=1.638878
[iter=17205] rollout_mean_bb=7.0234 policy_loss=0.000323 value_loss=1.449521
[iter=17210] rollout_mean_bb=9.2090 policy_loss=0.011495 value_loss=1.377595
[iter=17215] rollout_mean_bb=12.5585 policy_loss=-0.205651 value_loss=1.680388
[iter=17220] rollout_mean_bb=9.1137 policy_loss=-0.004442 value_loss=1.238792
[iter=17225] rollout_mean_bb=7.4364 policy_loss=0.011127 value_loss=1.238846
[iter=17230] rollout_mean_bb=6.0568 policy_loss=-0.002310 value_loss=1.248613
[iter=17235] rollout_mean_bb=15.3292 policy_loss=-0.061226 value_loss=1.311922
[iter=17240] rollout_mean_bb=2.5934 policy_loss=0.001859 value_loss=1.422655
[iter=17245] rollout_mean_bb=12.9745 policy_loss=0.001481 value_loss=1.274836
[iter=17250] rollout_mean_bb=6.4861 policy_loss=-0.069813 value_loss=1.396020
[iter=17255] rollout_mean_bb=2.5053 policy_loss=0.010203 value_loss=1.190402
[iter=17260] rollout_mean_bb=9.2368 policy_loss=-0.014719 value_loss=0.997644
[iter=17265] rollout_mean_bb=7.7457 policy_loss=-0.000292 value_loss=1.346815
[iter=17270] rollout_mean_bb=14.2912 policy_loss=0.000398 value_loss=1.291125
[iter=17275] rollout_mean_bb=12.0279 policy_loss=-0.000073 value_loss=1.235107
[iter=17280] rollout_mean_bb=8.3919 policy_loss=0.056558 value_loss=1.268705
[iter=17285] rollout_mean_bb=3.8729 policy_loss=0.055628 value_loss=1.556595
[iter=17290] rollout_mean_bb=13.4862 policy_loss=-0.010234 value_loss=1.173607
[iter=17295] rollout_mean_bb=10.8614 policy_loss=-0.009109 value_loss=1.131640
[iter=17300] rollout_mean_bb=10.2340 policy_loss=-0.012233 value_loss=1.227468
[iter=17305] rollout_mean_bb=8.4821 policy_loss=0.047510 value_loss=1.222092
[iter=17310] rollout_mean_bb=15.7400 policy_loss=-0.021060 value_loss=1.158812
[iter=17315] rollout_mean_bb=8.5256 policy_loss=0.039877 value_loss=1.161054
[iter=17320] rollout_mean_bb=6.5120 policy_loss=0.017719 value_loss=1.361365
[iter=17325] rollout_mean_bb=9.7119 policy_loss=-0.010740 value_loss=1.146326
[iter=17330] rollout_mean_bb=4.3574 policy_loss=0.005243 value_loss=1.025054
[iter=17335] rollout_mean_bb=5.2099 policy_loss=0.006780 value_loss=1.107573
