## SLURM PROLOG ###############################################################
##    Job ID : 419598
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2253
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Wed Feb 18 11:01:00 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (419598)
Node: gpu2253
Date: Wed Feb 18 11:01:00 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_longrun_rebalance_34k
  strict_abstraction=true
  wandb_group=stage_d_longrun_rebalance_34k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_longrun_rebalance_34k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=34000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.007, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1536, SELF_PLAY_TEMPERATURE_START=1.01, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.25, PPO_ENTROPY_COEF_START=0.0032, PPO_ENTROPY_COEF_END=0.0018, PPO_ENTROPY_DECAY_FRAC=0.35, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.85, RANDOM_OPPONENT_PROB=0.07, EXPLOIT_OPPONENT_PROB=0.08, EXPLOIT_OPPONENT_SET='pot_pressure,sticky_call', STYLE_TARGET_PROFILE_PATH='', STYLE_TARGET_USE_SOLVER_PROFILE=False, STYLE_REG_ENABLE=False, STYLE_REG_COEF_START=0.0, STYLE_REG_COEF_END=0.0, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=20, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=20, LR=5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=1000, EVAL_EPISODES=800, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=2000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=2000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=False, EVAL_AGGRESSION_GATE_ENABLE=True, EVAL_MIN_PRE_FLOP_RAISE_TOTAL_FREQ=0.08, EVAL_ENVELOPE_ENABLE=True, EVAL_MIN_PRE_FLOP_FOLD_FREQ=0.35, EVAL_MAX_PRE_FLOP_FOLD_FREQ=0.55, EVAL_MIN_PRE_FLOP_CALL_CHECK_FREQ=0.4, EVAL_MAX_PRE_FLOP_ALLIN_FREQ=0.05, EVAL_MIN_PRE_FLOP_ENTROPY_BITS=1.1, EVAL_MAX_PRE_FLOP_ENTROPY_BITS=1.8, EVAL_POT_MIX_GATE_ENABLE=True, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=True, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.47, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_stage_d_longrun_rebalance_34k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/interview_ready/interview_ready_1.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_longrun_rebalance_34k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=21000, target_iterations=34000, device=cuda, run_id=20260219_040114
[iter=21005] rollout_mean_bb=6.6073 policy_loss=0.013267 value_loss=1.259863
[iter=21010] rollout_mean_bb=5.7059 policy_loss=0.044499 value_loss=1.345976
[iter=21015] rollout_mean_bb=7.8251 policy_loss=-0.000125 value_loss=1.514147
[iter=21020] rollout_mean_bb=12.5842 policy_loss=0.068733 value_loss=1.424585
[iter=21025] rollout_mean_bb=4.3812 policy_loss=0.018199 value_loss=1.376757
[iter=21030] rollout_mean_bb=9.5012 policy_loss=0.015062 value_loss=1.489760
[iter=21035] rollout_mean_bb=1.4677 policy_loss=0.005620 value_loss=1.340849
[iter=21040] rollout_mean_bb=5.1037 policy_loss=0.003817 value_loss=1.369718
[iter=21045] rollout_mean_bb=10.2742 policy_loss=0.014462 value_loss=1.646620
[iter=21050] rollout_mean_bb=16.0483 policy_loss=0.005408 value_loss=1.388182
[iter=21055] rollout_mean_bb=10.6109 policy_loss=-0.063118 value_loss=1.527381
[iter=21060] rollout_mean_bb=2.9929 policy_loss=-0.130177 value_loss=1.499939
[iter=21065] rollout_mean_bb=8.4445 policy_loss=0.002472 value_loss=1.452615
[iter=21070] rollout_mean_bb=6.0641 policy_loss=0.003719 value_loss=1.424189
[iter=21075] rollout_mean_bb=9.6369 policy_loss=-0.033185 value_loss=1.360089
[iter=21080] rollout_mean_bb=11.9069 policy_loss=0.003606 value_loss=1.164811
[iter=21085] rollout_mean_bb=11.3830 policy_loss=0.002338 value_loss=1.408161
[iter=21090] rollout_mean_bb=8.3325 policy_loss=-0.055212 value_loss=1.284930
[iter=21095] rollout_mean_bb=10.3344 policy_loss=0.004620 value_loss=1.516626
[iter=21100] rollout_mean_bb=5.0731 policy_loss=0.001312 value_loss=1.346579
[iter=21105] rollout_mean_bb=7.5984 policy_loss=0.001335 value_loss=1.405735
[iter=21110] rollout_mean_bb=5.9867 policy_loss=-0.001600 value_loss=1.281300
[iter=21115] rollout_mean_bb=7.0185 policy_loss=-0.037464 value_loss=1.414144
[iter=21120] rollout_mean_bb=8.6956 policy_loss=0.022549 value_loss=1.265995
[iter=21125] rollout_mean_bb=7.9866 policy_loss=0.000880 value_loss=1.516639
[iter=21130] rollout_mean_bb=7.8039 policy_loss=-0.000287 value_loss=1.481567
[iter=21135] rollout_mean_bb=5.9870 policy_loss=0.009952 value_loss=1.427854
[iter=21140] rollout_mean_bb=9.4698 policy_loss=0.023000 value_loss=1.516379
[iter=21145] rollout_mean_bb=11.6018 policy_loss=0.011097 value_loss=1.371446
[iter=21150] rollout_mean_bb=10.6696 policy_loss=-0.033677 value_loss=1.714033
[iter=21155] rollout_mean_bb=8.9924 policy_loss=0.010932 value_loss=1.505666
[iter=21160] rollout_mean_bb=8.6853 policy_loss=0.133903 value_loss=1.466243
[iter=21165] rollout_mean_bb=4.5148 policy_loss=0.002520 value_loss=1.463105
[iter=21170] rollout_mean_bb=8.3707 policy_loss=0.048707 value_loss=1.552570
[iter=21175] rollout_mean_bb=13.5554 policy_loss=0.001498 value_loss=1.408609
[iter=21180] rollout_mean_bb=10.7949 policy_loss=-0.001727 value_loss=1.229770
[iter=21185] rollout_mean_bb=11.2476 policy_loss=-0.069008 value_loss=1.481106
[iter=21190] rollout_mean_bb=11.6638 policy_loss=0.000998 value_loss=1.419365
[iter=21195] rollout_mean_bb=12.7694 policy_loss=0.001168 value_loss=1.568449
[iter=21200] rollout_mean_bb=8.6351 policy_loss=-0.001410 value_loss=1.275269
[iter=21205] rollout_mean_bb=14.6850 policy_loss=-0.027411 value_loss=1.380960
[iter=21210] rollout_mean_bb=8.4411 policy_loss=0.020050 value_loss=1.424540
[iter=21215] rollout_mean_bb=7.5178 policy_loss=-0.013319 value_loss=1.474717
[iter=21220] rollout_mean_bb=15.5832 policy_loss=-0.001784 value_loss=1.568570
[iter=21225] rollout_mean_bb=14.1532 policy_loss=0.008673 value_loss=1.374609
[iter=21230] rollout_mean_bb=11.0908 policy_loss=0.009852 value_loss=1.396164
[iter=21235] rollout_mean_bb=10.4929 policy_loss=0.003231 value_loss=1.225153
[iter=21240] rollout_mean_bb=6.2032 policy_loss=-0.010925 value_loss=1.562627
[iter=21245] rollout_mean_bb=6.4317 policy_loss=0.001770 value_loss=1.417441
[iter=21250] rollout_mean_bb=13.1202 policy_loss=0.032187 value_loss=1.506942
[iter=21255] rollout_mean_bb=10.0484 policy_loss=0.008285 value_loss=1.312446
[iter=21260] rollout_mean_bb=11.7194 policy_loss=0.002466 value_loss=1.643817
[iter=21265] rollout_mean_bb=8.6822 policy_loss=-0.006797 value_loss=1.401584
[iter=21270] rollout_mean_bb=10.2442 policy_loss=0.002072 value_loss=1.367201
[iter=21275] rollout_mean_bb=11.9677 policy_loss=-0.045668 value_loss=1.397094
[iter=21280] rollout_mean_bb=5.8217 policy_loss=-0.001400 value_loss=1.535717
[iter=21285] rollout_mean_bb=12.0574 policy_loss=-0.024552 value_loss=1.328001
[iter=21290] rollout_mean_bb=12.2754 policy_loss=-0.014868 value_loss=1.292837
[iter=21295] rollout_mean_bb=12.6651 policy_loss=-0.026391 value_loss=1.602515
[iter=21300] rollout_mean_bb=10.2921 policy_loss=-0.026466 value_loss=1.456262
[iter=21305] rollout_mean_bb=12.8087 policy_loss=0.000583 value_loss=1.395855
[iter=21310] rollout_mean_bb=8.8218 policy_loss=0.009941 value_loss=1.572269
[iter=21315] rollout_mean_bb=6.5311 policy_loss=-0.005281 value_loss=1.321046
[iter=21320] rollout_mean_bb=6.5779 policy_loss=0.000878 value_loss=1.352760
[iter=21325] rollout_mean_bb=12.8548 policy_loss=0.000184 value_loss=1.358567
[iter=21330] rollout_mean_bb=4.3369 policy_loss=-0.005120 value_loss=1.344011
[iter=21335] rollout_mean_bb=7.5936 policy_loss=0.001739 value_loss=1.490295
[iter=21340] rollout_mean_bb=7.8192 policy_loss=0.114590 value_loss=1.601184
[iter=21345] rollout_mean_bb=4.8120 policy_loss=0.002325 value_loss=1.617099
[iter=21350] rollout_mean_bb=14.8644 policy_loss=-0.000243 value_loss=1.357800
[iter=21355] rollout_mean_bb=11.8495 policy_loss=0.001298 value_loss=1.352742
[iter=21360] rollout_mean_bb=9.6574 policy_loss=-0.034729 value_loss=1.560147
[iter=21365] rollout_mean_bb=11.5404 policy_loss=0.002582 value_loss=1.488369
[iter=21370] rollout_mean_bb=6.6513 policy_loss=0.015304 value_loss=1.236980
[iter=21375] rollout_mean_bb=8.9577 policy_loss=-0.008814 value_loss=1.518249
[iter=21380] rollout_mean_bb=6.9796 policy_loss=0.016780 value_loss=1.503848
[iter=21385] rollout_mean_bb=11.6759 policy_loss=0.016206 value_loss=1.445206
