## SLURM PROLOG ###############################################################
##    Job ID : 374718
##  Job Name : ah_stage_d_fchpa_sel16k_train
##  Nodelist : gpu2102
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sat Feb 14 02:28:41 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_sel16k_train (374718)
Node: gpu2102
Date: Sat Feb 14 02:28:41 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D selected 16k continuation training:
  config=quadro_stage_d_fchpa_recover_explore_16k
  strict_abstraction=true
  wandb_group=stage_d_fchpa_selected_16k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_explore_16k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=16000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=768, SELF_PLAY_TEMPERATURE_START=1.12, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.7, PPO_ENTROPY_COEF_START=0.008, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.7, LEAGUE_RANDOM_OPPONENT_PROB=0.2, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.0, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.06, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.5, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_explore_16k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_explore_16k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=13500, target_iterations=16000, device=cuda, run_id=20260214_192855
[iter=13505] rollout_mean_bb=6.5339 policy_loss=0.006381 value_loss=1.498185
[iter=13510] rollout_mean_bb=9.3438 policy_loss=-0.000047 value_loss=1.325319
[iter=13515] rollout_mean_bb=5.3971 policy_loss=0.008122 value_loss=1.702558
[iter=13520] rollout_mean_bb=7.6023 policy_loss=0.015601 value_loss=1.514511
[iter=13525] rollout_mean_bb=14.1315 policy_loss=0.019642 value_loss=1.552840
[iter=13530] rollout_mean_bb=9.2461 policy_loss=-0.046688 value_loss=1.550136
[iter=13535] rollout_mean_bb=12.9154 policy_loss=-0.009191 value_loss=1.484586
[iter=13540] rollout_mean_bb=2.7474 policy_loss=0.018720 value_loss=1.412878
[iter=13545] rollout_mean_bb=4.0677 policy_loss=-0.002594 value_loss=1.976296
[iter=13550] rollout_mean_bb=10.7500 policy_loss=0.003676 value_loss=1.564089
[iter=13555] rollout_mean_bb=8.2982 policy_loss=-0.000804 value_loss=1.731425
[iter=13560] rollout_mean_bb=10.0938 policy_loss=0.051044 value_loss=1.461843
[iter=13565] rollout_mean_bb=7.6419 policy_loss=0.003665 value_loss=1.694519
[iter=13570] rollout_mean_bb=14.5208 policy_loss=0.022966 value_loss=1.605798
[iter=13575] rollout_mean_bb=13.2917 policy_loss=-0.018162 value_loss=1.685923
[iter=13580] rollout_mean_bb=3.1966 policy_loss=0.008991 value_loss=2.010926
[iter=13585] rollout_mean_bb=3.8242 policy_loss=-0.006168 value_loss=1.601767
[iter=13590] rollout_mean_bb=6.8958 policy_loss=0.184091 value_loss=1.777657
[iter=13595] rollout_mean_bb=12.4857 policy_loss=-0.007145 value_loss=1.733654
[iter=13600] rollout_mean_bb=10.6406 policy_loss=-0.028337 value_loss=1.699159
[iter=13605] rollout_mean_bb=5.7318 policy_loss=-0.003227 value_loss=1.658643
[iter=13610] rollout_mean_bb=8.6224 policy_loss=0.059557 value_loss=1.728065
[iter=13615] rollout_mean_bb=11.3451 policy_loss=0.001067 value_loss=1.631413
[iter=13620] rollout_mean_bb=16.3815 policy_loss=-0.091175 value_loss=1.338024
[iter=13625] rollout_mean_bb=6.2018 policy_loss=0.035016 value_loss=1.736886
[iter=13630] rollout_mean_bb=15.0924 policy_loss=0.011927 value_loss=1.719310
[iter=13635] rollout_mean_bb=2.1421 policy_loss=0.001897 value_loss=1.629389
[iter=13640] rollout_mean_bb=6.6471 policy_loss=-0.012157 value_loss=1.769370
[iter=13645] rollout_mean_bb=-0.6927 policy_loss=-0.006454 value_loss=1.787768
[iter=13650] rollout_mean_bb=14.5378 policy_loss=0.021573 value_loss=1.757821
[iter=13655] rollout_mean_bb=4.8971 policy_loss=-0.006488 value_loss=1.824443
[iter=13660] rollout_mean_bb=8.7422 policy_loss=-0.013782 value_loss=1.635068
[iter=13665] rollout_mean_bb=21.0664 policy_loss=0.008096 value_loss=1.944238
[iter=13670] rollout_mean_bb=15.4453 policy_loss=-0.016057 value_loss=1.993418
[iter=13675] rollout_mean_bb=0.2591 policy_loss=0.008898 value_loss=1.873436
[iter=13680] rollout_mean_bb=15.0152 policy_loss=0.017934 value_loss=1.327217
[iter=13685] rollout_mean_bb=7.4592 policy_loss=0.113167 value_loss=1.879383
[iter=13690] rollout_mean_bb=4.2982 policy_loss=-0.036884 value_loss=1.732811
[iter=13695] rollout_mean_bb=6.4875 policy_loss=0.000523 value_loss=1.758303
[iter=13700] rollout_mean_bb=2.4524 policy_loss=-0.015389 value_loss=1.432417
[iter=13705] rollout_mean_bb=6.9924 policy_loss=-0.170499 value_loss=1.947510
[iter=13710] rollout_mean_bb=3.6172 policy_loss=0.006428 value_loss=1.887116
[iter=13715] rollout_mean_bb=7.4727 policy_loss=0.065007 value_loss=1.596301
[iter=13720] rollout_mean_bb=17.0195 policy_loss=-0.006157 value_loss=1.850764
[iter=13725] rollout_mean_bb=9.4401 policy_loss=0.005767 value_loss=1.948397
[iter=13730] rollout_mean_bb=7.2930 policy_loss=-0.067498 value_loss=1.551503
[iter=13735] rollout_mean_bb=19.1341 policy_loss=0.014064 value_loss=1.565775
[iter=13740] rollout_mean_bb=12.5638 policy_loss=0.005182 value_loss=1.737857
[iter=13745] rollout_mean_bb=6.5155 policy_loss=-0.013029 value_loss=1.225225
[iter=13750] rollout_mean_bb=10.6931 policy_loss=-0.017284 value_loss=1.425151
[iter=13755] rollout_mean_bb=9.7803 policy_loss=-0.000418 value_loss=1.456158
[iter=13760] rollout_mean_bb=-2.7662 policy_loss=0.025298 value_loss=1.776739
[iter=13765] rollout_mean_bb=8.9160 policy_loss=0.000332 value_loss=1.562194
[iter=13770] rollout_mean_bb=8.0724 policy_loss=-0.035149 value_loss=1.204870
[iter=13775] rollout_mean_bb=8.0076 policy_loss=0.002197 value_loss=1.663343
[iter=13780] rollout_mean_bb=7.7475 policy_loss=0.022165 value_loss=1.632313
[iter=13785] rollout_mean_bb=13.1421 policy_loss=-0.000711 value_loss=1.805982
[iter=13790] rollout_mean_bb=15.7336 policy_loss=0.003298 value_loss=1.519192
[iter=13795] rollout_mean_bb=5.5703 policy_loss=0.071159 value_loss=1.852811
[iter=13800] rollout_mean_bb=27.1237 policy_loss=0.012067 value_loss=1.392139
[iter=13805] rollout_mean_bb=20.1938 policy_loss=0.068330 value_loss=1.799679
[iter=13810] rollout_mean_bb=11.9302 policy_loss=0.000497 value_loss=1.727654
[iter=13815] rollout_mean_bb=16.5069 policy_loss=0.024705 value_loss=1.159081
[iter=13820] rollout_mean_bb=3.0635 policy_loss=0.000508 value_loss=1.642949
[iter=13825] rollout_mean_bb=16.4798 policy_loss=0.091001 value_loss=1.535030
[iter=13830] rollout_mean_bb=6.0000 policy_loss=-0.036292 value_loss=1.303371
[iter=13835] rollout_mean_bb=12.1214 policy_loss=-0.000452 value_loss=1.609875
[iter=13840] rollout_mean_bb=2.8434 policy_loss=0.017747 value_loss=2.130760
[iter=13845] rollout_mean_bb=1.5416 policy_loss=0.181283 value_loss=1.966888
[iter=13850] rollout_mean_bb=11.4887 policy_loss=0.000645 value_loss=1.621495
[iter=13855] rollout_mean_bb=12.6297 policy_loss=0.047483 value_loss=1.405575
[iter=13860] rollout_mean_bb=11.2474 policy_loss=0.033001 value_loss=1.700738
[iter=13865] rollout_mean_bb=8.3653 policy_loss=-0.104239 value_loss=1.608578
[iter=13870] rollout_mean_bb=6.8125 policy_loss=0.020749 value_loss=1.797759
[iter=13875] rollout_mean_bb=9.5560 policy_loss=-0.037422 value_loss=2.065546
[iter=13880] rollout_mean_bb=10.5647 policy_loss=0.000252 value_loss=1.831805
[iter=13885] rollout_mean_bb=14.2357 policy_loss=-0.000056 value_loss=1.982124
[iter=13890] rollout_mean_bb=12.2370 policy_loss=-0.014579 value_loss=1.926076
[iter=13895] rollout_mean_bb=8.8921 policy_loss=0.293401 value_loss=2.307524
[iter=13900] rollout_mean_bb=17.4727 policy_loss=-0.037615 value_loss=1.831124
[iter=13905] rollout_mean_bb=0.3424 policy_loss=-0.012074 value_loss=0.489467
[iter=13910] rollout_mean_bb=5.4586 policy_loss=-0.006725 value_loss=0.342345
[iter=13915] rollout_mean_bb=5.0521 policy_loss=0.018268 value_loss=0.447868
[iter=13920] rollout_mean_bb=0.2812 policy_loss=-0.008062 value_loss=0.499449
[iter=13925] rollout_mean_bb=7.2878 policy_loss=0.004333 value_loss=0.556145
[iter=13930] rollout_mean_bb=5.9414 policy_loss=-0.012759 value_loss=0.443776
[iter=13935] rollout_mean_bb=3.7253 policy_loss=-0.013040 value_loss=0.444220
[iter=13940] rollout_mean_bb=4.1003 policy_loss=0.004752 value_loss=0.751782
[iter=13945] rollout_mean_bb=1.5954 policy_loss=-0.064301 value_loss=1.025550
[iter=13950] rollout_mean_bb=4.8633 policy_loss=0.179593 value_loss=0.660238
[iter=13955] rollout_mean_bb=0.7956 policy_loss=0.002787 value_loss=0.712670
[iter=13960] rollout_mean_bb=3.1510 policy_loss=-0.015158 value_loss=1.017843
[iter=13965] rollout_mean_bb=-3.6862 policy_loss=-0.005004 value_loss=0.988856
[iter=13970] rollout_mean_bb=-1.4688 policy_loss=0.008719 value_loss=0.459984
[iter=13975] rollout_mean_bb=9.2435 policy_loss=0.015839 value_loss=0.674573
[iter=13980] rollout_mean_bb=7.4128 policy_loss=0.012527 value_loss=0.756897
[iter=13985] rollout_mean_bb=5.5104 policy_loss=-0.030183 value_loss=0.997329
[iter=13990] rollout_mean_bb=3.9258 policy_loss=-0.010976 value_loss=0.844264
[iter=13995] rollout_mean_bb=0.8633 policy_loss=0.002948 value_loss=1.013385
[iter=14000] rollout_mean_bb=-1.6263 policy_loss=0.001196 value_loss=1.013753
[iter=14005] rollout_mean_bb=6.2240 policy_loss=-0.015139 value_loss=1.184165
[iter=14010] rollout_mean_bb=-1.3815 policy_loss=-0.003333 value_loss=0.714371
[iter=14015] rollout_mean_bb=-1.5443 policy_loss=0.000018 value_loss=0.802394
[iter=14020] rollout_mean_bb=8.4154 policy_loss=-0.010703 value_loss=0.828831
[iter=14025] rollout_mean_bb=1.6133 policy_loss=0.014933 value_loss=0.958347
[iter=14030] rollout_mean_bb=5.1471 policy_loss=0.039971 value_loss=0.526688
[iter=14035] rollout_mean_bb=5.5000 policy_loss=0.005023 value_loss=0.919105
[iter=14040] rollout_mean_bb=1.1198 policy_loss=0.031726 value_loss=0.406203
[iter=14045] rollout_mean_bb=6.8203 policy_loss=0.010322 value_loss=0.866343
[iter=14050] rollout_mean_bb=5.1016 policy_loss=0.025517 value_loss=0.623560
[iter=14055] rollout_mean_bb=5.3464 policy_loss=0.000161 value_loss=0.719234
[iter=14060] rollout_mean_bb=6.5625 policy_loss=-0.011706 value_loss=0.974074
[iter=14065] rollout_mean_bb=5.7812 policy_loss=0.002801 value_loss=0.865635
[iter=14070] rollout_mean_bb=1.4857 policy_loss=-0.007759 value_loss=0.606998
[iter=14075] rollout_mean_bb=3.3372 policy_loss=0.008312 value_loss=0.684770
[iter=14080] rollout_mean_bb=2.9805 policy_loss=-0.004235 value_loss=0.749209
[iter=14085] rollout_mean_bb=6.4701 policy_loss=-0.005747 value_loss=0.517744
[iter=14090] rollout_mean_bb=-1.4102 policy_loss=0.011467 value_loss=0.874523
[iter=14095] rollout_mean_bb=0.7057 policy_loss=-0.027545 value_loss=0.730583
[iter=14100] rollout_mean_bb=2.1094 policy_loss=-0.000063 value_loss=0.924726
[iter=14105] rollout_mean_bb=3.4271 policy_loss=-0.003545 value_loss=0.657744
[iter=14110] rollout_mean_bb=-0.1589 policy_loss=0.002249 value_loss=0.535411
[iter=14115] rollout_mean_bb=5.9049 policy_loss=-0.020377 value_loss=0.732514
[iter=14120] rollout_mean_bb=2.7878 policy_loss=-0.004612 value_loss=0.635696
[iter=14125] rollout_mean_bb=3.0651 policy_loss=-0.015221 value_loss=0.777668
[iter=14130] rollout_mean_bb=2.3294 policy_loss=-0.000913 value_loss=0.551286
[iter=14135] rollout_mean_bb=5.0924 policy_loss=-0.000623 value_loss=0.902222
[iter=14140] rollout_mean_bb=1.1562 policy_loss=0.005785 value_loss=0.627601
[iter=14145] rollout_mean_bb=2.9245 policy_loss=0.083994 value_loss=0.701739
[iter=14150] rollout_mean_bb=4.6172 policy_loss=0.015094 value_loss=0.768992
[iter=14155] rollout_mean_bb=2.5156 policy_loss=0.060992 value_loss=0.723497
[iter=14160] rollout_mean_bb=2.4492 policy_loss=-0.020051 value_loss=0.639263
[iter=14165] rollout_mean_bb=5.9753 policy_loss=0.012538 value_loss=1.047746
[iter=14170] rollout_mean_bb=3.6719 policy_loss=-0.007036 value_loss=0.990781
[iter=14175] rollout_mean_bb=2.7005 policy_loss=-0.011751 value_loss=1.104693
[iter=14180] rollout_mean_bb=5.7419 policy_loss=-0.001261 value_loss=0.709317
[iter=14185] rollout_mean_bb=1.3958 policy_loss=0.042693 value_loss=0.837458
[iter=14190] rollout_mean_bb=3.0395 policy_loss=0.000189 value_loss=0.751458
[iter=14195] rollout_mean_bb=1.1406 policy_loss=0.041087 value_loss=0.964259
[iter=14200] rollout_mean_bb=1.1313 policy_loss=-0.004745 value_loss=0.466622
[iter=14205] rollout_mean_bb=2.0451 policy_loss=-0.002162 value_loss=0.956090
[iter=14210] rollout_mean_bb=-0.6844 policy_loss=0.000515 value_loss=1.031694
[iter=14215] rollout_mean_bb=6.6484 policy_loss=0.018596 value_loss=0.749606
[iter=14220] rollout_mean_bb=9.5449 policy_loss=0.012353 value_loss=0.773914
[iter=14225] rollout_mean_bb=4.9505 policy_loss=0.007523 value_loss=0.824735
[iter=14230] rollout_mean_bb=6.8203 policy_loss=0.004493 value_loss=1.147962
[iter=14235] rollout_mean_bb=2.4578 policy_loss=-0.001060 value_loss=1.114537
[iter=14240] rollout_mean_bb=4.1782 policy_loss=0.014986 value_loss=0.436631
[iter=14245] rollout_mean_bb=3.9394 policy_loss=-0.018886 value_loss=0.985525
[iter=14250] rollout_mean_bb=3.0322 policy_loss=0.004411 value_loss=1.149440
[iter=14255] rollout_mean_bb=6.1289 policy_loss=-0.005677 value_loss=0.968724
[iter=14260] rollout_mean_bb=4.9258 policy_loss=0.004945 value_loss=0.793442
[iter=14265] rollout_mean_bb=3.4798 policy_loss=0.000164 value_loss=0.602807
[iter=14270] rollout_mean_bb=4.2423 policy_loss=0.003553 value_loss=0.614366
[iter=14275] rollout_mean_bb=3.4479 policy_loss=0.160302 value_loss=1.180155
[iter=14280] rollout_mean_bb=1.1040 policy_loss=-0.051549 value_loss=0.702313
[iter=14285] rollout_mean_bb=0.5260 policy_loss=0.019370 value_loss=1.256052
[iter=14290] rollout_mean_bb=4.9478 policy_loss=-0.031203 value_loss=1.223681
[iter=14295] rollout_mean_bb=4.8125 policy_loss=-0.021433 value_loss=1.338529
[iter=14300] rollout_mean_bb=2.0104 policy_loss=-0.003510 value_loss=1.160562
[iter=14305] rollout_mean_bb=5.1499 policy_loss=0.019555 value_loss=0.620741
[iter=14310] rollout_mean_bb=-1.2067 policy_loss=-0.000897 value_loss=0.786995
[iter=14315] rollout_mean_bb=6.9572 policy_loss=0.006495 value_loss=0.688492
[iter=14320] rollout_mean_bb=4.8828 policy_loss=-0.019219 value_loss=1.110661
[iter=14325] rollout_mean_bb=0.1693 policy_loss=0.017615 value_loss=0.915184
