## SLURM PROLOG ###############################################################
##    Job ID : 374329
##  Job Name : ah_stage_d_fchpa_ablate_train
##  Nodelist : gpu2264
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sat Feb 14 10:00:25 AM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_ablate_train (374329)
Node: gpu2264
Date: Sat Feb 14 10:00:25 AM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D FCHPA ablation training:
  config=quadro_stage_d_fchpa_recover_explore_ablate
  strict_abstraction=true
  wandb_group=stage_d_fchpa_ablation
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_explore_ablate
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=13500, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=768, SELF_PLAY_TEMPERATURE_START=1.12, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.7, PPO_ENTROPY_COEF_START=0.008, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.7, LEAGUE_RANDOM_OPPONENT_PROB=0.2, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.0, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.06, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.5, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_explore.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_explore_ablate', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=12200, target_iterations=13500, device=cuda, run_id=20260214_150033
[iter=12205] rollout_mean_bb=5.0826 policy_loss=-0.212738 value_loss=2.005406
[iter=12210] rollout_mean_bb=9.7005 policy_loss=-0.083422 value_loss=1.704215
[iter=12215] rollout_mean_bb=16.4557 policy_loss=0.000754 value_loss=2.039631
[iter=12220] rollout_mean_bb=8.0729 policy_loss=-0.034443 value_loss=1.889767
[iter=12225] rollout_mean_bb=12.6315 policy_loss=0.008364 value_loss=1.759142
[iter=12230] rollout_mean_bb=7.8958 policy_loss=-0.003487 value_loss=1.803749
[iter=12235] rollout_mean_bb=22.2500 policy_loss=-0.044377 value_loss=1.532391
[iter=12240] rollout_mean_bb=9.0520 policy_loss=0.001016 value_loss=1.881298
[iter=12245] rollout_mean_bb=13.8914 policy_loss=0.256392 value_loss=1.982111
[iter=12250] rollout_mean_bb=15.8936 policy_loss=0.025086 value_loss=1.912984
[iter=12255] rollout_mean_bb=4.7930 policy_loss=0.010694 value_loss=1.901458
[iter=12260] rollout_mean_bb=8.7466 policy_loss=0.013710 value_loss=1.300241
[iter=12265] rollout_mean_bb=13.9157 policy_loss=0.001393 value_loss=1.801526
[iter=12270] rollout_mean_bb=9.8149 policy_loss=0.000988 value_loss=1.565067
[iter=12275] rollout_mean_bb=16.6880 policy_loss=0.039550 value_loss=1.725311
[iter=12280] rollout_mean_bb=16.2886 policy_loss=-0.019849 value_loss=2.394752
[iter=12285] rollout_mean_bb=13.9987 policy_loss=0.009797 value_loss=2.050848
[iter=12290] rollout_mean_bb=-0.6693 policy_loss=0.041824 value_loss=1.692356
[iter=12295] rollout_mean_bb=-1.6289 policy_loss=0.001435 value_loss=2.091370
[iter=12300] rollout_mean_bb=13.6172 policy_loss=0.008447 value_loss=1.455250
[iter=12305] rollout_mean_bb=13.8698 policy_loss=0.016813 value_loss=2.006362
[iter=12310] rollout_mean_bb=14.4780 policy_loss=-0.000563 value_loss=1.877928
[iter=12315] rollout_mean_bb=7.9949 policy_loss=0.005931 value_loss=2.026275
[iter=12320] rollout_mean_bb=15.2188 policy_loss=0.025374 value_loss=1.845434
[iter=12325] rollout_mean_bb=17.1797 policy_loss=-0.059108 value_loss=1.949482
[iter=12330] rollout_mean_bb=16.4362 policy_loss=-0.007739 value_loss=1.899484
[iter=12335] rollout_mean_bb=-0.2422 policy_loss=-0.007054 value_loss=1.949589
[iter=12340] rollout_mean_bb=13.2995 policy_loss=-0.000806 value_loss=1.939763
[iter=12345] rollout_mean_bb=12.4167 policy_loss=-0.002034 value_loss=2.024198
[iter=12350] rollout_mean_bb=16.5534 policy_loss=-0.071415 value_loss=1.981029
[iter=12355] rollout_mean_bb=10.6715 policy_loss=-0.235887 value_loss=2.366137
[iter=12360] rollout_mean_bb=15.5704 policy_loss=0.003178 value_loss=1.896067
[iter=12365] rollout_mean_bb=15.9228 policy_loss=0.002735 value_loss=2.104412
[iter=12370] rollout_mean_bb=9.7561 policy_loss=-0.118582 value_loss=1.860184
[iter=12375] rollout_mean_bb=15.6615 policy_loss=-0.230008 value_loss=2.137962
[iter=12380] rollout_mean_bb=6.1904 policy_loss=-0.023087 value_loss=2.019361
[iter=12385] rollout_mean_bb=11.2055 policy_loss=-0.092982 value_loss=1.981560
[iter=12390] rollout_mean_bb=12.9468 policy_loss=0.001202 value_loss=1.464446
[iter=12395] rollout_mean_bb=7.5353 policy_loss=0.000697 value_loss=1.898420
[iter=12400] rollout_mean_bb=10.2895 policy_loss=0.000421 value_loss=2.130826
[iter=12405] rollout_mean_bb=23.9411 policy_loss=-0.000356 value_loss=1.854086
[iter=12410] rollout_mean_bb=18.9371 policy_loss=-0.000096 value_loss=1.718049
[iter=12415] rollout_mean_bb=10.5711 policy_loss=0.143526 value_loss=1.893672
[iter=12420] rollout_mean_bb=7.4384 policy_loss=-0.000334 value_loss=1.858888
[iter=12425] rollout_mean_bb=14.8603 policy_loss=0.016778 value_loss=1.593977
[iter=12430] rollout_mean_bb=14.3429 policy_loss=0.003540 value_loss=1.735282
[iter=12435] rollout_mean_bb=17.7545 policy_loss=-0.164848 value_loss=1.969041
[iter=12440] rollout_mean_bb=20.4206 policy_loss=-0.037785 value_loss=1.997865
[iter=12445] rollout_mean_bb=16.6339 policy_loss=0.026265 value_loss=1.779282
[iter=12450] rollout_mean_bb=13.8170 policy_loss=0.005821 value_loss=1.570289
[iter=12455] rollout_mean_bb=20.0899 policy_loss=-0.002199 value_loss=1.864842
[iter=12460] rollout_mean_bb=5.7002 policy_loss=-0.031935 value_loss=1.337476
[iter=12465] rollout_mean_bb=3.9039 policy_loss=0.002674 value_loss=2.079913
[iter=12470] rollout_mean_bb=11.6828 policy_loss=-0.001110 value_loss=1.669915
[iter=12475] rollout_mean_bb=6.6031 policy_loss=-0.010875 value_loss=1.800220
[iter=12480] rollout_mean_bb=5.2698 policy_loss=0.006056 value_loss=1.525022
[iter=12485] rollout_mean_bb=13.0491 policy_loss=0.000179 value_loss=1.953512
[iter=12490] rollout_mean_bb=12.7412 policy_loss=0.150747 value_loss=1.732324
[iter=12495] rollout_mean_bb=11.7834 policy_loss=0.005997 value_loss=1.517442
[iter=12500] rollout_mean_bb=4.4148 policy_loss=0.014400 value_loss=2.515095
