## SLURM PROLOG ###############################################################
##    Job ID : 380978
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2101
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sun Feb 15 01:11:32 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (380978)
Node: gpu2101
Date: Sun Feb 15 01:11:32 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_recover_diverse_corrective_20k_flatexplore
  strict_abstraction=true
  wandb_group=stage_d_fchpa_recover_diverse_20k_fallback
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_diverse_corrective_20k_flatexplore
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=768, SELF_PLAY_TEMPERATURE_START=1.1, SELF_PLAY_TEMPERATURE_END=1.1, SELF_PLAY_TEMPERATURE_DECAY_FRAC=1.0, PPO_ENTROPY_COEF_START=0.006, PPO_ENTROPY_COEF_END=0.006, PPO_ENTROPY_DECAY_FRAC=1.0, LEAGUE_RANDOM_OPPONENT_PROB=0.3, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=0.9, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.06, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.5, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_diverse_20k_flatexplore.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_diverse_corrective_20k_flatexplore', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=18000, target_iterations=20000, device=cuda, run_id=20260215_181139
[iter=18005] rollout_mean_bb=5.4099 policy_loss=-0.000179 value_loss=0.988546
[iter=18010] rollout_mean_bb=-0.3341 policy_loss=-0.019430 value_loss=1.325710
[iter=18015] rollout_mean_bb=16.8563 policy_loss=0.005584 value_loss=1.360620
[iter=18020] rollout_mean_bb=13.6800 policy_loss=0.010779 value_loss=1.046458
[iter=18025] rollout_mean_bb=14.6217 policy_loss=0.001372 value_loss=1.319204
[iter=18030] rollout_mean_bb=16.5264 policy_loss=-0.001327 value_loss=0.886154
[iter=18035] rollout_mean_bb=9.9922 policy_loss=0.000763 value_loss=1.390489
[iter=18040] rollout_mean_bb=11.1247 policy_loss=0.001164 value_loss=1.050414
[iter=18045] rollout_mean_bb=7.5384 policy_loss=0.001616 value_loss=1.203248
[iter=18050] rollout_mean_bb=13.2705 policy_loss=-0.001442 value_loss=1.151133
[iter=18055] rollout_mean_bb=11.2002 policy_loss=-0.002392 value_loss=1.203249
[iter=18060] rollout_mean_bb=10.5315 policy_loss=-0.035235 value_loss=0.958746
[iter=18065] rollout_mean_bb=1.1287 policy_loss=-0.026496 value_loss=1.361827
[iter=18070] rollout_mean_bb=3.1225 policy_loss=-0.000676 value_loss=1.279237
[iter=18075] rollout_mean_bb=5.3240 policy_loss=-0.008795 value_loss=1.343955
[iter=18080] rollout_mean_bb=3.9752 policy_loss=-0.001309 value_loss=0.976770
[iter=18085] rollout_mean_bb=3.4557 policy_loss=-0.028819 value_loss=0.934722
[iter=18090] rollout_mean_bb=6.1591 policy_loss=0.001814 value_loss=0.980262
[iter=18095] rollout_mean_bb=0.0826 policy_loss=0.001815 value_loss=1.168321
[iter=18100] rollout_mean_bb=9.6942 policy_loss=-0.001516 value_loss=1.076671
[iter=18105] rollout_mean_bb=12.2558 policy_loss=0.000123 value_loss=0.997743
[iter=18110] rollout_mean_bb=9.2409 policy_loss=-0.069868 value_loss=1.289522
[iter=18115] rollout_mean_bb=14.0793 policy_loss=-0.145390 value_loss=1.284189
[iter=18120] rollout_mean_bb=7.3385 policy_loss=0.016164 value_loss=1.274328
[iter=18125] rollout_mean_bb=9.9036 policy_loss=-0.058331 value_loss=1.479087
[iter=18130] rollout_mean_bb=4.2904 policy_loss=-0.055540 value_loss=1.469828
[iter=18135] rollout_mean_bb=6.5404 policy_loss=0.000825 value_loss=0.951423
[iter=18140] rollout_mean_bb=-3.1315 policy_loss=-0.006156 value_loss=1.820894
[iter=18145] rollout_mean_bb=2.4271 policy_loss=-0.010665 value_loss=1.418865
[iter=18150] rollout_mean_bb=5.7904 policy_loss=0.046246 value_loss=1.660107
[iter=18155] rollout_mean_bb=10.4128 policy_loss=-0.033828 value_loss=1.480570
[iter=18160] rollout_mean_bb=1.7227 policy_loss=0.010406 value_loss=1.182621
[iter=18165] rollout_mean_bb=14.0378 policy_loss=-0.015661 value_loss=1.430707
[iter=18170] rollout_mean_bb=8.5820 policy_loss=0.010397 value_loss=1.306230
[iter=18175] rollout_mean_bb=10.0169 policy_loss=-0.059846 value_loss=1.614105
[iter=18180] rollout_mean_bb=10.0195 policy_loss=-0.000759 value_loss=1.478714
[iter=18185] rollout_mean_bb=3.4062 policy_loss=-0.013245 value_loss=1.608151
[iter=18190] rollout_mean_bb=16.4531 policy_loss=0.011738 value_loss=1.559118
[iter=18195] rollout_mean_bb=16.7604 policy_loss=0.009336 value_loss=1.899856
[iter=18200] rollout_mean_bb=0.5130 policy_loss=0.037672 value_loss=1.705825
[iter=18205] rollout_mean_bb=-1.5013 policy_loss=-0.016059 value_loss=1.590474
[iter=18210] rollout_mean_bb=-3.5299 policy_loss=-0.020837 value_loss=1.595262
[iter=18215] rollout_mean_bb=-0.3294 policy_loss=0.011244 value_loss=1.615721
[iter=18220] rollout_mean_bb=8.1888 policy_loss=0.001152 value_loss=1.652329
[iter=18225] rollout_mean_bb=-8.5612 policy_loss=-0.075270 value_loss=1.347675
[iter=18230] rollout_mean_bb=7.4349 policy_loss=-0.143086 value_loss=2.084698
[iter=18235] rollout_mean_bb=0.9505 policy_loss=-0.044719 value_loss=2.232579
[iter=18240] rollout_mean_bb=2.3203 policy_loss=0.044719 value_loss=2.039325
[iter=18245] rollout_mean_bb=2.9870 policy_loss=0.022661 value_loss=1.536271
[iter=18250] rollout_mean_bb=-3.5456 policy_loss=-0.014033 value_loss=1.448093
[iter=18255] rollout_mean_bb=-1.9701 policy_loss=0.128969 value_loss=1.956619
[iter=18260] rollout_mean_bb=3.0716 policy_loss=-0.006435 value_loss=1.754788
[iter=18265] rollout_mean_bb=5.1419 policy_loss=-0.016615 value_loss=1.576177
[iter=18270] rollout_mean_bb=5.2031 policy_loss=0.040261 value_loss=1.441224
[iter=18275] rollout_mean_bb=7.3906 policy_loss=0.016605 value_loss=1.412308
[iter=18280] rollout_mean_bb=0.6406 policy_loss=-0.010687 value_loss=1.623369
[iter=18285] rollout_mean_bb=5.7721 policy_loss=-0.005480 value_loss=1.833398
[iter=18290] rollout_mean_bb=12.5638 policy_loss=-0.039452 value_loss=1.547848
[iter=18295] rollout_mean_bb=10.7070 policy_loss=-0.024653 value_loss=1.483859
[iter=18300] rollout_mean_bb=3.1758 policy_loss=0.003114 value_loss=1.512989
