## SLURM PROLOG ###############################################################
##    Job ID : 381728
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2110
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sun Feb 15 03:57:50 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (381728)
Node: gpu2110
Date: Sun Feb 15 03:57:50 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_recover_balanced_probe_19k
  strict_abstraction=true
  wandb_group=stage_d_recovery_probe_a
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_balanced_probe_19k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=19000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.3, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=896, SELF_PLAY_TEMPERATURE_START=1.04, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.5, PPO_ENTROPY_COEF_START=0.0045, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.5, LEAGUE_RANDOM_OPPONENT_PROB=0.22, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.0, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.47, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_balanced_probe_19k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/anchor_18k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_balanced_probe_19k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=18000, target_iterations=19000, device=cuda, run_id=20260215_205804
[iter=18005] rollout_mean_bb=6.4523 policy_loss=-0.002786 value_loss=1.140567
[iter=18010] rollout_mean_bb=7.0406 policy_loss=0.015403 value_loss=1.415139
[iter=18015] rollout_mean_bb=6.9390 policy_loss=0.000491 value_loss=1.446250
[iter=18020] rollout_mean_bb=7.6413 policy_loss=-0.002945 value_loss=1.287791
[iter=18025] rollout_mean_bb=8.5629 policy_loss=-0.007853 value_loss=1.374051
[iter=18030] rollout_mean_bb=14.3173 policy_loss=-0.008008 value_loss=1.393112
[iter=18035] rollout_mean_bb=11.7198 policy_loss=0.026910 value_loss=1.376347
[iter=18040] rollout_mean_bb=14.3604 policy_loss=-0.002179 value_loss=1.427441
[iter=18045] rollout_mean_bb=11.1831 policy_loss=-0.003868 value_loss=1.238003
[iter=18050] rollout_mean_bb=11.2358 policy_loss=0.004866 value_loss=1.368831
[iter=18055] rollout_mean_bb=15.4441 policy_loss=-0.004924 value_loss=1.233623
[iter=18060] rollout_mean_bb=6.6388 policy_loss=0.000789 value_loss=0.837272
[iter=18065] rollout_mean_bb=9.7424 policy_loss=-0.063578 value_loss=1.180320
[iter=18070] rollout_mean_bb=7.5943 policy_loss=-0.003006 value_loss=0.863199
[iter=18075] rollout_mean_bb=9.0792 policy_loss=0.012337 value_loss=1.197780
[iter=18080] rollout_mean_bb=12.3056 policy_loss=-0.000519 value_loss=1.007008
[iter=18085] rollout_mean_bb=5.0968 policy_loss=0.002347 value_loss=1.415003
[iter=18090] rollout_mean_bb=14.5568 policy_loss=0.004246 value_loss=1.450213
[iter=18095] rollout_mean_bb=7.4340 policy_loss=-0.000871 value_loss=1.357959
[iter=18100] rollout_mean_bb=5.8716 policy_loss=0.010298 value_loss=1.169270
[iter=18105] rollout_mean_bb=11.7395 policy_loss=-0.017814 value_loss=1.156431
[iter=18110] rollout_mean_bb=15.2506 policy_loss=-0.010389 value_loss=1.286456
[iter=18115] rollout_mean_bb=7.4821 policy_loss=-0.003675 value_loss=1.194998
[iter=18120] rollout_mean_bb=3.5022 policy_loss=0.006396 value_loss=1.468376
[iter=18125] rollout_mean_bb=6.6079 policy_loss=0.005122 value_loss=1.506518
[iter=18130] rollout_mean_bb=10.5034 policy_loss=-0.001231 value_loss=1.285098
[iter=18135] rollout_mean_bb=9.0510 policy_loss=-0.008102 value_loss=1.435708
[iter=18140] rollout_mean_bb=2.3887 policy_loss=-0.003537 value_loss=1.329816
[iter=18145] rollout_mean_bb=14.7524 policy_loss=0.011331 value_loss=1.686445
[iter=18150] rollout_mean_bb=0.1619 policy_loss=0.025467 value_loss=1.904461
[iter=18155] rollout_mean_bb=9.2121 policy_loss=0.009102 value_loss=1.729262
[iter=18160] rollout_mean_bb=21.5051 policy_loss=0.006323 value_loss=1.574597
[iter=18165] rollout_mean_bb=1.0619 policy_loss=0.020253 value_loss=1.982615
[iter=18170] rollout_mean_bb=0.0640 policy_loss=0.017968 value_loss=1.798931
[iter=18175] rollout_mean_bb=10.2524 policy_loss=0.001227 value_loss=1.528548
[iter=18180] rollout_mean_bb=12.7735 policy_loss=-0.007100 value_loss=1.636713
[iter=18185] rollout_mean_bb=14.3337 policy_loss=0.009252 value_loss=1.436438
[iter=18190] rollout_mean_bb=3.6339 policy_loss=-0.002224 value_loss=1.489472
[iter=18195] rollout_mean_bb=8.4237 policy_loss=0.005436 value_loss=1.123073
[iter=18200] rollout_mean_bb=2.3747 policy_loss=-0.001266 value_loss=1.491603
[iter=18205] rollout_mean_bb=0.5022 policy_loss=0.003137 value_loss=1.279012
[iter=18210] rollout_mean_bb=6.2617 policy_loss=0.007179 value_loss=1.487891
[iter=18215] rollout_mean_bb=9.9072 policy_loss=-0.022515 value_loss=1.526179
[iter=18220] rollout_mean_bb=10.6628 policy_loss=-0.010031 value_loss=1.346866
[iter=18225] rollout_mean_bb=11.4892 policy_loss=0.010003 value_loss=1.430846
[iter=18230] rollout_mean_bb=10.5345 policy_loss=0.003121 value_loss=1.163117
[iter=18235] rollout_mean_bb=3.8267 policy_loss=0.007187 value_loss=1.413855
[iter=18240] rollout_mean_bb=4.4842 policy_loss=-0.004980 value_loss=1.317679
[iter=18245] rollout_mean_bb=4.6379 policy_loss=0.016451 value_loss=1.362589
[iter=18250] rollout_mean_bb=14.1427 policy_loss=-0.011790 value_loss=1.466218
[iter=18255] rollout_mean_bb=13.9603 policy_loss=0.037451 value_loss=1.487594
[iter=18260] rollout_mean_bb=13.5327 policy_loss=0.009829 value_loss=1.302764
[iter=18265] rollout_mean_bb=2.1028 policy_loss=0.003572 value_loss=1.491154
[iter=18270] rollout_mean_bb=5.2920 policy_loss=-0.001896 value_loss=1.621102
[iter=18275] rollout_mean_bb=14.0670 policy_loss=-0.000440 value_loss=1.590186
[iter=18280] rollout_mean_bb=5.1302 policy_loss=0.055875 value_loss=0.918741
[iter=18285] rollout_mean_bb=4.6765 policy_loss=-0.008246 value_loss=0.694674
[iter=18290] rollout_mean_bb=4.2630 policy_loss=0.000810 value_loss=0.588264
[iter=18295] rollout_mean_bb=14.5389 policy_loss=-0.008778 value_loss=1.353404
[iter=18300] rollout_mean_bb=14.3869 policy_loss=0.005982 value_loss=1.341503
[iter=18305] rollout_mean_bb=15.2806 policy_loss=-0.006965 value_loss=1.474518
[iter=18310] rollout_mean_bb=10.0324 policy_loss=0.006216 value_loss=1.801580
