## SLURM PROLOG ###############################################################
##    Job ID : 381731
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2101
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sun Feb 15 05:39:13 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (381731)
Node: gpu2101
Date: Sun Feb 15 05:39:13 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_recover_conservative_probe_19k
  strict_abstraction=true
  wandb_group=stage_d_recovery_probe_b
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_conservative_probe_19k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=19000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.02, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.4, PPO_ENTROPY_COEF_START=0.0038, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.4, LEAGUE_RANDOM_OPPONENT_PROB=0.2, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.47, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_conservative_probe_19k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/anchor_18k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_conservative_probe_19k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=18000, target_iterations=19000, device=cuda, run_id=20260215_223920
[iter=18005] rollout_mean_bb=10.6572 policy_loss=0.020505 value_loss=1.266948
[iter=18010] rollout_mean_bb=12.9434 policy_loss=0.013592 value_loss=1.211629
[iter=18015] rollout_mean_bb=15.6017 policy_loss=0.010693 value_loss=1.312345
[iter=18020] rollout_mean_bb=3.4676 policy_loss=-0.050059 value_loss=1.119015
[iter=18025] rollout_mean_bb=18.3468 policy_loss=0.148434 value_loss=1.530497
[iter=18030] rollout_mean_bb=9.9606 policy_loss=0.002376 value_loss=1.215295
[iter=18035] rollout_mean_bb=11.2242 policy_loss=-0.096240 value_loss=1.228870
[iter=18040] rollout_mean_bb=11.7509 policy_loss=0.411201 value_loss=2.316025
[iter=18045] rollout_mean_bb=9.5389 policy_loss=-0.022830 value_loss=1.193681
[iter=18050] rollout_mean_bb=4.0822 policy_loss=-0.020192 value_loss=1.627776
[iter=18055] rollout_mean_bb=9.4877 policy_loss=-0.025729 value_loss=1.087069
[iter=18060] rollout_mean_bb=8.1454 policy_loss=-0.182152 value_loss=1.602750
[iter=18065] rollout_mean_bb=10.3337 policy_loss=0.001527 value_loss=1.497030
[iter=18070] rollout_mean_bb=7.9050 policy_loss=-0.009787 value_loss=1.329619
[iter=18075] rollout_mean_bb=8.7825 policy_loss=-0.088135 value_loss=1.458261
[iter=18080] rollout_mean_bb=18.7612 policy_loss=-0.015636 value_loss=1.549435
[iter=18085] rollout_mean_bb=14.1796 policy_loss=-0.079700 value_loss=1.346941
[iter=18090] rollout_mean_bb=8.7660 policy_loss=0.036242 value_loss=1.591044
[iter=18095] rollout_mean_bb=3.8699 policy_loss=0.003886 value_loss=1.630456
[iter=18100] rollout_mean_bb=6.6797 policy_loss=-0.005440 value_loss=1.418207
[iter=18105] rollout_mean_bb=16.0228 policy_loss=-0.033245 value_loss=1.495482
[iter=18110] rollout_mean_bb=7.6328 policy_loss=-0.000541 value_loss=1.604236
[iter=18115] rollout_mean_bb=12.4851 policy_loss=0.006116 value_loss=1.617676
[iter=18120] rollout_mean_bb=6.3311 policy_loss=-0.029859 value_loss=1.422097
[iter=18125] rollout_mean_bb=15.2407 policy_loss=0.009724 value_loss=1.340895
[iter=18130] rollout_mean_bb=13.9193 policy_loss=-0.001319 value_loss=1.142887
[iter=18135] rollout_mean_bb=19.1623 policy_loss=-0.039054 value_loss=1.436312
[iter=18140] rollout_mean_bb=14.7987 policy_loss=0.002492 value_loss=1.568193
[iter=18145] rollout_mean_bb=7.8612 policy_loss=0.003321 value_loss=1.396848
[iter=18150] rollout_mean_bb=8.9353 policy_loss=0.363173 value_loss=2.233625
[iter=18155] rollout_mean_bb=14.9458 policy_loss=-0.001197 value_loss=1.383874
[iter=18160] rollout_mean_bb=12.6172 policy_loss=0.001126 value_loss=1.297551
[iter=18165] rollout_mean_bb=10.9416 policy_loss=-0.007395 value_loss=1.525346
[iter=18170] rollout_mean_bb=17.5335 policy_loss=-0.001197 value_loss=1.143063
[iter=18175] rollout_mean_bb=7.9355 policy_loss=-0.059321 value_loss=1.543839
[iter=18180] rollout_mean_bb=11.8840 policy_loss=0.019305 value_loss=1.400299
[iter=18185] rollout_mean_bb=18.6011 policy_loss=0.003640 value_loss=1.623869
[iter=18190] rollout_mean_bb=4.5309 policy_loss=-0.000288 value_loss=1.732402
[iter=18195] rollout_mean_bb=14.6062 policy_loss=0.002795 value_loss=1.455637
[iter=18200] rollout_mean_bb=10.4451 policy_loss=-0.000122 value_loss=1.367911
[iter=18205] rollout_mean_bb=8.8523 policy_loss=-0.214567 value_loss=2.030449
[iter=18210] rollout_mean_bb=13.4369 policy_loss=0.000385 value_loss=1.672991
[iter=18215] rollout_mean_bb=7.1929 policy_loss=0.041628 value_loss=1.694410
[iter=18220] rollout_mean_bb=11.2694 policy_loss=0.014238 value_loss=1.284198
[iter=18225] rollout_mean_bb=11.6257 policy_loss=-0.006439 value_loss=1.858371
[iter=18230] rollout_mean_bb=9.8977 policy_loss=0.008275 value_loss=1.542919
[iter=18235] rollout_mean_bb=9.2891 policy_loss=0.008103 value_loss=1.436342
[iter=18240] rollout_mean_bb=13.0691 policy_loss=-0.001803 value_loss=1.161278
[iter=18245] rollout_mean_bb=14.1941 policy_loss=-0.012387 value_loss=1.663132
[iter=18250] rollout_mean_bb=6.9376 policy_loss=0.000128 value_loss=1.637126
[iter=18255] rollout_mean_bb=10.1339 policy_loss=-0.041224 value_loss=1.567767
[iter=18260] rollout_mean_bb=8.1685 policy_loss=-0.045727 value_loss=1.955801
[iter=18265] rollout_mean_bb=14.9291 policy_loss=-0.015762 value_loss=1.751876
[iter=18270] rollout_mean_bb=10.8032 policy_loss=-0.009720 value_loss=1.701451
[iter=18275] rollout_mean_bb=6.0045 policy_loss=0.025816 value_loss=1.448027
[iter=18280] rollout_mean_bb=19.7925 policy_loss=-0.001725 value_loss=1.610059
[iter=18285] rollout_mean_bb=7.1490 policy_loss=-0.026414 value_loss=1.537466
[iter=18290] rollout_mean_bb=11.3015 policy_loss=0.028373 value_loss=1.425126
[iter=18295] rollout_mean_bb=10.8543 policy_loss=-0.001025 value_loss=1.563923
[iter=18300] rollout_mean_bb=13.8748 policy_loss=-0.059067 value_loss=1.356861
[iter=18305] rollout_mean_bb=10.4680 policy_loss=-0.017587 value_loss=1.598603
[iter=18310] rollout_mean_bb=8.6053 policy_loss=0.018333 value_loss=1.791565
