## SLURM PROLOG ###############################################################
##    Job ID : 382232
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2106
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sun Feb 15 08:29:36 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (382232)
Node: gpu2106
Date: Sun Feb 15 08:29:36 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_recover_selected_20k
  strict_abstraction=true
  wandb_group=stage_d_recovery_selected_20k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_selected_20k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.3, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=896, SELF_PLAY_TEMPERATURE_START=1.04, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.5, PPO_ENTROPY_COEF_START=0.0045, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.5, LEAGUE_RANDOM_OPPONENT_PROB=0.22, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.0, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.47, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_selected_20k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/winner_19k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_selected_20k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=19000, target_iterations=20000, device=cuda, run_id=20260216_012945
[iter=19005] rollout_mean_bb=9.0593 policy_loss=-0.051750 value_loss=1.474833
[iter=19010] rollout_mean_bb=9.0158 policy_loss=0.005448 value_loss=1.269238
[iter=19015] rollout_mean_bb=5.6993 policy_loss=-0.000073 value_loss=1.289445
[iter=19020] rollout_mean_bb=6.3602 policy_loss=-0.005617 value_loss=1.314120
[iter=19025] rollout_mean_bb=9.3404 policy_loss=-0.007280 value_loss=1.491598
[iter=19030] rollout_mean_bb=9.7489 policy_loss=-0.038844 value_loss=1.173116
[iter=19035] rollout_mean_bb=9.6138 policy_loss=0.017366 value_loss=1.540412
[iter=19040] rollout_mean_bb=14.0466 policy_loss=0.006190 value_loss=1.202282
[iter=19045] rollout_mean_bb=7.9989 policy_loss=-0.000904 value_loss=1.732398
[iter=19050] rollout_mean_bb=12.1280 policy_loss=-0.015894 value_loss=1.382559
[iter=19055] rollout_mean_bb=2.0905 policy_loss=0.023514 value_loss=1.370519
[iter=19060] rollout_mean_bb=12.4202 policy_loss=-0.015752 value_loss=1.292010
[iter=19065] rollout_mean_bb=8.0284 policy_loss=-0.015280 value_loss=1.344555
[iter=19070] rollout_mean_bb=17.9836 policy_loss=0.009818 value_loss=1.291210
[iter=19075] rollout_mean_bb=4.5872 policy_loss=-0.017351 value_loss=1.336521
[iter=19080] rollout_mean_bb=1.0573 policy_loss=-0.007997 value_loss=1.558864
[iter=19085] rollout_mean_bb=4.8093 policy_loss=0.008524 value_loss=1.313337
[iter=19090] rollout_mean_bb=14.9639 policy_loss=0.034876 value_loss=1.333660
[iter=19095] rollout_mean_bb=11.6705 policy_loss=0.002402 value_loss=1.271771
[iter=19100] rollout_mean_bb=6.6527 policy_loss=0.080244 value_loss=1.066780
[iter=19105] rollout_mean_bb=13.0635 policy_loss=-0.016061 value_loss=1.222223
[iter=19110] rollout_mean_bb=10.9394 policy_loss=-0.006483 value_loss=1.571326
[iter=19115] rollout_mean_bb=1.1080 policy_loss=0.042942 value_loss=1.522608
[iter=19120] rollout_mean_bb=10.1562 policy_loss=-0.003842 value_loss=1.461049
[iter=19125] rollout_mean_bb=5.5699 policy_loss=0.017889 value_loss=1.402713
[iter=19130] rollout_mean_bb=7.5166 policy_loss=-0.025873 value_loss=1.924491
[iter=19135] rollout_mean_bb=4.0431 policy_loss=-0.007453 value_loss=1.574199
[iter=19140] rollout_mean_bb=7.3875 policy_loss=-0.004194 value_loss=1.459136
[iter=19145] rollout_mean_bb=3.6231 policy_loss=0.001103 value_loss=1.689052
[iter=19150] rollout_mean_bb=11.3872 policy_loss=-0.005005 value_loss=1.479152
[iter=19155] rollout_mean_bb=15.4603 policy_loss=0.004431 value_loss=1.610890
[iter=19160] rollout_mean_bb=7.7676 policy_loss=0.010944 value_loss=1.738453
[iter=19165] rollout_mean_bb=12.2080 policy_loss=0.001990 value_loss=1.288014
[iter=19170] rollout_mean_bb=16.4376 policy_loss=-0.008260 value_loss=1.627268
[iter=19175] rollout_mean_bb=10.6303 policy_loss=0.018080 value_loss=1.574374
[iter=19180] rollout_mean_bb=12.7748 policy_loss=0.013543 value_loss=1.746112
[iter=19185] rollout_mean_bb=17.7220 policy_loss=-0.001588 value_loss=1.790742
[iter=19190] rollout_mean_bb=17.4130 policy_loss=-0.004691 value_loss=1.489042
[iter=19195] rollout_mean_bb=21.2384 policy_loss=0.002446 value_loss=1.745301
[iter=19200] rollout_mean_bb=8.2994 policy_loss=-0.001879 value_loss=1.715329
[iter=19205] rollout_mean_bb=4.9100 policy_loss=-0.009946 value_loss=1.560738
[iter=19210] rollout_mean_bb=8.7029 policy_loss=-0.006227 value_loss=1.710930
[iter=19215] rollout_mean_bb=2.0957 policy_loss=-0.006195 value_loss=1.582667
[iter=19220] rollout_mean_bb=16.6412 policy_loss=0.007873 value_loss=1.467302
[iter=19225] rollout_mean_bb=14.1106 policy_loss=-0.014385 value_loss=1.315475
[iter=19230] rollout_mean_bb=9.3346 policy_loss=0.006914 value_loss=1.374510
[iter=19235] rollout_mean_bb=-3.8937 policy_loss=0.005823 value_loss=1.794111
[iter=19240] rollout_mean_bb=13.3875 policy_loss=0.020290 value_loss=1.665087
[iter=19245] rollout_mean_bb=9.0952 policy_loss=0.001284 value_loss=1.598872
[iter=19250] rollout_mean_bb=5.6774 policy_loss=-0.000724 value_loss=1.597350
[iter=19255] rollout_mean_bb=14.2707 policy_loss=-0.055893 value_loss=1.568876
[iter=19260] rollout_mean_bb=8.3614 policy_loss=0.003297 value_loss=1.372901
[iter=19265] rollout_mean_bb=11.9967 policy_loss=0.004541 value_loss=1.714460
[iter=19270] rollout_mean_bb=15.2197 policy_loss=0.011703 value_loss=1.485010
[iter=19275] rollout_mean_bb=5.8980 policy_loss=-0.000640 value_loss=1.773724
[iter=19280] rollout_mean_bb=11.6804 policy_loss=0.009210 value_loss=1.511156
[iter=19285] rollout_mean_bb=3.0311 policy_loss=-0.001235 value_loss=1.638923
[iter=19290] rollout_mean_bb=11.6548 policy_loss=0.001692 value_loss=1.679852
[iter=19295] rollout_mean_bb=9.9991 policy_loss=0.012083 value_loss=1.491042
[iter=19300] rollout_mean_bb=9.5282 policy_loss=0.011360 value_loss=1.430550
[iter=19305] rollout_mean_bb=8.3247 policy_loss=-0.013709 value_loss=1.687371
