## SLURM PROLOG ###############################################################
##    Job ID : 382783
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2107
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Sun Feb 15 11:02:27 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (382783)
Node: gpu2107
Date: Sun Feb 15 11:02:27 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_recover_c1_strict_conservative_20k
  strict_abstraction=true
  wandb_group=stage_d_recovery_probe_a
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_c1_strict_conservative_20k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.02, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.4, PPO_ENTROPY_COEF_START=0.0038, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.4, LEAGUE_RANDOM_OPPONENT_PROB=0.2, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=25, LR=6.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.47, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_c1_strict_conservative_20k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/winner_19k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_c1_strict_conservative_20k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=19000, target_iterations=20000, device=cuda, run_id=20260216_040244
[iter=19005] rollout_mean_bb=4.5338 policy_loss=-0.084843 value_loss=1.382501
[iter=19010] rollout_mean_bb=8.8249 policy_loss=-0.020828 value_loss=1.414879
[iter=19015] rollout_mean_bb=10.8574 policy_loss=0.005206 value_loss=1.871430
[iter=19020] rollout_mean_bb=8.7239 policy_loss=-0.077469 value_loss=1.324702
[iter=19025] rollout_mean_bb=7.9665 policy_loss=0.008964 value_loss=1.216530
[iter=19030] rollout_mean_bb=7.0840 policy_loss=-0.016732 value_loss=1.484823
[iter=19035] rollout_mean_bb=9.1376 policy_loss=0.014591 value_loss=1.053071
[iter=19040] rollout_mean_bb=14.0951 policy_loss=0.031844 value_loss=1.479063
[iter=19045] rollout_mean_bb=6.9117 policy_loss=-0.033653 value_loss=1.535964
[iter=19050] rollout_mean_bb=9.4524 policy_loss=0.024643 value_loss=1.422515
[iter=19055] rollout_mean_bb=3.2705 policy_loss=0.020395 value_loss=1.566095
[iter=19060] rollout_mean_bb=7.5544 policy_loss=0.000717 value_loss=1.696212
[iter=19065] rollout_mean_bb=9.6080 policy_loss=0.096780 value_loss=1.629446
[iter=19070] rollout_mean_bb=16.3182 policy_loss=0.006714 value_loss=1.424315
[iter=19075] rollout_mean_bb=16.1041 policy_loss=0.072581 value_loss=1.791641
[iter=19080] rollout_mean_bb=5.4981 policy_loss=0.002515 value_loss=1.430763
[iter=19085] rollout_mean_bb=8.6549 policy_loss=-0.025789 value_loss=1.464712
[iter=19090] rollout_mean_bb=15.1309 policy_loss=-0.012846 value_loss=1.541394
[iter=19095] rollout_mean_bb=12.7085 policy_loss=-0.023527 value_loss=1.297915
[iter=19100] rollout_mean_bb=10.6693 policy_loss=-0.047416 value_loss=1.370232
[iter=19105] rollout_mean_bb=8.9886 policy_loss=-0.034893 value_loss=1.360795
[iter=19110] rollout_mean_bb=7.3536 policy_loss=0.034871 value_loss=1.408977
[iter=19115] rollout_mean_bb=6.6543 policy_loss=-0.011085 value_loss=1.070473
[iter=19120] rollout_mean_bb=12.9110 policy_loss=-0.012396 value_loss=1.242197
[iter=19125] rollout_mean_bb=-1.5470 policy_loss=-0.019534 value_loss=1.505615
[iter=19130] rollout_mean_bb=8.8138 policy_loss=0.000662 value_loss=1.677541
[iter=19135] rollout_mean_bb=4.7885 policy_loss=0.018539 value_loss=1.063309
[iter=19140] rollout_mean_bb=10.6205 policy_loss=-0.008631 value_loss=1.643988
[iter=19145] rollout_mean_bb=14.6606 policy_loss=-0.133474 value_loss=1.868073
[iter=19150] rollout_mean_bb=15.5237 policy_loss=0.040677 value_loss=1.837135
[iter=19155] rollout_mean_bb=11.7592 policy_loss=-0.012629 value_loss=1.540703
[iter=19160] rollout_mean_bb=10.2369 policy_loss=0.010793 value_loss=1.483476
[iter=19165] rollout_mean_bb=12.8866 policy_loss=-0.027337 value_loss=1.482575
[iter=19170] rollout_mean_bb=5.8645 policy_loss=-0.014936 value_loss=1.353294
[iter=19175] rollout_mean_bb=11.3200 policy_loss=-0.008081 value_loss=1.323248
[iter=19180] rollout_mean_bb=15.4890 policy_loss=0.050478 value_loss=1.003532
[iter=19185] rollout_mean_bb=5.7414 policy_loss=-0.007575 value_loss=1.595569
[iter=19190] rollout_mean_bb=12.1075 policy_loss=0.049258 value_loss=1.753626
[iter=19195] rollout_mean_bb=4.1136 policy_loss=0.005098 value_loss=1.499621
[iter=19200] rollout_mean_bb=11.2858 policy_loss=0.017428 value_loss=1.402934
[iter=19205] rollout_mean_bb=9.7969 policy_loss=-0.042269 value_loss=1.303612
[iter=19210] rollout_mean_bb=16.0843 policy_loss=-0.004029 value_loss=1.629926
[iter=19215] rollout_mean_bb=7.1390 policy_loss=-0.069425 value_loss=0.953359
[iter=19220] rollout_mean_bb=8.0170 policy_loss=-0.009027 value_loss=1.348801
[iter=19225] rollout_mean_bb=11.0995 policy_loss=0.052125 value_loss=1.351644
[iter=19230] rollout_mean_bb=9.9622 policy_loss=0.009061 value_loss=1.444141
[iter=19235] rollout_mean_bb=11.5180 policy_loss=-0.003678 value_loss=1.415988
[iter=19240] rollout_mean_bb=14.4745 policy_loss=-0.009315 value_loss=1.411915
[iter=19245] rollout_mean_bb=8.8633 policy_loss=0.026035 value_loss=1.584032
[iter=19250] rollout_mean_bb=10.6197 policy_loss=-0.009743 value_loss=1.484505
[iter=19255] rollout_mean_bb=12.6535 policy_loss=0.000511 value_loss=1.379970
[iter=19260] rollout_mean_bb=15.8207 policy_loss=-0.034392 value_loss=1.331430
[iter=19265] rollout_mean_bb=4.7134 policy_loss=0.004790 value_loss=1.500538
[iter=19270] rollout_mean_bb=3.0500 policy_loss=0.031263 value_loss=1.657148
[iter=19275] rollout_mean_bb=7.5208 policy_loss=0.097311 value_loss=1.677286
[iter=19280] rollout_mean_bb=12.1413 policy_loss=0.000977 value_loss=1.511576
[iter=19285] rollout_mean_bb=8.2024 policy_loss=0.018011 value_loss=1.786245
[iter=19290] rollout_mean_bb=6.1352 policy_loss=-0.019777 value_loss=0.524709
[iter=19295] rollout_mean_bb=9.0447 policy_loss=0.018103 value_loss=1.444721
[iter=19300] rollout_mean_bb=10.7044 policy_loss=0.086185 value_loss=1.671385
[iter=19305] rollout_mean_bb=11.9103 policy_loss=0.006718 value_loss=1.611168
[iter=19310] rollout_mean_bb=8.5409 policy_loss=-0.091409 value_loss=1.527998
