## SLURM PROLOG ###############################################################
##    Job ID : 382786
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2264
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Mon Feb 16 12:49:23 AM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (382786)
Node: gpu2264
Date: Mon Feb 16 12:49:23 AM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_recover_c2_halfpot_nudge_20k
  strict_abstraction=true
  wandb_group=stage_d_recovery_probe_b
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_recover_c2_halfpot_nudge_20k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.03, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.4, PPO_ENTROPY_COEF_START=0.0042, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.4, LEAGUE_RANDOM_OPPONENT_PROB=0.2, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=25, LR=6.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.47, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_recover_c2_halfpot_nudge_20k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/winner_19k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_recover_c2_halfpot_nudge_20k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=19000, target_iterations=20000, device=cuda, run_id=20260216_054933
[iter=19005] rollout_mean_bb=8.5237 policy_loss=0.052186 value_loss=1.419917
[iter=19010] rollout_mean_bb=4.5256 policy_loss=0.018800 value_loss=1.532115
[iter=19015] rollout_mean_bb=10.7209 policy_loss=-0.000540 value_loss=1.626056
[iter=19020] rollout_mean_bb=11.1159 policy_loss=-0.083182 value_loss=1.200855
[iter=19025] rollout_mean_bb=10.1144 policy_loss=0.027798 value_loss=1.571237
[iter=19030] rollout_mean_bb=10.0123 policy_loss=-0.014209 value_loss=1.463806
[iter=19035] rollout_mean_bb=5.7228 policy_loss=-0.008768 value_loss=1.434773
[iter=19040] rollout_mean_bb=9.6191 policy_loss=0.055673 value_loss=1.308949
[iter=19045] rollout_mean_bb=12.9951 policy_loss=-0.014230 value_loss=1.456446
[iter=19050] rollout_mean_bb=14.0572 policy_loss=-0.014205 value_loss=1.379053
[iter=19055] rollout_mean_bb=18.2763 policy_loss=0.000742 value_loss=1.372947
[iter=19060] rollout_mean_bb=5.9338 policy_loss=0.009178 value_loss=1.393588
[iter=19065] rollout_mean_bb=11.0893 policy_loss=-0.015762 value_loss=1.301397
[iter=19070] rollout_mean_bb=10.3842 policy_loss=0.032569 value_loss=1.432225
[iter=19075] rollout_mean_bb=17.1050 policy_loss=-0.009675 value_loss=1.768615
[iter=19080] rollout_mean_bb=6.4799 policy_loss=-0.000918 value_loss=1.478940
[iter=19085] rollout_mean_bb=6.5292 policy_loss=-0.224791 value_loss=2.049278
[iter=19090] rollout_mean_bb=12.1748 policy_loss=0.031733 value_loss=1.363383
[iter=19095] rollout_mean_bb=7.3722 policy_loss=-0.055288 value_loss=1.557878
[iter=19100] rollout_mean_bb=13.4301 policy_loss=0.008235 value_loss=1.344504
[iter=19105] rollout_mean_bb=12.3005 policy_loss=0.004511 value_loss=1.499288
[iter=19110] rollout_mean_bb=-0.6407 policy_loss=-0.107315 value_loss=0.780382
[iter=19115] rollout_mean_bb=3.5856 policy_loss=-0.002619 value_loss=0.572934
[iter=19120] rollout_mean_bb=6.3497 policy_loss=-0.044061 value_loss=0.539898
[iter=19125] rollout_mean_bb=-1.4509 policy_loss=-0.004294 value_loss=0.739147
[iter=19130] rollout_mean_bb=-0.8000 policy_loss=-0.031617 value_loss=0.493371
[iter=19135] rollout_mean_bb=1.4555 policy_loss=-0.015322 value_loss=0.500803
[iter=19140] rollout_mean_bb=3.5472 policy_loss=0.009057 value_loss=0.612791
[iter=19145] rollout_mean_bb=2.3608 policy_loss=-0.009176 value_loss=0.572234
[iter=19150] rollout_mean_bb=-0.6571 policy_loss=0.000541 value_loss=0.689608
[iter=19155] rollout_mean_bb=1.2370 policy_loss=0.124096 value_loss=0.732490
[iter=19160] rollout_mean_bb=0.1419 policy_loss=0.001371 value_loss=0.482077
[iter=19165] rollout_mean_bb=3.4719 policy_loss=-0.002043 value_loss=0.551540
[iter=19170] rollout_mean_bb=-0.2334 policy_loss=-0.005048 value_loss=0.607409
[iter=19175] rollout_mean_bb=3.9011 policy_loss=0.006674 value_loss=0.511538
[iter=19180] rollout_mean_bb=2.5018 policy_loss=-0.073768 value_loss=0.453102
[iter=19185] rollout_mean_bb=2.2642 policy_loss=0.010886 value_loss=0.547765
[iter=19190] rollout_mean_bb=0.3633 policy_loss=0.008115 value_loss=0.348663
[iter=19195] rollout_mean_bb=0.4032 policy_loss=-0.028089 value_loss=0.498168
[iter=19200] rollout_mean_bb=2.7108 policy_loss=-0.000707 value_loss=0.699083
[iter=19205] rollout_mean_bb=-2.0239 policy_loss=0.000880 value_loss=0.574962
[iter=19210] rollout_mean_bb=3.2468 policy_loss=-0.018110 value_loss=0.470684
[iter=19215] rollout_mean_bb=-0.8689 policy_loss=-0.023950 value_loss=0.416228
[iter=19220] rollout_mean_bb=1.4489 policy_loss=0.004575 value_loss=0.568553
[iter=19225] rollout_mean_bb=2.4482 policy_loss=0.042384 value_loss=0.429111
[iter=19230] rollout_mean_bb=2.1739 policy_loss=0.016169 value_loss=0.606014
[iter=19235] rollout_mean_bb=-0.7076 policy_loss=0.020568 value_loss=0.496492
[iter=19240] rollout_mean_bb=0.7745 policy_loss=0.002492 value_loss=0.542285
[iter=19245] rollout_mean_bb=-2.4134 policy_loss=0.001218 value_loss=0.617293
[iter=19250] rollout_mean_bb=4.0366 policy_loss=-0.008318 value_loss=0.464882
[iter=19255] rollout_mean_bb=-1.8526 policy_loss=-0.000871 value_loss=0.612437
[iter=19260] rollout_mean_bb=2.2345 policy_loss=0.008272 value_loss=0.629369
[iter=19265] rollout_mean_bb=1.5069 policy_loss=-0.011515 value_loss=0.522158
[iter=19270] rollout_mean_bb=-0.6255 policy_loss=0.242651 value_loss=0.891452
[iter=19275] rollout_mean_bb=5.7608 policy_loss=-0.025002 value_loss=0.482495
[iter=19280] rollout_mean_bb=4.0176 policy_loss=-0.081252 value_loss=0.624128
[iter=19285] rollout_mean_bb=-1.3632 policy_loss=0.009546 value_loss=0.529787
[iter=19290] rollout_mean_bb=0.9214 policy_loss=-0.015469 value_loss=0.407370
[iter=19295] rollout_mean_bb=-1.6885 policy_loss=-0.039372 value_loss=0.312422
[iter=19300] rollout_mean_bb=3.3317 policy_loss=0.049031 value_loss=0.709842
[iter=19305] rollout_mean_bb=-0.0708 policy_loss=0.000132 value_loss=0.710520
[iter=19310] rollout_mean_bb=0.9758 policy_loss=-0.006432 value_loss=0.581239
