## SLURM PROLOG ###############################################################
##    Job ID : 386753
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2502
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Mon Feb 16 11:33:37 AM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (386753)
Node: gpu2502
Date: Mon Feb 16 11:33:37 AM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_restore_potmix_p1_20k
  strict_abstraction=true
  wandb_group=stage_d_recovery_probe_a
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_restore_potmix_p1_20k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.02, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.4, PPO_ENTROPY_COEF_START=0.0038, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.4, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.85, RANDOM_OPPONENT_PROB=0.15, EXPLOIT_OPPONENT_PROB=0.0, EXPLOIT_OPPONENT_SET='always_call,pot_pressure,sticky_call', STYLE_TARGET_PROFILE_PATH='logs/stage_d/targets/solver_style_target_latest.json', STYLE_TARGET_USE_SOLVER_PROFILE=True, STYLE_REG_COEF_START=0.02, STYLE_REG_COEF_END=0.005, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=25, LR=6.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_POT_MIX_GATE_ENABLE=True, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.45, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_restore_potmix_p1_20k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/winner_19k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_restore_potmix_p1_20k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=19000, target_iterations=20000, device=cuda, run_id=20260216_163356
[iter=19005] rollout_mean_bb=5.9596 policy_loss=0.035150 value_loss=1.745117
[iter=19010] rollout_mean_bb=8.6087 policy_loss=0.002551 value_loss=1.435799
[iter=19015] rollout_mean_bb=5.1768 policy_loss=0.012398 value_loss=1.567475
[iter=19020] rollout_mean_bb=6.4413 policy_loss=-0.033560 value_loss=1.070372
[iter=19025] rollout_mean_bb=9.1592 policy_loss=-0.009089 value_loss=1.410387
[iter=19030] rollout_mean_bb=5.3679 policy_loss=-0.070586 value_loss=1.650805
[iter=19035] rollout_mean_bb=12.0500 policy_loss=-0.056186 value_loss=1.267962
[iter=19040] rollout_mean_bb=9.6400 policy_loss=0.005070 value_loss=1.483188
[iter=19045] rollout_mean_bb=1.8262 policy_loss=-0.063701 value_loss=1.158352
[iter=19050] rollout_mean_bb=4.5027 policy_loss=0.007215 value_loss=1.390984
[iter=19055] rollout_mean_bb=-0.0560 policy_loss=0.001195 value_loss=1.647707
[iter=19060] rollout_mean_bb=11.8098 policy_loss=-0.066278 value_loss=1.419812
[iter=19065] rollout_mean_bb=9.5509 policy_loss=-0.009933 value_loss=1.211098
[iter=19070] rollout_mean_bb=10.9313 policy_loss=-0.027157 value_loss=1.361687
[iter=19075] rollout_mean_bb=-0.5475 policy_loss=-0.003834 value_loss=1.485449
[iter=19080] rollout_mean_bb=10.1036 policy_loss=0.018208 value_loss=1.177796
[iter=19085] rollout_mean_bb=11.2779 policy_loss=0.012468 value_loss=1.642246
[iter=19090] rollout_mean_bb=14.6017 policy_loss=-0.022191 value_loss=1.341267
[iter=19095] rollout_mean_bb=10.5630 policy_loss=0.004009 value_loss=1.738177
[iter=19100] rollout_mean_bb=3.3786 policy_loss=-0.011646 value_loss=1.416453
[iter=19105] rollout_mean_bb=12.5323 policy_loss=0.007690 value_loss=1.079525
[iter=19110] rollout_mean_bb=11.8163 policy_loss=-0.017718 value_loss=1.500801
[iter=19115] rollout_mean_bb=8.7248 policy_loss=-0.019033 value_loss=1.235708
[iter=19120] rollout_mean_bb=10.7228 policy_loss=-0.001288 value_loss=1.281559
[iter=19125] rollout_mean_bb=10.8498 policy_loss=-0.002915 value_loss=1.539678
[iter=19130] rollout_mean_bb=10.6139 policy_loss=0.107063 value_loss=1.734787
[iter=19135] rollout_mean_bb=5.4318 policy_loss=-0.015799 value_loss=1.644024
[iter=19140] rollout_mean_bb=6.7469 policy_loss=-0.034833 value_loss=1.403587
[iter=19145] rollout_mean_bb=3.8973 policy_loss=-0.034660 value_loss=1.401513
[iter=19150] rollout_mean_bb=7.4216 policy_loss=0.012163 value_loss=1.315792
[iter=19155] rollout_mean_bb=9.2334 policy_loss=-0.049454 value_loss=1.134464
[iter=19160] rollout_mean_bb=4.2018 policy_loss=0.001339 value_loss=1.433139
[iter=19165] rollout_mean_bb=8.8583 policy_loss=0.000317 value_loss=1.522959
[iter=19170] rollout_mean_bb=9.0642 policy_loss=-0.019635 value_loss=1.477628
[iter=19175] rollout_mean_bb=12.9201 policy_loss=0.060719 value_loss=1.450653
[iter=19180] rollout_mean_bb=7.3988 policy_loss=0.020482 value_loss=1.504130
[iter=19185] rollout_mean_bb=1.2701 policy_loss=0.002610 value_loss=1.497940
[iter=19190] rollout_mean_bb=13.1932 policy_loss=0.001475 value_loss=1.401882
[iter=19195] rollout_mean_bb=9.6195 policy_loss=0.027896 value_loss=1.377506
[iter=19200] rollout_mean_bb=12.6059 policy_loss=-0.009893 value_loss=1.351212
[iter=19205] rollout_mean_bb=2.2164 policy_loss=-0.029517 value_loss=1.383697
[iter=19210] rollout_mean_bb=14.9011 policy_loss=0.036442 value_loss=1.358371
[iter=19215] rollout_mean_bb=14.9588 policy_loss=0.003754 value_loss=1.463396
[iter=19220] rollout_mean_bb=14.5555 policy_loss=0.013411 value_loss=1.482350
[iter=19225] rollout_mean_bb=7.0080 policy_loss=-0.005080 value_loss=1.221304
[iter=19230] rollout_mean_bb=13.3330 policy_loss=0.003693 value_loss=1.442170
[iter=19235] rollout_mean_bb=2.8498 policy_loss=-0.001311 value_loss=1.567198
[iter=19240] rollout_mean_bb=10.6642 policy_loss=0.037149 value_loss=1.379501
[iter=19245] rollout_mean_bb=6.6685 policy_loss=0.001395 value_loss=1.527691
[iter=19250] rollout_mean_bb=1.4803 policy_loss=0.026497 value_loss=1.514742
[iter=19255] rollout_mean_bb=15.2341 policy_loss=-0.010552 value_loss=1.369197
[iter=19260] rollout_mean_bb=-0.0751 policy_loss=-0.029293 value_loss=0.602213
[iter=19265] rollout_mean_bb=6.6257 policy_loss=-0.064682 value_loss=0.665851
[iter=19270] rollout_mean_bb=5.7940 policy_loss=-0.001791 value_loss=1.614391
[iter=19275] rollout_mean_bb=0.7836 policy_loss=0.025484 value_loss=1.255466
[iter=19280] rollout_mean_bb=13.6211 policy_loss=0.002974 value_loss=1.570002
[iter=19285] rollout_mean_bb=12.9223 policy_loss=0.000344 value_loss=1.521548
[iter=19290] rollout_mean_bb=13.4810 policy_loss=0.010555 value_loss=1.469662
[iter=19295] rollout_mean_bb=9.3601 policy_loss=0.005366 value_loss=1.577613
[iter=19300] rollout_mean_bb=11.9162 policy_loss=0.001456 value_loss=1.446468
[iter=19305] rollout_mean_bb=13.7696 policy_loss=0.009070 value_loss=1.490526
[iter=19310] rollout_mean_bb=10.3476 policy_loss=0.037891 value_loss=1.480928
[iter=19315] rollout_mean_bb=11.1319 policy_loss=0.039720 value_loss=1.332564
[iter=19320] rollout_mean_bb=9.7349 policy_loss=0.072082 value_loss=1.521383
[iter=19325] rollout_mean_bb=5.4565 policy_loss=0.006007 value_loss=1.210208
[iter=19330] rollout_mean_bb=7.0655 policy_loss=0.008839 value_loss=1.616622
[iter=19335] rollout_mean_bb=6.2231 policy_loss=-0.001182 value_loss=1.509733
[iter=19340] rollout_mean_bb=18.4561 policy_loss=-0.012661 value_loss=1.375752
[iter=19345] rollout_mean_bb=7.1757 policy_loss=-0.033150 value_loss=1.184397
[iter=19350] rollout_mean_bb=16.0665 policy_loss=-0.001278 value_loss=1.408023
