## SLURM PROLOG ###############################################################
##    Job ID : 386756
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2505
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Mon Feb 16 01:25:13 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (386756)
Node: gpu2505
Date: Mon Feb 16 01:25:13 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_restore_potmix_p2_20k
  strict_abstraction=true
  wandb_group=stage_d_recovery_probe_b
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_restore_potmix_p2_20k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.02, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.4, PPO_ENTROPY_COEF_START=0.0038, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.4, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.6, RANDOM_OPPONENT_PROB=0.15, EXPLOIT_OPPONENT_PROB=0.25, EXPLOIT_OPPONENT_SET='always_call,pot_pressure,sticky_call', STYLE_TARGET_PROFILE_PATH='logs/stage_d/targets/solver_style_target_latest.json', STYLE_TARGET_USE_SOLVER_PROFILE=True, STYLE_REG_COEF_START=0.02, STYLE_REG_COEF_END=0.005, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=25, LR=6.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_POT_MIX_GATE_ENABLE=True, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.45, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_restore_potmix_p2_20k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/winner_19k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_restore_potmix_p2_20k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=19000, target_iterations=20000, device=cuda, run_id=20260216_182521
[iter=19005] rollout_mean_bb=8.8838 policy_loss=-0.000993 value_loss=1.101301
[iter=19010] rollout_mean_bb=9.1487 policy_loss=0.003350 value_loss=0.920508
[iter=19015] rollout_mean_bb=11.4276 policy_loss=0.010398 value_loss=1.241549
[iter=19020] rollout_mean_bb=11.7027 policy_loss=-0.013365 value_loss=1.150909
[iter=19025] rollout_mean_bb=11.4017 policy_loss=0.009795 value_loss=1.315726
[iter=19030] rollout_mean_bb=5.9807 policy_loss=0.002783 value_loss=1.193874
[iter=19035] rollout_mean_bb=13.0087 policy_loss=-0.000224 value_loss=1.035297
[iter=19040] rollout_mean_bb=8.0011 policy_loss=-0.001108 value_loss=1.222966
[iter=19045] rollout_mean_bb=12.9483 policy_loss=0.014466 value_loss=1.332378
[iter=19050] rollout_mean_bb=14.5433 policy_loss=0.004171 value_loss=1.176135
[iter=19055] rollout_mean_bb=-0.2767 policy_loss=-0.016148 value_loss=0.979367
[iter=19060] rollout_mean_bb=11.8124 policy_loss=-0.075083 value_loss=1.168339
[iter=19065] rollout_mean_bb=9.0117 policy_loss=-0.000894 value_loss=1.217670
[iter=19070] rollout_mean_bb=7.2909 policy_loss=0.019727 value_loss=1.029974
[iter=19075] rollout_mean_bb=4.3055 policy_loss=-0.002895 value_loss=1.172165
[iter=19080] rollout_mean_bb=9.3390 policy_loss=0.028773 value_loss=1.205393
[iter=19085] rollout_mean_bb=10.0545 policy_loss=0.000301 value_loss=1.115234
[iter=19090] rollout_mean_bb=8.8722 policy_loss=-0.003657 value_loss=1.238146
[iter=19095] rollout_mean_bb=8.7335 policy_loss=0.641390 value_loss=2.762071
[iter=19100] rollout_mean_bb=0.2358 policy_loss=-0.026832 value_loss=0.950632
[iter=19105] rollout_mean_bb=10.1225 policy_loss=-0.046642 value_loss=0.939785
[iter=19110] rollout_mean_bb=11.6818 policy_loss=0.136010 value_loss=1.229240
[iter=19115] rollout_mean_bb=6.2666 policy_loss=0.013006 value_loss=1.375873
[iter=19120] rollout_mean_bb=6.4245 policy_loss=-0.000173 value_loss=0.961313
[iter=19125] rollout_mean_bb=4.7008 policy_loss=0.000720 value_loss=1.148334
[iter=19130] rollout_mean_bb=10.4447 policy_loss=0.014154 value_loss=0.976220
[iter=19135] rollout_mean_bb=2.2134 policy_loss=0.003413 value_loss=1.476266
[iter=19140] rollout_mean_bb=11.7217 policy_loss=-0.033083 value_loss=1.341619
[iter=19145] rollout_mean_bb=3.7160 policy_loss=-0.073919 value_loss=1.135299
[iter=19150] rollout_mean_bb=13.9315 policy_loss=0.000941 value_loss=1.156322
[iter=19155] rollout_mean_bb=7.8140 policy_loss=-0.018474 value_loss=1.322117
[iter=19160] rollout_mean_bb=-0.6309 policy_loss=0.011375 value_loss=0.648857
[iter=19165] rollout_mean_bb=9.5853 policy_loss=0.001547 value_loss=1.068551
[iter=19170] rollout_mean_bb=9.4891 policy_loss=0.010509 value_loss=1.113853
[iter=19175] rollout_mean_bb=11.8602 policy_loss=0.003629 value_loss=1.289057
[iter=19180] rollout_mean_bb=11.5967 policy_loss=-0.014084 value_loss=1.397276
[iter=19185] rollout_mean_bb=10.0175 policy_loss=-0.001679 value_loss=1.002120
[iter=19190] rollout_mean_bb=12.7915 policy_loss=0.000055 value_loss=1.413395
[iter=19195] rollout_mean_bb=11.7245 policy_loss=-0.016575 value_loss=1.167609
[iter=19200] rollout_mean_bb=3.9132 policy_loss=0.054096 value_loss=1.114999
[iter=19205] rollout_mean_bb=8.2735 policy_loss=-0.011369 value_loss=0.940964
[iter=19210] rollout_mean_bb=9.3098 policy_loss=-0.013670 value_loss=1.353925
[iter=19215] rollout_mean_bb=11.6245 policy_loss=-0.078801 value_loss=1.234091
[iter=19220] rollout_mean_bb=11.4070 policy_loss=0.002716 value_loss=1.057559
[iter=19225] rollout_mean_bb=7.4617 policy_loss=-0.000111 value_loss=1.296894
[iter=19230] rollout_mean_bb=9.2764 policy_loss=-0.016328 value_loss=1.199665
[iter=19235] rollout_mean_bb=6.1372 policy_loss=-0.018970 value_loss=1.085183
[iter=19240] rollout_mean_bb=6.6706 policy_loss=0.005149 value_loss=1.231659
[iter=19245] rollout_mean_bb=10.0502 policy_loss=0.001537 value_loss=1.417405
[iter=19250] rollout_mean_bb=9.2466 policy_loss=0.334761 value_loss=1.807921
[iter=19255] rollout_mean_bb=10.9773 policy_loss=-0.150072 value_loss=1.319122
[iter=19260] rollout_mean_bb=12.5337 policy_loss=0.003854 value_loss=1.206395
[iter=19265] rollout_mean_bb=8.3108 policy_loss=-0.032748 value_loss=1.073793
[iter=19270] rollout_mean_bb=10.1173 policy_loss=0.003810 value_loss=1.313338
[iter=19275] rollout_mean_bb=14.6632 policy_loss=0.002389 value_loss=1.118400
[iter=19280] rollout_mean_bb=5.3715 policy_loss=0.002589 value_loss=1.265728
[iter=19285] rollout_mean_bb=4.7758 policy_loss=0.006644 value_loss=1.180415
[iter=19290] rollout_mean_bb=10.1004 policy_loss=-0.012245 value_loss=1.051107
[iter=19295] rollout_mean_bb=9.4784 policy_loss=0.008567 value_loss=1.317917
[iter=19300] rollout_mean_bb=5.6023 policy_loss=0.002737 value_loss=1.120227
[iter=19305] rollout_mean_bb=2.8040 policy_loss=0.022418 value_loss=1.189342
[iter=19310] rollout_mean_bb=7.4791 policy_loss=-0.045714 value_loss=1.220931
[iter=19315] rollout_mean_bb=7.3818 policy_loss=-0.006756 value_loss=1.218350
[iter=19320] rollout_mean_bb=9.8289 policy_loss=-0.009059 value_loss=1.168710
[iter=19325] rollout_mean_bb=8.3925 policy_loss=0.016326 value_loss=1.210002
[iter=19330] rollout_mean_bb=10.3916 policy_loss=-0.000452 value_loss=1.118744
[iter=19335] rollout_mean_bb=5.3750 policy_loss=-0.022064 value_loss=1.312204
[iter=19340] rollout_mean_bb=15.2098 policy_loss=0.000670 value_loss=1.305773
[iter=19345] rollout_mean_bb=8.8317 policy_loss=0.132567 value_loss=1.182880
[iter=19350] rollout_mean_bb=5.7972 policy_loss=-0.022206 value_loss=1.474993
