## SLURM PROLOG ###############################################################
##    Job ID : 391050
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2250
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Mon Feb 16 04:13:24 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (391050)
Node: gpu2250
Date: Mon Feb 16 04:13:25 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_evfirst_probe_h1_20k
  strict_abstraction=true
  wandb_group=stage_d_recovery_probe_a
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_evfirst_probe_h1_20k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.05, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.5, PPO_ENTROPY_COEF_START=0.005, PPO_ENTROPY_COEF_END=0.002, PPO_ENTROPY_DECAY_FRAC=0.5, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.75, RANDOM_OPPONENT_PROB=0.1, EXPLOIT_OPPONENT_PROB=0.15, EXPLOIT_OPPONENT_SET='always_call,pot_pressure,sticky_call', STYLE_TARGET_PROFILE_PATH='', STYLE_TARGET_USE_SOLVER_PROFILE=False, STYLE_REG_ENABLE=False, STYLE_REG_COEF_START=0.0, STYLE_REG_COEF_END=0.0, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=25, LR=6.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_AGGRESSION_GATE_ENABLE=True, EVAL_MIN_PRE_FLOP_RAISE_TOTAL_FREQ=0.08, EVAL_ENVELOPE_ENABLE=True, EVAL_MIN_PRE_FLOP_FOLD_FREQ=0.35, EVAL_MAX_PRE_FLOP_FOLD_FREQ=0.55, EVAL_MIN_PRE_FLOP_CALL_CHECK_FREQ=0.4, EVAL_MAX_PRE_FLOP_ALLIN_FREQ=0.05, EVAL_MIN_PRE_FLOP_ENTROPY_BITS=1.1, EVAL_MAX_PRE_FLOP_ENTROPY_BITS=1.8, EVAL_POT_MIX_GATE_ENABLE=False, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.55, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.05, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=1.1, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.4, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_evfirst_h1_20k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/winner_19k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_evfirst_probe_h1_20k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=19000, target_iterations=20000, device=cuda, run_id=20260216_211335
[iter=19005] rollout_mean_bb=2.3258 policy_loss=0.000657 value_loss=1.157868
[iter=19010] rollout_mean_bb=5.4869 policy_loss=-0.007020 value_loss=1.357563
[iter=19015] rollout_mean_bb=4.8066 policy_loss=-0.008644 value_loss=1.381194
[iter=19020] rollout_mean_bb=9.5300 policy_loss=-0.001974 value_loss=1.319768
[iter=19025] rollout_mean_bb=12.2914 policy_loss=-0.133765 value_loss=1.330054
[iter=19030] rollout_mean_bb=8.6984 policy_loss=-0.016288 value_loss=1.287119
[iter=19035] rollout_mean_bb=8.5563 policy_loss=0.039613 value_loss=0.899349
[iter=19040] rollout_mean_bb=5.0903 policy_loss=0.056213 value_loss=1.500924
[iter=19045] rollout_mean_bb=3.8555 policy_loss=0.001161 value_loss=1.178434
[iter=19050] rollout_mean_bb=7.5180 policy_loss=0.002255 value_loss=1.161294
[iter=19055] rollout_mean_bb=4.7353 policy_loss=0.013379 value_loss=1.303716
[iter=19060] rollout_mean_bb=11.3014 policy_loss=0.007157 value_loss=1.164013
[iter=19065] rollout_mean_bb=9.6032 policy_loss=-0.000160 value_loss=1.265747
[iter=19070] rollout_mean_bb=3.8311 policy_loss=0.040763 value_loss=0.736183
[iter=19075] rollout_mean_bb=3.8236 policy_loss=-0.003421 value_loss=0.717387
[iter=19080] rollout_mean_bb=1.6439 policy_loss=0.025937 value_loss=1.201972
[iter=19085] rollout_mean_bb=12.6857 policy_loss=0.025578 value_loss=1.133220
[iter=19090] rollout_mean_bb=9.8291 policy_loss=0.028425 value_loss=0.817051
[iter=19095] rollout_mean_bb=5.1402 policy_loss=-0.012573 value_loss=1.496965
[iter=19100] rollout_mean_bb=11.7896 policy_loss=0.023841 value_loss=1.446600
[iter=19105] rollout_mean_bb=13.0389 policy_loss=-0.111270 value_loss=1.244278
[iter=19110] rollout_mean_bb=10.7489 policy_loss=0.004069 value_loss=0.700937
[iter=19115] rollout_mean_bb=6.3194 policy_loss=0.001700 value_loss=1.318038
[iter=19120] rollout_mean_bb=4.8701 policy_loss=0.038966 value_loss=1.299932
[iter=19125] rollout_mean_bb=15.0401 policy_loss=0.098204 value_loss=1.241083
[iter=19130] rollout_mean_bb=9.6047 policy_loss=-0.000510 value_loss=1.182584
[iter=19135] rollout_mean_bb=9.9331 policy_loss=0.040601 value_loss=1.156971
[iter=19140] rollout_mean_bb=10.9319 policy_loss=-0.019962 value_loss=1.141123
[iter=19145] rollout_mean_bb=10.0956 policy_loss=-0.053768 value_loss=1.069702
[iter=19150] rollout_mean_bb=10.7275 policy_loss=0.016584 value_loss=1.325562
[iter=19155] rollout_mean_bb=7.4947 policy_loss=0.002501 value_loss=1.301545
[iter=19160] rollout_mean_bb=18.2629 policy_loss=0.003858 value_loss=1.094250
[iter=19165] rollout_mean_bb=14.2505 policy_loss=0.012910 value_loss=1.352312
[iter=19170] rollout_mean_bb=6.5203 policy_loss=-0.032219 value_loss=1.366267
[iter=19175] rollout_mean_bb=14.9863 policy_loss=0.004334 value_loss=1.424293
[iter=19180] rollout_mean_bb=5.1891 policy_loss=0.001132 value_loss=1.338850
[iter=19185] rollout_mean_bb=3.0310 policy_loss=-0.001505 value_loss=0.548991
[iter=19190] rollout_mean_bb=7.0871 policy_loss=0.003252 value_loss=1.423084
[iter=19195] rollout_mean_bb=8.8124 policy_loss=0.021666 value_loss=1.516445
[iter=19200] rollout_mean_bb=15.4505 policy_loss=0.021087 value_loss=0.949217
[iter=19205] rollout_mean_bb=5.3688 policy_loss=0.008156 value_loss=1.426826
[iter=19210] rollout_mean_bb=3.6142 policy_loss=0.012427 value_loss=1.153861
[iter=19215] rollout_mean_bb=0.7147 policy_loss=0.003460 value_loss=1.292885
[iter=19220] rollout_mean_bb=2.7156 policy_loss=0.006246 value_loss=1.185819
[iter=19225] rollout_mean_bb=9.9547 policy_loss=-0.012794 value_loss=1.285804
[iter=19230] rollout_mean_bb=6.2677 policy_loss=-0.055328 value_loss=1.225708
[iter=19235] rollout_mean_bb=8.0748 policy_loss=-0.001136 value_loss=1.583807
[iter=19240] rollout_mean_bb=10.5353 policy_loss=-0.004871 value_loss=1.375805
[iter=19245] rollout_mean_bb=12.3621 policy_loss=0.046974 value_loss=1.416252
[iter=19250] rollout_mean_bb=10.2388 policy_loss=-0.007941 value_loss=1.311205
[iter=19255] rollout_mean_bb=6.7913 policy_loss=-0.008747 value_loss=1.224237
[iter=19260] rollout_mean_bb=9.8795 policy_loss=0.166849 value_loss=1.400722
[iter=19265] rollout_mean_bb=4.1179 policy_loss=0.010701 value_loss=1.371793
[iter=19270] rollout_mean_bb=11.4707 policy_loss=-0.053150 value_loss=1.437230
[iter=19275] rollout_mean_bb=11.5942 policy_loss=0.000866 value_loss=1.215581
[iter=19280] rollout_mean_bb=5.5000 policy_loss=-0.019825 value_loss=1.190899
[iter=19285] rollout_mean_bb=11.1824 policy_loss=-0.000548 value_loss=1.195450
[iter=19290] rollout_mean_bb=8.8360 policy_loss=0.015628 value_loss=1.311916
[iter=19295] rollout_mean_bb=5.3907 policy_loss=0.001265 value_loss=1.273521
[iter=19300] rollout_mean_bb=10.6885 policy_loss=0.003399 value_loss=1.018425
[iter=19305] rollout_mean_bb=10.1327 policy_loss=-0.057886 value_loss=1.119198
[iter=19310] rollout_mean_bb=9.9027 policy_loss=0.007057 value_loss=1.145611
[iter=19315] rollout_mean_bb=5.4253 policy_loss=0.068430 value_loss=1.522608
[iter=19320] rollout_mean_bb=5.7466 policy_loss=-0.010417 value_loss=1.264344
[iter=19325] rollout_mean_bb=5.5905 policy_loss=0.015964 value_loss=1.168806
[iter=19330] rollout_mean_bb=4.0062 policy_loss=0.126814 value_loss=1.360998
[iter=19335] rollout_mean_bb=11.2334 policy_loss=0.003221 value_loss=1.567573
[iter=19340] rollout_mean_bb=12.1232 policy_loss=0.001406 value_loss=1.286621
[iter=19345] rollout_mean_bb=5.5654 policy_loss=-0.115345 value_loss=1.670093
[iter=19350] rollout_mean_bb=8.0784 policy_loss=0.006289 value_loss=1.508555
[iter=19355] rollout_mean_bb=7.9122 policy_loss=-0.010350 value_loss=1.135222
[iter=19360] rollout_mean_bb=5.2006 policy_loss=-0.069077 value_loss=1.343132
[iter=19365] rollout_mean_bb=2.6432 policy_loss=-0.104084 value_loss=1.538369
[iter=19370] rollout_mean_bb=12.7541 policy_loss=0.009917 value_loss=1.203162
[iter=19375] rollout_mean_bb=14.2620 policy_loss=0.021469 value_loss=1.291124
[iter=19380] rollout_mean_bb=15.0389 policy_loss=0.074390 value_loss=1.271686
[iter=19385] rollout_mean_bb=4.0502 policy_loss=-0.000374 value_loss=1.536318
