## SLURM PROLOG ###############################################################
##    Job ID : 391053
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2110
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Mon Feb 16 05:56:41 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (391053)
Node: gpu2110
Date: Mon Feb 16 05:56:41 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_evfirst_probe_h2_20k
  strict_abstraction=true
  wandb_group=stage_d_recovery_probe_b
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_evfirst_probe_h2_20k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=20000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.05, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.5, PPO_ENTROPY_COEF_START=0.005, PPO_ENTROPY_COEF_END=0.002, PPO_ENTROPY_DECAY_FRAC=0.5, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.65, RANDOM_OPPONENT_PROB=0.1, EXPLOIT_OPPONENT_PROB=0.25, EXPLOIT_OPPONENT_SET='always_call,pot_pressure,sticky_call,passive_caller', STYLE_TARGET_PROFILE_PATH='', STYLE_TARGET_USE_SOLVER_PROFILE=False, STYLE_REG_ENABLE=False, STYLE_REG_COEF_START=0.0, STYLE_REG_COEF_END=0.0, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=25, LR=6.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_AGGRESSION_GATE_ENABLE=True, EVAL_MIN_PRE_FLOP_RAISE_TOTAL_FREQ=0.08, EVAL_ENVELOPE_ENABLE=True, EVAL_MIN_PRE_FLOP_FOLD_FREQ=0.35, EVAL_MAX_PRE_FLOP_FOLD_FREQ=0.55, EVAL_MIN_PRE_FLOP_CALL_CHECK_FREQ=0.4, EVAL_MAX_PRE_FLOP_ALLIN_FREQ=0.05, EVAL_MIN_PRE_FLOP_ENTROPY_BITS=1.1, EVAL_MAX_PRE_FLOP_ENTROPY_BITS=1.8, EVAL_POT_MIX_GATE_ENABLE=False, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.55, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.05, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=1.1, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.4, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_evfirst_h2_20k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/winner_19k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_evfirst_probe_h2_20k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=19000, target_iterations=20000, device=cuda, run_id=20260216_225648
[iter=19005] rollout_mean_bb=1.7348 policy_loss=0.001328 value_loss=1.044173
[iter=19010] rollout_mean_bb=3.5085 policy_loss=0.223837 value_loss=1.726762
[iter=19015] rollout_mean_bb=12.6480 policy_loss=0.002555 value_loss=0.987366
[iter=19020] rollout_mean_bb=8.0324 policy_loss=0.019452 value_loss=0.956790
[iter=19025] rollout_mean_bb=9.4290 policy_loss=0.014501 value_loss=1.308224
[iter=19030] rollout_mean_bb=11.5035 policy_loss=-0.036119 value_loss=1.181384
[iter=19035] rollout_mean_bb=10.9403 policy_loss=0.096601 value_loss=0.995261
[iter=19040] rollout_mean_bb=6.7420 policy_loss=0.000529 value_loss=1.230105
[iter=19045] rollout_mean_bb=16.1237 policy_loss=-0.017951 value_loss=0.937476
[iter=19050] rollout_mean_bb=4.4089 policy_loss=0.205177 value_loss=1.465736
[iter=19055] rollout_mean_bb=5.8648 policy_loss=-0.003432 value_loss=1.047066
[iter=19060] rollout_mean_bb=0.4467 policy_loss=0.022461 value_loss=1.048127
[iter=19065] rollout_mean_bb=9.1089 policy_loss=-0.106431 value_loss=1.096880
[iter=19070] rollout_mean_bb=4.3097 policy_loss=-0.123241 value_loss=0.895611
[iter=19075] rollout_mean_bb=10.5410 policy_loss=-0.029235 value_loss=0.835734
[iter=19080] rollout_mean_bb=7.6758 policy_loss=-0.021673 value_loss=1.212790
[iter=19085] rollout_mean_bb=0.1844 policy_loss=0.004893 value_loss=1.258587
[iter=19090] rollout_mean_bb=2.2002 policy_loss=0.001775 value_loss=0.988748
[iter=19095] rollout_mean_bb=4.4932 policy_loss=0.039186 value_loss=0.695527
[iter=19100] rollout_mean_bb=6.0891 policy_loss=-0.091628 value_loss=0.945858
[iter=19105] rollout_mean_bb=9.3801 policy_loss=-0.040602 value_loss=1.022487
[iter=19110] rollout_mean_bb=9.1934 policy_loss=0.005774 value_loss=1.015160
[iter=19115] rollout_mean_bb=5.9405 policy_loss=0.069622 value_loss=1.161666
[iter=19120] rollout_mean_bb=12.1940 policy_loss=0.004168 value_loss=1.337940
[iter=19125] rollout_mean_bb=11.4593 policy_loss=0.007596 value_loss=1.527675
[iter=19130] rollout_mean_bb=6.0545 policy_loss=0.033216 value_loss=1.128661
[iter=19135] rollout_mean_bb=11.4260 policy_loss=-0.028237 value_loss=1.087698
[iter=19140] rollout_mean_bb=12.7149 policy_loss=0.050698 value_loss=1.077175
[iter=19145] rollout_mean_bb=9.7233 policy_loss=0.002467 value_loss=1.184768
[iter=19150] rollout_mean_bb=16.1263 policy_loss=0.010859 value_loss=1.071972
[iter=19155] rollout_mean_bb=5.4150 policy_loss=-0.030960 value_loss=0.918126
[iter=19160] rollout_mean_bb=2.6110 policy_loss=0.025126 value_loss=1.272344
[iter=19165] rollout_mean_bb=9.9481 policy_loss=-0.012872 value_loss=1.120033
[iter=19170] rollout_mean_bb=13.2400 policy_loss=0.015555 value_loss=1.196892
[iter=19175] rollout_mean_bb=7.7360 policy_loss=0.087035 value_loss=1.233945
[iter=19180] rollout_mean_bb=18.6652 policy_loss=0.002004 value_loss=1.250098
[iter=19185] rollout_mean_bb=13.9133 policy_loss=0.011505 value_loss=1.222098
[iter=19190] rollout_mean_bb=2.7122 policy_loss=0.019376 value_loss=1.359105
[iter=19195] rollout_mean_bb=7.0661 policy_loss=0.016071 value_loss=0.820125
[iter=19200] rollout_mean_bb=13.0140 policy_loss=0.012380 value_loss=1.293699
[iter=19205] rollout_mean_bb=6.0811 policy_loss=0.011858 value_loss=1.327505
[iter=19210] rollout_mean_bb=5.1878 policy_loss=0.002211 value_loss=1.092070
[iter=19215] rollout_mean_bb=8.9240 policy_loss=0.003629 value_loss=1.010844
[iter=19220] rollout_mean_bb=6.1829 policy_loss=0.188975 value_loss=1.576953
[iter=19225] rollout_mean_bb=8.8043 policy_loss=0.025483 value_loss=1.035389
[iter=19230] rollout_mean_bb=0.2832 policy_loss=0.035083 value_loss=1.223864
[iter=19235] rollout_mean_bb=7.6783 policy_loss=-0.064641 value_loss=0.975884
[iter=19240] rollout_mean_bb=4.3565 policy_loss=-0.028358 value_loss=0.593936
[iter=19245] rollout_mean_bb=10.5785 policy_loss=0.048898 value_loss=1.336789
[iter=19250] rollout_mean_bb=12.8182 policy_loss=0.001028 value_loss=1.252347
[iter=19255] rollout_mean_bb=7.6562 policy_loss=0.003510 value_loss=1.111250
[iter=19260] rollout_mean_bb=7.5322 policy_loss=-0.109828 value_loss=1.322228
[iter=19265] rollout_mean_bb=8.9990 policy_loss=0.016451 value_loss=1.211411
[iter=19270] rollout_mean_bb=7.5682 policy_loss=-0.012338 value_loss=1.145537
[iter=19275] rollout_mean_bb=3.1094 policy_loss=0.004072 value_loss=1.271665
[iter=19280] rollout_mean_bb=10.6065 policy_loss=-0.012974 value_loss=1.281590
[iter=19285] rollout_mean_bb=4.4333 policy_loss=0.036507 value_loss=1.107214
[iter=19290] rollout_mean_bb=9.5345 policy_loss=-0.049429 value_loss=1.099829
[iter=19295] rollout_mean_bb=9.2587 policy_loss=-0.040646 value_loss=1.311322
[iter=19300] rollout_mean_bb=0.8204 policy_loss=0.023802 value_loss=1.219613
[iter=19305] rollout_mean_bb=10.2916 policy_loss=0.064666 value_loss=1.184714
[iter=19310] rollout_mean_bb=7.7156 policy_loss=-0.007306 value_loss=0.888980
[iter=19315] rollout_mean_bb=9.1227 policy_loss=0.064126 value_loss=1.176892
[iter=19320] rollout_mean_bb=9.2107 policy_loss=-0.062683 value_loss=1.099754
[iter=19325] rollout_mean_bb=12.4680 policy_loss=0.061587 value_loss=1.169578
[iter=19330] rollout_mean_bb=16.6224 policy_loss=0.008317 value_loss=1.093123
[iter=19335] rollout_mean_bb=10.8075 policy_loss=-0.034272 value_loss=1.315770
[iter=19340] rollout_mean_bb=6.2190 policy_loss=-0.037564 value_loss=1.123889
[iter=19345] rollout_mean_bb=7.6983 policy_loss=-0.000809 value_loss=1.092624
[iter=19350] rollout_mean_bb=10.9806 policy_loss=-0.014247 value_loss=1.009981
[iter=19355] rollout_mean_bb=7.4289 policy_loss=-0.008504 value_loss=0.974427
[iter=19360] rollout_mean_bb=6.9849 policy_loss=0.018226 value_loss=1.327190
[iter=19365] rollout_mean_bb=10.4056 policy_loss=0.005759 value_loss=1.288696
[iter=19370] rollout_mean_bb=13.0390 policy_loss=0.043915 value_loss=1.105544
[iter=19375] rollout_mean_bb=12.2842 policy_loss=0.013708 value_loss=1.146231
[iter=19380] rollout_mean_bb=9.4049 policy_loss=-0.028490 value_loss=1.122513
[iter=19385] rollout_mean_bb=15.6122 policy_loss=-0.000794 value_loss=1.225839
