## SLURM PROLOG ###############################################################
##    Job ID : 391058
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2110
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Mon Feb 16 07:34:58 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (391058)
Node: gpu2110
Date: Mon Feb 16 07:34:58 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_evfirst_selected_21k_h1
  strict_abstraction=true
  wandb_group=stage_d_recovery_selected_21k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_evfirst_selected_21k_h1
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=21000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.05, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.5, PPO_ENTROPY_COEF_START=0.005, PPO_ENTROPY_COEF_END=0.002, PPO_ENTROPY_DECAY_FRAC=0.5, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.75, RANDOM_OPPONENT_PROB=0.1, EXPLOIT_OPPONENT_PROB=0.15, EXPLOIT_OPPONENT_SET='always_call,pot_pressure,sticky_call', STYLE_TARGET_PROFILE_PATH='', STYLE_TARGET_USE_SOLVER_PROFILE=False, STYLE_REG_ENABLE=False, STYLE_REG_COEF_START=0.0, STYLE_REG_COEF_END=0.0, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=25, LR=6.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_AGGRESSION_GATE_ENABLE=True, EVAL_MIN_PRE_FLOP_RAISE_TOTAL_FREQ=0.08, EVAL_ENVELOPE_ENABLE=True, EVAL_MIN_PRE_FLOP_FOLD_FREQ=0.35, EVAL_MAX_PRE_FLOP_FOLD_FREQ=0.55, EVAL_MIN_PRE_FLOP_CALL_CHECK_FREQ=0.4, EVAL_MAX_PRE_FLOP_ALLIN_FREQ=0.05, EVAL_MIN_PRE_FLOP_ENTROPY_BITS=1.1, EVAL_MAX_PRE_FLOP_ENTROPY_BITS=1.8, EVAL_POT_MIX_GATE_ENABLE=False, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.55, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.05, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=1.1, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.4, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_evfirst_selected_h1_21k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/stage_d/recovery/winner_20k.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_evfirst_selected_21k_h1', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=20000, target_iterations=21000, device=cuda, run_id=20260217_003504
[iter=20005] rollout_mean_bb=9.6788 policy_loss=0.001046 value_loss=1.300094
[iter=20010] rollout_mean_bb=6.4455 policy_loss=-0.037392 value_loss=1.244809
[iter=20015] rollout_mean_bb=11.1697 policy_loss=-0.054434 value_loss=1.589940
[iter=20020] rollout_mean_bb=7.8296 policy_loss=0.028881 value_loss=1.368832
[iter=20025] rollout_mean_bb=7.9629 policy_loss=0.003450 value_loss=1.350146
[iter=20030] rollout_mean_bb=3.9058 policy_loss=-0.004572 value_loss=1.362955
[iter=20035] rollout_mean_bb=11.7475 policy_loss=-0.030044 value_loss=1.353825
[iter=20040] rollout_mean_bb=7.4034 policy_loss=0.027138 value_loss=1.566458
[iter=20045] rollout_mean_bb=9.7475 policy_loss=0.022065 value_loss=1.282904
[iter=20050] rollout_mean_bb=6.5730 policy_loss=0.002435 value_loss=1.430935
[iter=20055] rollout_mean_bb=7.5213 policy_loss=-0.023400 value_loss=1.290703
[iter=20060] rollout_mean_bb=14.9901 policy_loss=0.022236 value_loss=1.290714
[iter=20065] rollout_mean_bb=13.0320 policy_loss=-0.019587 value_loss=1.368042
[iter=20070] rollout_mean_bb=8.9179 policy_loss=-0.006858 value_loss=1.184374
[iter=20075] rollout_mean_bb=6.7794 policy_loss=-0.004463 value_loss=1.103599
[iter=20080] rollout_mean_bb=1.3883 policy_loss=-0.008188 value_loss=1.686540
[iter=20085] rollout_mean_bb=9.0725 policy_loss=0.022927 value_loss=1.197442
[iter=20090] rollout_mean_bb=-8.1961 policy_loss=0.003184 value_loss=1.453248
[iter=20095] rollout_mean_bb=9.8998 policy_loss=0.044021 value_loss=1.597869
[iter=20100] rollout_mean_bb=12.0915 policy_loss=-0.049363 value_loss=1.154614
[iter=20105] rollout_mean_bb=5.8544 policy_loss=0.002766 value_loss=1.575373
[iter=20110] rollout_mean_bb=14.9386 policy_loss=-0.000188 value_loss=1.506287
[iter=20115] rollout_mean_bb=11.9089 policy_loss=0.025681 value_loss=1.632412
[iter=20120] rollout_mean_bb=10.5074 policy_loss=0.160722 value_loss=1.726978
[iter=20125] rollout_mean_bb=17.4215 policy_loss=0.002282 value_loss=1.253383
[iter=20130] rollout_mean_bb=16.2082 policy_loss=-0.002638 value_loss=1.411442
[iter=20135] rollout_mean_bb=3.0462 policy_loss=-0.002191 value_loss=1.254228
[iter=20140] rollout_mean_bb=6.0039 policy_loss=0.002486 value_loss=1.448351
[iter=20145] rollout_mean_bb=3.8490 policy_loss=-0.028737 value_loss=1.382793
[iter=20150] rollout_mean_bb=13.9138 policy_loss=0.008605 value_loss=1.267332
[iter=20155] rollout_mean_bb=10.0200 policy_loss=-0.000987 value_loss=1.424035
[iter=20160] rollout_mean_bb=10.8974 policy_loss=0.016520 value_loss=1.623188
[iter=20165] rollout_mean_bb=4.2186 policy_loss=0.021973 value_loss=1.535731
[iter=20170] rollout_mean_bb=12.1501 policy_loss=-0.059125 value_loss=1.291931
[iter=20175] rollout_mean_bb=4.7387 policy_loss=0.000711 value_loss=1.327516
[iter=20180] rollout_mean_bb=14.4670 policy_loss=0.004537 value_loss=1.210747
[iter=20185] rollout_mean_bb=11.8249 policy_loss=0.003417 value_loss=1.214863
[iter=20190] rollout_mean_bb=11.2040 policy_loss=-0.000285 value_loss=1.335038
[iter=20195] rollout_mean_bb=8.6616 policy_loss=-0.053373 value_loss=1.145835
[iter=20200] rollout_mean_bb=6.3414 policy_loss=-0.006853 value_loss=1.492476
[iter=20205] rollout_mean_bb=7.3400 policy_loss=0.000479 value_loss=1.531571
[iter=20210] rollout_mean_bb=20.4667 policy_loss=0.051334 value_loss=1.537165
[iter=20215] rollout_mean_bb=6.5266 policy_loss=0.001398 value_loss=1.288474
[iter=20220] rollout_mean_bb=9.2213 policy_loss=0.039265 value_loss=1.316822
[iter=20225] rollout_mean_bb=12.9339 policy_loss=0.003618 value_loss=1.239924
[iter=20230] rollout_mean_bb=8.6266 policy_loss=-0.005283 value_loss=1.510333
[iter=20235] rollout_mean_bb=12.3848 policy_loss=-0.162302 value_loss=1.423830
[iter=20240] rollout_mean_bb=7.2283 policy_loss=-0.078017 value_loss=1.212947
[iter=20245] rollout_mean_bb=10.6188 policy_loss=-0.001110 value_loss=1.482531
[iter=20250] rollout_mean_bb=13.1942 policy_loss=0.035958 value_loss=1.298954
[iter=20255] rollout_mean_bb=11.8115 policy_loss=0.020927 value_loss=1.415108
[iter=20260] rollout_mean_bb=13.5402 policy_loss=0.000875 value_loss=1.437448
[iter=20265] rollout_mean_bb=11.3263 policy_loss=0.011877 value_loss=1.465398
[iter=20270] rollout_mean_bb=6.9765 policy_loss=0.028379 value_loss=1.170849
[iter=20275] rollout_mean_bb=9.7956 policy_loss=-0.005446 value_loss=1.322418
[iter=20280] rollout_mean_bb=10.0443 policy_loss=0.001255 value_loss=1.537563
[iter=20285] rollout_mean_bb=8.0421 policy_loss=0.003120 value_loss=1.420183
[iter=20290] rollout_mean_bb=3.7582 policy_loss=0.000440 value_loss=1.167771
[iter=20295] rollout_mean_bb=18.8882 policy_loss=0.003890 value_loss=1.362562
[iter=20300] rollout_mean_bb=11.7288 policy_loss=-0.000146 value_loss=1.195907
[iter=20305] rollout_mean_bb=9.4160 policy_loss=0.007529 value_loss=1.139517
[iter=20310] rollout_mean_bb=19.5000 policy_loss=-0.008310 value_loss=1.289143
[iter=20315] rollout_mean_bb=14.3992 policy_loss=0.023960 value_loss=1.291960
[iter=20320] rollout_mean_bb=4.3666 policy_loss=0.034105 value_loss=1.534078
[iter=20325] rollout_mean_bb=13.3237 policy_loss=0.016059 value_loss=1.369756
[iter=20330] rollout_mean_bb=20.4949 policy_loss=-0.015550 value_loss=1.249196
[iter=20335] rollout_mean_bb=13.5648 policy_loss=-0.022761 value_loss=1.473354
[iter=20340] rollout_mean_bb=6.6833 policy_loss=-0.014220 value_loss=1.153510
[iter=20345] rollout_mean_bb=9.9901 policy_loss=0.049277 value_loss=1.272698
[iter=20350] rollout_mean_bb=8.0274 policy_loss=0.010117 value_loss=1.410220
[iter=20355] rollout_mean_bb=10.6203 policy_loss=0.001450 value_loss=1.455069
[iter=20360] rollout_mean_bb=2.5917 policy_loss=0.000518 value_loss=1.495924
[iter=20365] rollout_mean_bb=2.6104 policy_loss=0.458803 value_loss=1.578356
[iter=20370] rollout_mean_bb=1.3370 policy_loss=0.006279 value_loss=0.812143
[iter=20375] rollout_mean_bb=2.0156 policy_loss=0.019303 value_loss=0.789593
[iter=20380] rollout_mean_bb=5.6992 policy_loss=0.000169 value_loss=0.837254
[iter=20385] rollout_mean_bb=1.9154 policy_loss=0.000325 value_loss=1.092815
