## SLURM PROLOG ###############################################################
##    Job ID : 396656
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2110
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Mon Feb 16 11:05:09 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (396656)
Node: gpu2110
Date: Mon Feb 16 11:05:09 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_evfirst_interview_continue_24k
  strict_abstraction=true
  wandb_group=stage_d_interview_continue_24k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_evfirst_interview_continue_24k
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=24000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1152, SELF_PLAY_TEMPERATURE_START=1.04, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.45, PPO_ENTROPY_COEF_START=0.0042, PPO_ENTROPY_COEF_END=0.0022, PPO_ENTROPY_DECAY_FRAC=0.55, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.68, RANDOM_OPPONENT_PROB=0.1, EXPLOIT_OPPONENT_PROB=0.22, EXPLOIT_OPPONENT_SET='always_call,pot_pressure,sticky_call,passive_caller', STYLE_TARGET_PROFILE_PATH='', STYLE_TARGET_USE_SOLVER_PROFILE=False, STYLE_REG_ENABLE=False, STYLE_REG_COEF_START=0.0, STYLE_REG_COEF_END=0.0, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.0, SNAPSHOT_INTERVAL=25, LR=6e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_AGGRESSION_GATE_ENABLE=True, EVAL_MIN_PRE_FLOP_RAISE_TOTAL_FREQ=0.08, EVAL_ENVELOPE_ENABLE=True, EVAL_MIN_PRE_FLOP_FOLD_FREQ=0.35, EVAL_MAX_PRE_FLOP_FOLD_FREQ=0.55, EVAL_MIN_PRE_FLOP_CALL_CHECK_FREQ=0.4, EVAL_MAX_PRE_FLOP_ALLIN_FREQ=0.05, EVAL_MIN_PRE_FLOP_ENTROPY_BITS=1.1, EVAL_MAX_PRE_FLOP_ENTROPY_BITS=1.8, EVAL_POT_MIX_GATE_ENABLE=False, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.55, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.05, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=1.1, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.4, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_interview_ready_24k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/interview_ready/interview_ready_1.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_evfirst_interview_continue_24k', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=21000, target_iterations=24000, device=cuda, run_id=20260217_040516
[iter=21005] rollout_mean_bb=4.2472 policy_loss=-0.010090 value_loss=1.281412
[iter=21010] rollout_mean_bb=10.4035 policy_loss=0.014906 value_loss=1.381692
[iter=21015] rollout_mean_bb=6.3092 policy_loss=0.014522 value_loss=1.164129
[iter=21020] rollout_mean_bb=13.3649 policy_loss=0.000834 value_loss=1.226634
[iter=21025] rollout_mean_bb=16.8732 policy_loss=0.000643 value_loss=1.243365
[iter=21030] rollout_mean_bb=5.3592 policy_loss=-0.058040 value_loss=1.024252
[iter=21035] rollout_mean_bb=2.9482 policy_loss=0.037376 value_loss=1.375494
[iter=21040] rollout_mean_bb=11.6073 policy_loss=-0.034445 value_loss=1.223254
[iter=21045] rollout_mean_bb=11.3145 policy_loss=0.024597 value_loss=1.142049
[iter=21050] rollout_mean_bb=7.5373 policy_loss=-0.005554 value_loss=1.419106
[iter=21055] rollout_mean_bb=1.1533 policy_loss=-0.081358 value_loss=0.858308
[iter=21060] rollout_mean_bb=3.1572 policy_loss=-0.019429 value_loss=0.965173
[iter=21065] rollout_mean_bb=9.2579 policy_loss=-0.018895 value_loss=1.427027
[iter=21070] rollout_mean_bb=3.9053 policy_loss=-0.012262 value_loss=1.221654
[iter=21075] rollout_mean_bb=11.7933 policy_loss=0.007500 value_loss=1.243323
[iter=21080] rollout_mean_bb=6.5571 policy_loss=0.009460 value_loss=1.213511
[iter=21085] rollout_mean_bb=1.5740 policy_loss=-0.002112 value_loss=1.314894
[iter=21090] rollout_mean_bb=14.3631 policy_loss=-0.049218 value_loss=1.311875
[iter=21095] rollout_mean_bb=6.4965 policy_loss=0.009970 value_loss=1.264533
[iter=21100] rollout_mean_bb=9.4973 policy_loss=0.008277 value_loss=1.364128
[iter=21105] rollout_mean_bb=10.6375 policy_loss=0.002155 value_loss=1.308278
[iter=21110] rollout_mean_bb=4.8774 policy_loss=-0.006208 value_loss=1.188826
[iter=21115] rollout_mean_bb=7.3579 policy_loss=-0.076395 value_loss=1.248389
[iter=21120] rollout_mean_bb=8.3214 policy_loss=-0.017170 value_loss=1.385279
[iter=21125] rollout_mean_bb=5.6016 policy_loss=-0.064972 value_loss=1.293843
[iter=21130] rollout_mean_bb=8.6796 policy_loss=-0.000391 value_loss=1.166287
[iter=21135] rollout_mean_bb=15.4776 policy_loss=0.001882 value_loss=1.477719
[iter=21140] rollout_mean_bb=10.5570 policy_loss=0.005552 value_loss=1.402626
[iter=21145] rollout_mean_bb=8.6594 policy_loss=-0.003834 value_loss=1.370096
[iter=21150] rollout_mean_bb=11.7162 policy_loss=0.010947 value_loss=1.333693
[iter=21155] rollout_mean_bb=14.5362 policy_loss=0.013433 value_loss=1.370913
[iter=21160] rollout_mean_bb=4.5129 policy_loss=0.002974 value_loss=1.231494
[iter=21165] rollout_mean_bb=17.0709 policy_loss=0.012015 value_loss=1.310801
[iter=21170] rollout_mean_bb=13.7336 policy_loss=0.013109 value_loss=1.480628
[iter=21175] rollout_mean_bb=3.9272 policy_loss=-0.002826 value_loss=1.429219
[iter=21180] rollout_mean_bb=10.7845 policy_loss=0.027593 value_loss=1.354942
[iter=21185] rollout_mean_bb=5.0097 policy_loss=0.101858 value_loss=0.683724
[iter=21190] rollout_mean_bb=4.9652 policy_loss=-0.018237 value_loss=0.903485
[iter=21195] rollout_mean_bb=5.9748 policy_loss=0.007256 value_loss=0.842997
[iter=21200] rollout_mean_bb=9.0784 policy_loss=0.006125 value_loss=0.922857
[iter=21205] rollout_mean_bb=1.4220 policy_loss=-0.007976 value_loss=0.937293
[iter=21210] rollout_mean_bb=-0.7941 policy_loss=-0.013455 value_loss=0.795707
[iter=21215] rollout_mean_bb=7.5744 policy_loss=-0.004920 value_loss=0.835749
[iter=21220] rollout_mean_bb=6.2986 policy_loss=0.017575 value_loss=0.738792
[iter=21225] rollout_mean_bb=2.4231 policy_loss=-0.023586 value_loss=0.834555
[iter=21230] rollout_mean_bb=3.8516 policy_loss=-0.004139 value_loss=0.912087
[iter=21235] rollout_mean_bb=1.8533 policy_loss=0.005892 value_loss=1.010564
[iter=21240] rollout_mean_bb=2.9875 policy_loss=-0.000681 value_loss=0.906517
[iter=21245] rollout_mean_bb=6.0902 policy_loss=0.019448 value_loss=0.895860
[iter=21250] rollout_mean_bb=2.9467 policy_loss=0.003729 value_loss=0.904622
[iter=21255] rollout_mean_bb=1.7860 policy_loss=0.006692 value_loss=0.858162
[iter=21260] rollout_mean_bb=2.3443 policy_loss=-0.013231 value_loss=0.814734
[iter=21265] rollout_mean_bb=-4.1446 policy_loss=-0.036380 value_loss=0.919785
[iter=21270] rollout_mean_bb=-0.8865 policy_loss=0.084018 value_loss=0.854626
[iter=21275] rollout_mean_bb=2.2496 policy_loss=-0.052181 value_loss=0.911360
[iter=21280] rollout_mean_bb=2.5599 policy_loss=0.013910 value_loss=0.766516
[iter=21285] rollout_mean_bb=3.7454 policy_loss=0.000942 value_loss=0.790466
[iter=21290] rollout_mean_bb=1.8512 policy_loss=-0.004417 value_loss=0.919730
[iter=21295] rollout_mean_bb=0.3119 policy_loss=-0.012207 value_loss=0.678404
[iter=21300] rollout_mean_bb=3.7624 policy_loss=-0.005680 value_loss=0.789711
[iter=21305] rollout_mean_bb=-0.4463 policy_loss=0.046627 value_loss=0.673445
[iter=21310] rollout_mean_bb=0.6275 policy_loss=0.023766 value_loss=0.719872
[iter=21315] rollout_mean_bb=1.8201 policy_loss=0.011194 value_loss=0.939955
[iter=21320] rollout_mean_bb=0.1639 policy_loss=-0.001920 value_loss=0.857508
[iter=21325] rollout_mean_bb=-0.1540 policy_loss=0.001219 value_loss=0.813749
[iter=21330] rollout_mean_bb=1.2525 policy_loss=0.016331 value_loss=0.800108
[iter=21335] rollout_mean_bb=1.9454 policy_loss=0.003207 value_loss=0.861420
[iter=21340] rollout_mean_bb=5.4426 policy_loss=-0.000963 value_loss=0.726108
[iter=21345] rollout_mean_bb=2.0825 policy_loss=0.003657 value_loss=0.726748
[iter=21350] rollout_mean_bb=4.5448 policy_loss=0.002445 value_loss=0.766419
[iter=21355] rollout_mean_bb=1.3984 policy_loss=0.019606 value_loss=0.936088
[iter=21360] rollout_mean_bb=2.5814 policy_loss=0.021053 value_loss=0.789088
[iter=21365] rollout_mean_bb=6.6494 policy_loss=0.012226 value_loss=0.799311
[iter=21370] rollout_mean_bb=8.5983 policy_loss=0.041933 value_loss=0.817522
[iter=21375] rollout_mean_bb=4.9651 policy_loss=0.014760 value_loss=0.810598
[iter=21380] rollout_mean_bb=5.2206 policy_loss=-0.011000 value_loss=0.562156
[iter=21385] rollout_mean_bb=2.8528 policy_loss=0.007811 value_loss=0.682390
