## SLURM PROLOG ###############################################################
##    Job ID : 401076
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2260
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Tue Feb 17 11:11:26 AM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (401076)
Node: gpu2260
Date: Tue Feb 17 11:11:26 AM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_evfirst_longrun_30k_guarded
  strict_abstraction=true
  wandb_group=stage_d_longrun_30k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_evfirst_longrun_30k_guarded
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=30000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.008, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1024, SELF_PLAY_TEMPERATURE_START=1.02, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.35, PPO_ENTROPY_COEF_START=0.0038, PPO_ENTROPY_COEF_END=0.0023, PPO_ENTROPY_DECAY_FRAC=0.4, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.75, RANDOM_OPPONENT_PROB=0.1, EXPLOIT_OPPONENT_PROB=0.15, EXPLOIT_OPPONENT_SET='always_call,pot_pressure,sticky_call,passive_caller', STYLE_TARGET_PROFILE_PATH='', STYLE_TARGET_USE_SOLVER_PROFILE=False, STYLE_REG_ENABLE=False, STYLE_REG_COEF_START=0.0, STYLE_REG_COEF_END=0.0, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=20, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=20, LR=6e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=500, EVAL_EPISODES=300, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=2000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=2000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=True, EVAL_AGGRESSION_GATE_ENABLE=True, EVAL_MIN_PRE_FLOP_RAISE_TOTAL_FREQ=0.08, EVAL_ENVELOPE_ENABLE=True, EVAL_MIN_PRE_FLOP_FOLD_FREQ=0.35, EVAL_MAX_PRE_FLOP_FOLD_FREQ=0.55, EVAL_MIN_PRE_FLOP_CALL_CHECK_FREQ=0.4, EVAL_MAX_PRE_FLOP_ALLIN_FREQ=0.05, EVAL_MIN_PRE_FLOP_ENTROPY_BITS=1.1, EVAL_MAX_PRE_FLOP_ENTROPY_BITS=1.8, EVAL_POT_MIX_GATE_ENABLE=True, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=True, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.47, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_stage_d_longrun_30k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/snapshots/interview_ready/interview_ready_1.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_evfirst_longrun_30k_guarded', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=21000, target_iterations=30000, device=cuda, run_id=20260217_161142
[iter=21005] rollout_mean_bb=12.6872 policy_loss=0.044967 value_loss=1.385450
[iter=21010] rollout_mean_bb=14.0854 policy_loss=-0.031524 value_loss=1.033235
[iter=21015] rollout_mean_bb=9.2701 policy_loss=-0.025140 value_loss=1.182530
[iter=21020] rollout_mean_bb=14.5971 policy_loss=-0.032105 value_loss=1.346449
[iter=21025] rollout_mean_bb=5.6639 policy_loss=-0.017970 value_loss=1.229977
[iter=21030] rollout_mean_bb=10.8231 policy_loss=0.000598 value_loss=1.469600
[iter=21035] rollout_mean_bb=17.8202 policy_loss=0.004254 value_loss=1.331786
[iter=21040] rollout_mean_bb=10.9777 policy_loss=-0.047712 value_loss=1.450050
[iter=21045] rollout_mean_bb=10.9963 policy_loss=0.002384 value_loss=1.282810
[iter=21050] rollout_mean_bb=8.0484 policy_loss=0.003415 value_loss=1.238578
[iter=21055] rollout_mean_bb=11.7968 policy_loss=-0.005240 value_loss=1.545386
[iter=21060] rollout_mean_bb=11.5385 policy_loss=0.035725 value_loss=1.447166
[iter=21065] rollout_mean_bb=15.7644 policy_loss=-0.008419 value_loss=1.040185
[iter=21070] rollout_mean_bb=-0.5808 policy_loss=-0.033775 value_loss=1.526788
[iter=21075] rollout_mean_bb=8.2707 policy_loss=0.007738 value_loss=1.094830
[iter=21080] rollout_mean_bb=7.8223 policy_loss=0.003525 value_loss=1.126262
[iter=21085] rollout_mean_bb=7.6324 policy_loss=0.181568 value_loss=1.532135
[iter=21090] rollout_mean_bb=4.2065 policy_loss=0.010752 value_loss=1.191946
[iter=21095] rollout_mean_bb=10.3224 policy_loss=0.076319 value_loss=1.295748
[iter=21100] rollout_mean_bb=6.3542 policy_loss=-0.087060 value_loss=0.962345
[iter=21105] rollout_mean_bb=2.1631 policy_loss=-0.000736 value_loss=1.357782
[iter=21110] rollout_mean_bb=9.9313 policy_loss=-0.022506 value_loss=1.185802
[iter=21115] rollout_mean_bb=11.4941 policy_loss=-0.356957 value_loss=1.768399
[iter=21120] rollout_mean_bb=6.3905 policy_loss=0.002430 value_loss=1.199624
[iter=21125] rollout_mean_bb=2.4425 policy_loss=0.162353 value_loss=1.616397
[iter=21130] rollout_mean_bb=8.4458 policy_loss=-0.006965 value_loss=1.043211
[iter=21135] rollout_mean_bb=10.2121 policy_loss=-0.007873 value_loss=1.037375
[iter=21140] rollout_mean_bb=6.1829 policy_loss=0.012679 value_loss=1.535719
[iter=21145] rollout_mean_bb=4.6523 policy_loss=0.010411 value_loss=1.179798
[iter=21150] rollout_mean_bb=11.8391 policy_loss=0.006179 value_loss=1.318833
[iter=21155] rollout_mean_bb=14.0280 policy_loss=-0.005606 value_loss=1.191658
[iter=21160] rollout_mean_bb=7.5000 policy_loss=0.005846 value_loss=1.344324
[iter=21165] rollout_mean_bb=10.4538 policy_loss=0.035763 value_loss=1.321198
[iter=21170] rollout_mean_bb=8.8672 policy_loss=0.001153 value_loss=1.139162
[iter=21175] rollout_mean_bb=11.4795 policy_loss=0.000301 value_loss=1.152825
[iter=21180] rollout_mean_bb=16.0000 policy_loss=-0.025317 value_loss=1.296941
[iter=21185] rollout_mean_bb=2.4757 policy_loss=0.007078 value_loss=1.612283
[iter=21190] rollout_mean_bb=10.2382 policy_loss=0.001337 value_loss=1.365383
[iter=21195] rollout_mean_bb=9.9515 policy_loss=-0.013601 value_loss=1.189226
[iter=21200] rollout_mean_bb=15.6415 policy_loss=0.255662 value_loss=1.856047
[iter=21205] rollout_mean_bb=4.8517 policy_loss=-0.024102 value_loss=1.217907
[iter=21210] rollout_mean_bb=11.9846 policy_loss=0.000144 value_loss=1.269564
[iter=21215] rollout_mean_bb=6.6041 policy_loss=0.096501 value_loss=1.433071
[iter=21220] rollout_mean_bb=12.2699 policy_loss=-0.014309 value_loss=1.496014
[iter=21225] rollout_mean_bb=8.1158 policy_loss=0.027351 value_loss=1.483079
[iter=21230] rollout_mean_bb=14.3047 policy_loss=-0.000518 value_loss=1.010884
[iter=21235] rollout_mean_bb=9.1776 policy_loss=0.056865 value_loss=1.134260
[iter=21240] rollout_mean_bb=8.3409 policy_loss=0.098998 value_loss=1.051679
[iter=21245] rollout_mean_bb=-2.2758 policy_loss=0.001593 value_loss=1.006924
[iter=21250] rollout_mean_bb=5.7067 policy_loss=0.096511 value_loss=1.280472
[iter=21255] rollout_mean_bb=9.9511 policy_loss=-0.082979 value_loss=1.375063
[iter=21260] rollout_mean_bb=10.3387 policy_loss=0.032550 value_loss=1.451430
[iter=21265] rollout_mean_bb=10.6578 policy_loss=-0.000291 value_loss=1.119516
[iter=21270] rollout_mean_bb=6.7607 policy_loss=0.196415 value_loss=1.758331
[iter=21275] rollout_mean_bb=7.9279 policy_loss=0.007457 value_loss=1.196997
[iter=21280] rollout_mean_bb=10.1759 policy_loss=-0.011310 value_loss=1.104238
[iter=21285] rollout_mean_bb=7.3110 policy_loss=-0.034255 value_loss=0.920097
[iter=21290] rollout_mean_bb=10.0649 policy_loss=0.039645 value_loss=1.080440
[iter=21295] rollout_mean_bb=8.2428 policy_loss=0.008255 value_loss=1.061429
[iter=21300] rollout_mean_bb=8.3984 policy_loss=0.004243 value_loss=1.144027
[iter=21305] rollout_mean_bb=13.6388 policy_loss=0.010174 value_loss=1.226297
[iter=21310] rollout_mean_bb=7.3022 policy_loss=0.001730 value_loss=1.344002
[iter=21315] rollout_mean_bb=13.9981 policy_loss=-0.055238 value_loss=1.378456
[iter=21320] rollout_mean_bb=7.4155 policy_loss=0.002292 value_loss=1.172877
[iter=21325] rollout_mean_bb=7.7580 policy_loss=-0.010167 value_loss=0.931938
[iter=21330] rollout_mean_bb=7.0754 policy_loss=0.217245 value_loss=1.719696
[iter=21335] rollout_mean_bb=13.0869 policy_loss=-0.058217 value_loss=1.462005
[iter=21340] rollout_mean_bb=12.5923 policy_loss=0.007173 value_loss=1.305841
[iter=21345] rollout_mean_bb=10.7214 policy_loss=-0.022477 value_loss=1.005334
[iter=21350] rollout_mean_bb=13.6676 policy_loss=-0.009257 value_loss=1.375429
[iter=21355] rollout_mean_bb=0.8486 policy_loss=0.011514 value_loss=1.409505
[iter=21360] rollout_mean_bb=10.4134 policy_loss=0.003564 value_loss=1.407246
[iter=21365] rollout_mean_bb=10.3933 policy_loss=0.004053 value_loss=1.464017
[iter=21370] rollout_mean_bb=10.3189 policy_loss=0.046578 value_loss=1.443069
[iter=21375] rollout_mean_bb=10.8292 policy_loss=0.001970 value_loss=1.329879
[iter=21380] rollout_mean_bb=6.7380 policy_loss=0.002853 value_loss=1.279203
[iter=21385] rollout_mean_bb=8.4865 policy_loss=0.002746 value_loss=1.379010
