## SLURM PROLOG ###############################################################
##    Job ID : 432655
##  Job Name : ah_stage_d_fchpa_corrective_train
##  Nodelist : gpu2508
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Fri Feb 20 01:24:58 AM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_corrective_train (432655)
Node: gpu2508
Date: Fri Feb 20 01:24:58 AM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D corrective continuation training:
  config=quadro_stage_d_fchpa_longrun_rebalance_34k_continue
  strict_abstraction=true
  wandb_group=stage_d_longrun_rebalance_34k
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_longrun_rebalance_34k_continue
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=34000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.35, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.007, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=True, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, SCHEDULE_RELATIVE_TO_RESUME=True, MIN_ROLLOUT_TRANSITIONS=1536, SELF_PLAY_TEMPERATURE_START=1.01, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.25, PPO_ENTROPY_COEF_START=0.0032, PPO_ENTROPY_COEF_END=0.0018, PPO_ENTROPY_DECAY_FRAC=0.35, LEAGUE_RANDOM_OPPONENT_PROB=0.0, LEAGUE_OPPONENT_PROB=0.85, RANDOM_OPPONENT_PROB=0.07, EXPLOIT_OPPONENT_PROB=0.08, EXPLOIT_OPPONENT_SET='pot_pressure,sticky_call', STYLE_TARGET_PROFILE_PATH='', STYLE_TARGET_USE_SOLVER_PROFILE=False, STYLE_REG_ENABLE=False, STYLE_REG_COEF_START=0.0, STYLE_REG_COEF_END=0.0, STYLE_REG_DECAY_FRAC=0.6, STYLE_POT_HINGE_COEF=0.5, K_BEST=20, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.1, SNAPSHOT_INTERVAL=20, LR=5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=1000, EVAL_EPISODES=800, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=2000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=2000, EVAL_REQUIRE_BEHAVIOR_EXTENDED=False, EVAL_AGGRESSION_GATE_ENABLE=True, EVAL_MIN_PRE_FLOP_RAISE_TOTAL_FREQ=0.08, EVAL_ENVELOPE_ENABLE=True, EVAL_MIN_PRE_FLOP_FOLD_FREQ=0.35, EVAL_MAX_PRE_FLOP_FOLD_FREQ=0.55, EVAL_MIN_PRE_FLOP_CALL_CHECK_FREQ=0.4, EVAL_MAX_PRE_FLOP_ALLIN_FREQ=0.05, EVAL_MIN_PRE_FLOP_ENTROPY_BITS=1.1, EVAL_MAX_PRE_FLOP_ENTROPY_BITS=1.8, EVAL_POT_MIX_GATE_ENABLE=True, EVAL_POT_MIX_MIN_ABS=0.01, EVAL_POT_MIX_TARGET_FRACTION=0.6, EVAL_EXPLOIT_WEIGHT=0.2, EVAL_EXPLOIT_CLIP_BB100=500.0, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=True, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.03, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BEHAVIOR_GATE_MIN_CALL_CHECK_FREQ=0.47, BEHAVIOR_GATE_MIN_HALF_POT_FREQ=0.01, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, CHECKPOINT_SAVE_BEST_EVAL=True, CHECKPOINT_BEST_EVAL_PATH='checkpoints/best_eval_stage_d_longrun_rebalance_34k.pt', LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_longrun_rebalance_34k_continue', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=32700, target_iterations=34000, device=cuda, run_id=20260220_062514
[iter=32705] rollout_mean_bb=4.6845 policy_loss=0.012374 value_loss=0.651957
[iter=32710] rollout_mean_bb=5.3712 policy_loss=-0.024036 value_loss=0.880032
[iter=32715] rollout_mean_bb=4.6925 policy_loss=-0.012505 value_loss=0.827275
[iter=32720] rollout_mean_bb=9.2292 policy_loss=-0.039897 value_loss=0.866427
[iter=32725] rollout_mean_bb=8.6081 policy_loss=-0.032938 value_loss=0.786705
[iter=32730] rollout_mean_bb=7.2899 policy_loss=-0.013084 value_loss=0.822190
[iter=32735] rollout_mean_bb=2.7817 policy_loss=0.026733 value_loss=0.947715
[iter=32740] rollout_mean_bb=4.9888 policy_loss=0.014617 value_loss=0.865735
[iter=32745] rollout_mean_bb=10.7978 policy_loss=0.006594 value_loss=1.039385
[iter=32750] rollout_mean_bb=9.1919 policy_loss=-0.049720 value_loss=0.646964
[iter=32755] rollout_mean_bb=3.3230 policy_loss=-0.019357 value_loss=0.955572
[iter=32760] rollout_mean_bb=9.6077 policy_loss=0.009820 value_loss=0.790833
[iter=32765] rollout_mean_bb=8.5976 policy_loss=0.025995 value_loss=1.155010
[iter=32770] rollout_mean_bb=5.8782 policy_loss=-0.045504 value_loss=0.991020
[iter=32775] rollout_mean_bb=4.8924 policy_loss=-0.030998 value_loss=1.169219
[iter=32780] rollout_mean_bb=8.9765 policy_loss=-0.017165 value_loss=1.002181
[iter=32785] rollout_mean_bb=3.1172 policy_loss=0.003390 value_loss=0.913085
[iter=32790] rollout_mean_bb=9.0221 policy_loss=-0.014445 value_loss=0.975131
[iter=32795] rollout_mean_bb=8.4286 policy_loss=0.023429 value_loss=0.855679
[iter=32800] rollout_mean_bb=5.2821 policy_loss=0.021401 value_loss=1.077655
[iter=32805] rollout_mean_bb=6.5938 policy_loss=0.025247 value_loss=1.011155
[iter=32810] rollout_mean_bb=7.8545 policy_loss=-0.049517 value_loss=0.963612
[iter=32815] rollout_mean_bb=10.6991 policy_loss=0.042111 value_loss=1.048382
[iter=32820] rollout_mean_bb=7.0861 policy_loss=0.002777 value_loss=0.956233
[iter=32825] rollout_mean_bb=8.1036 policy_loss=0.039919 value_loss=0.979720
[iter=32830] rollout_mean_bb=6.0648 policy_loss=0.028464 value_loss=1.136446
[iter=32835] rollout_mean_bb=8.0987 policy_loss=0.007637 value_loss=1.103182
[iter=32840] rollout_mean_bb=8.8903 policy_loss=0.043300 value_loss=1.037072
[iter=32845] rollout_mean_bb=10.3895 policy_loss=0.074889 value_loss=1.335314
[iter=32850] rollout_mean_bb=7.0740 policy_loss=0.078183 value_loss=1.259692
[iter=32855] rollout_mean_bb=6.2119 policy_loss=0.023874 value_loss=1.118590
[iter=32860] rollout_mean_bb=4.5525 policy_loss=-0.003001 value_loss=1.084227
[iter=32865] rollout_mean_bb=9.0354 policy_loss=0.005849 value_loss=1.050653
[iter=32870] rollout_mean_bb=6.2120 policy_loss=0.010686 value_loss=1.170603
[iter=32875] rollout_mean_bb=6.3901 policy_loss=0.032575 value_loss=0.910678
[iter=32880] rollout_mean_bb=5.4342 policy_loss=-0.003089 value_loss=1.292637
[iter=32885] rollout_mean_bb=8.7418 policy_loss=-0.044055 value_loss=0.878350
[iter=32890] rollout_mean_bb=4.9727 policy_loss=-0.004410 value_loss=1.035000
[iter=32895] rollout_mean_bb=7.6092 policy_loss=0.008887 value_loss=1.196998
[iter=32900] rollout_mean_bb=6.4994 policy_loss=0.008867 value_loss=0.975312
[iter=32905] rollout_mean_bb=6.4587 policy_loss=0.051557 value_loss=1.283158
[iter=32910] rollout_mean_bb=8.6572 policy_loss=-0.075824 value_loss=1.013337
[iter=32915] rollout_mean_bb=5.8586 policy_loss=-0.049836 value_loss=1.153986
[iter=32920] rollout_mean_bb=5.0333 policy_loss=-0.037226 value_loss=1.243294
[iter=32925] rollout_mean_bb=11.0479 policy_loss=0.007982 value_loss=1.298741
[iter=32930] rollout_mean_bb=6.7708 policy_loss=0.006811 value_loss=0.995628
[iter=32935] rollout_mean_bb=12.7935 policy_loss=0.060237 value_loss=0.859958
[iter=32940] rollout_mean_bb=5.6859 policy_loss=0.033620 value_loss=1.019735
[iter=32945] rollout_mean_bb=8.0933 policy_loss=0.007860 value_loss=1.068032
[iter=32950] rollout_mean_bb=2.3241 policy_loss=0.032995 value_loss=1.352094
[iter=32955] rollout_mean_bb=10.5851 policy_loss=-0.025248 value_loss=1.001346
[iter=32960] rollout_mean_bb=9.4629 policy_loss=0.021104 value_loss=1.331682
[iter=32965] rollout_mean_bb=6.5938 policy_loss=0.014696 value_loss=1.146763
[iter=32970] rollout_mean_bb=8.2076 policy_loss=-0.103622 value_loss=1.000605
[iter=32975] rollout_mean_bb=7.0624 policy_loss=-0.011835 value_loss=1.148450
[iter=32980] rollout_mean_bb=8.7998 policy_loss=0.055519 value_loss=0.977878
[iter=32985] rollout_mean_bb=6.0503 policy_loss=-0.002018 value_loss=1.168622
[iter=32990] rollout_mean_bb=8.9768 policy_loss=0.082381 value_loss=1.057653
[iter=32995] rollout_mean_bb=7.8992 policy_loss=0.019168 value_loss=1.139941
[iter=33000] rollout_mean_bb=10.0716 policy_loss=-0.035467 value_loss=1.069864
[iter=33005] rollout_mean_bb=10.2327 policy_loss=0.003515 value_loss=1.102312
[iter=33010] rollout_mean_bb=12.2808 policy_loss=0.047771 value_loss=1.139987
[iter=33015] rollout_mean_bb=8.3678 policy_loss=0.048227 value_loss=1.122629
[iter=33020] rollout_mean_bb=9.3709 policy_loss=0.008059 value_loss=1.167735
[iter=33025] rollout_mean_bb=8.2650 policy_loss=0.029797 value_loss=1.245694
[iter=33030] rollout_mean_bb=10.8726 policy_loss=0.011517 value_loss=1.214657
[iter=33035] rollout_mean_bb=7.7208 policy_loss=0.040140 value_loss=1.195814
[iter=33040] rollout_mean_bb=3.5546 policy_loss=-0.010467 value_loss=1.149853
[iter=33045] rollout_mean_bb=9.6641 policy_loss=0.061640 value_loss=1.150433
[iter=33050] rollout_mean_bb=6.6723 policy_loss=-0.060326 value_loss=1.305067
[iter=33055] rollout_mean_bb=10.4447 policy_loss=-0.030477 value_loss=1.171876
[iter=33060] rollout_mean_bb=9.1455 policy_loss=-0.022491 value_loss=1.255370
[iter=33065] rollout_mean_bb=11.0687 policy_loss=-0.016113 value_loss=1.142154
[iter=33070] rollout_mean_bb=10.1269 policy_loss=0.053270 value_loss=1.240445
[iter=33075] rollout_mean_bb=6.6970 policy_loss=-0.031309 value_loss=1.548242
[iter=33080] rollout_mean_bb=10.3325 policy_loss=0.029045 value_loss=1.325039
[iter=33085] rollout_mean_bb=10.1539 policy_loss=0.038265 value_loss=1.303797
