## SLURM PROLOG ###############################################################
##    Job ID : 368390
##  Job Name : ah_stage_d_fchpa_train
##  Nodelist : gpu1414
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Fri Feb 13 12:43:30 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_train (368390)
Node: gpu1414
Date: Fri Feb 13 12:43:30 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D FCHPA training with config: quadro_stage_d_fchpa
Strict abstraction: true
W&B: mode=online, project=alpha-holdem-26, entity=, group=stage_d_fchpa
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=3000, ROLLOUT_EPISODES=256, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=384, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.5, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=0, target_iterations=3000, device=cuda, run_id=20260213_174346
[iter=5] rollout_mean_bb=-0.9867 policy_loss=-0.012971 value_loss=1.823727
[iter=10] rollout_mean_bb=8.6797 policy_loss=-0.005428 value_loss=1.798205
[iter=15] rollout_mean_bb=-1.1035 policy_loss=0.000044 value_loss=2.099123
[iter=20] rollout_mean_bb=3.4238 policy_loss=0.248457 value_loss=2.494810
[iter=25] rollout_mean_bb=-4.6953 policy_loss=-0.044524 value_loss=2.638369
[iter=30] rollout_mean_bb=-7.1035 policy_loss=-0.003924 value_loss=3.337258
[iter=35] rollout_mean_bb=-5.6934 policy_loss=0.009768 value_loss=3.097082
[iter=40] rollout_mean_bb=3.1699 policy_loss=0.003567 value_loss=3.433005
[iter=45] rollout_mean_bb=12.5488 policy_loss=-0.001180 value_loss=3.543852
[iter=50] rollout_mean_bb=6.4785 policy_loss=0.013550 value_loss=3.763808
[iter=55] rollout_mean_bb=21.5957 policy_loss=0.007218 value_loss=3.689275
[iter=60] rollout_mean_bb=0.9551 policy_loss=0.012553 value_loss=3.601886
[iter=65] rollout_mean_bb=-2.2129 policy_loss=0.012154 value_loss=3.384703
[iter=70] rollout_mean_bb=-3.0547 policy_loss=0.005546 value_loss=3.597540
[iter=75] rollout_mean_bb=2.2969 policy_loss=0.203086 value_loss=3.405491
[iter=80] rollout_mean_bb=-5.3047 policy_loss=-0.004717 value_loss=4.334101
[iter=85] rollout_mean_bb=-7.0273 policy_loss=0.002253 value_loss=4.386148
[iter=90] rollout_mean_bb=-18.8965 policy_loss=0.071884 value_loss=4.282890
[iter=95] rollout_mean_bb=5.1875 policy_loss=-0.001416 value_loss=4.005898
[iter=100] rollout_mean_bb=15.1035 policy_loss=0.038234 value_loss=3.581124
[iter=105] rollout_mean_bb=-6.1699 policy_loss=-0.075187 value_loss=4.174551
[iter=110] rollout_mean_bb=7.1348 policy_loss=-0.030007 value_loss=4.137193
[iter=115] rollout_mean_bb=0.5332 policy_loss=0.007735 value_loss=3.981414
[iter=120] rollout_mean_bb=6.2246 policy_loss=-0.055258 value_loss=3.945652
[iter=125] rollout_mean_bb=-4.9961 policy_loss=-0.008826 value_loss=4.320935
[iter=130] rollout_mean_bb=-2.8945 policy_loss=0.000516 value_loss=3.964233
[iter=135] rollout_mean_bb=18.8164 policy_loss=0.006914 value_loss=4.062991
[iter=140] rollout_mean_bb=12.5137 policy_loss=0.001491 value_loss=4.120627
[iter=145] rollout_mean_bb=13.2812 policy_loss=-0.010964 value_loss=3.946444
[iter=150] rollout_mean_bb=18.0508 policy_loss=0.003123 value_loss=3.817358
[iter=155] rollout_mean_bb=17.4746 policy_loss=-0.001812 value_loss=3.547466
[iter=160] rollout_mean_bb=-18.1309 policy_loss=-0.036645 value_loss=3.681208
[iter=165] rollout_mean_bb=-8.6016 policy_loss=0.001575 value_loss=4.113089
[iter=170] rollout_mean_bb=6.2422 policy_loss=0.011944 value_loss=4.119624
[iter=175] rollout_mean_bb=6.0684 policy_loss=-0.015590 value_loss=3.515026
[iter=180] rollout_mean_bb=-6.8770 policy_loss=-0.028821 value_loss=4.071686
[iter=185] rollout_mean_bb=-6.9902 policy_loss=-0.001171 value_loss=4.011639
[iter=190] rollout_mean_bb=-7.0352 policy_loss=0.000827 value_loss=3.975909
[iter=195] rollout_mean_bb=-3.1367 policy_loss=-0.004370 value_loss=4.212871
[iter=200] rollout_mean_bb=-1.5605 policy_loss=0.006439 value_loss=3.999985
[iter=205] rollout_mean_bb=3.0977 policy_loss=0.043702 value_loss=3.854256
[iter=210] rollout_mean_bb=6.2402 policy_loss=-0.000638 value_loss=3.932700
[iter=215] rollout_mean_bb=3.9004 policy_loss=-0.002729 value_loss=4.192750
[iter=220] rollout_mean_bb=8.6016 policy_loss=0.009127 value_loss=4.382377
[iter=225] rollout_mean_bb=-11.9021 policy_loss=0.005761 value_loss=4.311720
[iter=230] rollout_mean_bb=-13.0670 policy_loss=0.008646 value_loss=4.519912
[iter=235] rollout_mean_bb=-12.6329 policy_loss=0.002219 value_loss=4.500514
[iter=240] rollout_mean_bb=-8.9041 policy_loss=0.006572 value_loss=4.425586
[iter=245] rollout_mean_bb=2.1452 policy_loss=0.011643 value_loss=4.393823
