## SLURM PROLOG ###############################################################
##    Job ID : 371467
##  Job Name : ah_stage_d_fchpa_train
##  Nodelist : gpu2607
##      CPUs : 1
##  Mem/Node : 32768 MB
## Directory : /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
##   Job Started : Fri Feb 13 03:23:02 PM EST 2026
###############################################################################
Job: ah_stage_d_fchpa_train (371467)
Node: gpu2607
Date: Fri Feb 13 03:23:02 PM EST 2026
Submit dir: /oscar/home/smdesai/antigravity_poker/anitgravity-txhm
-------------------
Running Stage D FCHPA training with config: quadro_stage_d_fchpa_continue
Strict abstraction: true
W&B: mode=online, project=alpha-holdem-26, entity=, group=stage_d_fchpa_continue
Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Loaded Config: quadro_stage_d_fchpa_continue
Config(GAME_NAME='universal_poker', ENV_PRESET='hunl_fchpa', BETTING_ABSTRACTION='fchpa', STRICT_ABSTRACTION=True, PLAYERS=2, STACK_SIZE=20000, SMALL_BLIND=50, BIG_BLIND=100, MAX_ACTION_HISTORY=64, NUM_ACTORS=1, FULLGAME_CURRICULUM_ENABLE=True, FULLGAME_CURRICULUM_PHASE1_END=0.3, FULLGAME_CURRICULUM_PHASE2_END=0.7, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P1=1.0, FULLGAME_CURRICULUM_MAX_RAISE_POT_MULT_P2=2.5, EMBEDDING_DIM=64, HIDDEN_DIM=256, NUM_LAYERS_CARD=3, NUM_LAYERS_ACTION=2, DROPOUT=0.1, USE_LAYERNORM=True, USE_RESIDUAL=True, SCALAR_DIM=11, ALGO='ppo_ksp', CFR_ITERATIONS=9000, ROLLOUT_EPISODES=384, SELF_PLAY_GAMES=20, PPO_EPOCHS=2, PPO_MINIBATCH_SIZE=256, PPO_CLIP_EPS=0.2, PPO_GAMMA=0.995, PPO_GAE_LAMBDA=0.95, PPO_VALUE_COEF=0.25, PPO_ENTROPY_COEF=0.003, PPO_TARGET_KL=0.01, PPO_ADV_CLIP=5.0, PPO_ADAPTIVE_KL_ENABLE=False, PPO_ADAPTIVE_KL_HIGH=2.0, PPO_ADAPTIVE_KL_LOW=0.5, PPO_ADAPTIVE_LR_DECAY=0.5, PPO_ADAPTIVE_LR_GROWTH=1.05, VALUE_LOSS_TYPE='huber', VALUE_HUBER_DELTA=10.0, VALUE_TARGET_SCALE=20.0, EXPLAINED_VAR_VAR_FLOOR=0.0001, SKIP_NONFINITE_GRAD=True, MIN_ROLLOUT_TRANSITIONS=768, SELF_PLAY_TEMPERATURE_START=1.2, SELF_PLAY_TEMPERATURE_END=1.0, SELF_PLAY_TEMPERATURE_DECAY_FRAC=0.6, PPO_ENTROPY_COEF_START=0.01, PPO_ENTROPY_COEF_END=0.003, PPO_ENTROPY_DECAY_FRAC=0.7, LEAGUE_RANDOM_OPPONENT_PROB=0.2, K_BEST=16, LEAGUE_INIT_RATING=1200.0, LEAGUE_K_FACTOR=24.0, PFSP_BETA=1.0, SNAPSHOT_INTERVAL=25, LR=7.5e-05, WEIGHT_DECAY=1e-05, BATCH_SIZE=256, BUFFER_SIZE=500000, GRAD_CLIP=0.5, GRAD_ACCUM_STEPS=1, AMP=False, LR_SCHEDULER='none', EVAL_FREQ=0, EVAL_EPISODES=200, EVAL_BASELINE_ALGO='mccfr_external_sampling', EVAL_BASELINE_ITERS=5000, EVAL_BASELINE_SEEDS=3, EVAL_BASELINE_CACHE_MODE='process', EVAL_BASELINE_LABEL='MCCFR-ES', EVAL_CFR_ITERATIONS=5000, EVAL_ENABLE_RANDOM=True, EVAL_ENABLE_CFR=False, EVAL_ENABLE_NASH_CONV=False, BEHAVIOR_GATE_ENABLE=True, BEHAVIOR_GATE_MAX_FOLD_FREQ=0.78, BEHAVIOR_GATE_MAX_ALLIN_FREQ=0.06, BEHAVIOR_GATE_MIN_PRE_FLOP_ENTROPY_BITS=0.75, BB_SIZE=100.0, CHECKPOINT_FREQ=50, MAX_CHECKPOINTS=1, CHECKPOINT_SINGLE_FILE=True, CHECKPOINT_SAVE_OPTIMIZER=False, CHECKPOINT_SAVE_SCHEDULER=False, CHECKPOINT_SAVE_LEAGUE=False, CHECKPOINT_SAVE_EXTRA=False, LOG_INTERVAL=5, RUN_DIR='.', RESUME_FROM='checkpoints/latest.pt', RUN_ID='', CONFIG_NAME='quadro_stage_d_fchpa_continue', ARCHIVE_ROOT='artifacts/runs', WANDB_PROJECT='alpha-holdem-poker', WANDB_ENTITY='', WANDB_RUN_NAME='', WANDB_TAGS='', WANDB_REQUIRE_ONLINE=True, WANDB_MODE='online', OFFLINE_LOGGING=True, SEED=42, DEVICE='cuda')
Starting training: start_step=3000, target_iterations=9000, device=cuda, run_id=20260213_202312
[iter=3005] rollout_mean_bb=2.2984 policy_loss=0.022440 value_loss=0.556407
[iter=3010] rollout_mean_bb=3.8698 policy_loss=0.146296 value_loss=0.791707
[iter=3015] rollout_mean_bb=2.5014 policy_loss=0.007653 value_loss=0.487861
[iter=3020] rollout_mean_bb=3.5442 policy_loss=0.013526 value_loss=0.405324
[iter=3025] rollout_mean_bb=2.4521 policy_loss=-0.001798 value_loss=0.492900
[iter=3030] rollout_mean_bb=-0.1680 policy_loss=0.252181 value_loss=0.882453
[iter=3035] rollout_mean_bb=1.9450 policy_loss=0.004729 value_loss=0.465998
[iter=3040] rollout_mean_bb=-0.8011 policy_loss=0.000587 value_loss=0.650348
[iter=3045] rollout_mean_bb=3.6140 policy_loss=-0.002347 value_loss=0.610836
[iter=3050] rollout_mean_bb=2.7161 policy_loss=-0.015200 value_loss=0.509716
[iter=3055] rollout_mean_bb=4.0864 policy_loss=0.002435 value_loss=0.646701
[iter=3060] rollout_mean_bb=-0.1840 policy_loss=0.000129 value_loss=0.983951
[iter=3065] rollout_mean_bb=1.3399 policy_loss=0.003902 value_loss=0.696997
[iter=3070] rollout_mean_bb=3.5610 policy_loss=-0.001123 value_loss=0.840310
[iter=3075] rollout_mean_bb=4.0288 policy_loss=0.006052 value_loss=0.781255
[iter=3080] rollout_mean_bb=1.7172 policy_loss=-0.003994 value_loss=1.036109
[iter=3085] rollout_mean_bb=3.3545 policy_loss=0.036449 value_loss=0.858404
[iter=3090] rollout_mean_bb=9.1830 policy_loss=-0.007600 value_loss=0.910074
[iter=3095] rollout_mean_bb=-1.7346 policy_loss=0.002062 value_loss=0.770123
[iter=3100] rollout_mean_bb=3.5192 policy_loss=-0.002731 value_loss=0.956933
[iter=3105] rollout_mean_bb=4.5321 policy_loss=-0.017674 value_loss=0.986559
[iter=3110] rollout_mean_bb=4.6909 policy_loss=0.046911 value_loss=0.986583
[iter=3115] rollout_mean_bb=9.8725 policy_loss=-0.000925 value_loss=1.408125
[iter=3120] rollout_mean_bb=7.2303 policy_loss=-0.042293 value_loss=1.280266
[iter=3125] rollout_mean_bb=5.1452 policy_loss=-0.003746 value_loss=1.392870
[iter=3130] rollout_mean_bb=8.9360 policy_loss=-0.001178 value_loss=1.504130
[iter=3135] rollout_mean_bb=2.2201 policy_loss=-0.000388 value_loss=1.685798
[iter=3140] rollout_mean_bb=7.2594 policy_loss=-0.021614 value_loss=1.693821
[iter=3145] rollout_mean_bb=9.9232 policy_loss=0.017069 value_loss=1.407005
[iter=3150] rollout_mean_bb=1.4260 policy_loss=0.000955 value_loss=2.016244
[iter=3155] rollout_mean_bb=1.3132 policy_loss=0.040878 value_loss=2.736752
[iter=3160] rollout_mean_bb=-2.8047 policy_loss=-0.000571 value_loss=2.317303
[iter=3165] rollout_mean_bb=12.9178 policy_loss=-0.002479 value_loss=2.148066
[iter=3170] rollout_mean_bb=-2.4711 policy_loss=0.020465 value_loss=1.950123
[iter=3175] rollout_mean_bb=2.0850 policy_loss=0.008650 value_loss=2.253987
[iter=3180] rollout_mean_bb=1.3563 policy_loss=0.020116 value_loss=1.840252
[iter=3185] rollout_mean_bb=-3.9031 policy_loss=-0.004988 value_loss=1.635058
[iter=3190] rollout_mean_bb=5.1755 policy_loss=0.443182 value_loss=2.440715
[iter=3195] rollout_mean_bb=1.4349 policy_loss=0.427339 value_loss=2.201471
[iter=3200] rollout_mean_bb=2.9134 policy_loss=0.003733 value_loss=1.601293
[iter=3205] rollout_mean_bb=5.1581 policy_loss=-0.004919 value_loss=1.541957
[iter=3210] rollout_mean_bb=-1.3038 policy_loss=-0.000690 value_loss=1.741759
[iter=3215] rollout_mean_bb=11.3837 policy_loss=-0.003005 value_loss=1.818061
[iter=3220] rollout_mean_bb=3.4802 policy_loss=0.146612 value_loss=1.798364
[iter=3225] rollout_mean_bb=-1.1065 policy_loss=0.004694 value_loss=1.999864
[iter=3230] rollout_mean_bb=3.5694 policy_loss=-0.002373 value_loss=1.579464
[iter=3235] rollout_mean_bb=-0.0849 policy_loss=-0.124172 value_loss=1.283626
[iter=3240] rollout_mean_bb=4.1075 policy_loss=-0.001962 value_loss=1.514110
[iter=3245] rollout_mean_bb=-1.8165 policy_loss=0.007860 value_loss=0.993298
[iter=3250] rollout_mean_bb=11.2086 policy_loss=0.000827 value_loss=1.391595
[iter=3255] rollout_mean_bb=-1.9111 policy_loss=-0.007351 value_loss=0.951666
[iter=3260] rollout_mean_bb=1.2785 policy_loss=0.005947 value_loss=1.053794
[iter=3265] rollout_mean_bb=-0.9610 policy_loss=-0.003474 value_loss=1.283268
[iter=3270] rollout_mean_bb=2.9696 policy_loss=-0.034820 value_loss=1.295659
[iter=3275] rollout_mean_bb=6.5896 policy_loss=0.213930 value_loss=1.454391
[iter=3280] rollout_mean_bb=5.4207 policy_loss=-0.220224 value_loss=1.714767
[iter=3285] rollout_mean_bb=4.5172 policy_loss=0.168185 value_loss=1.528513
[iter=3290] rollout_mean_bb=5.8066 policy_loss=0.001378 value_loss=1.597728
[iter=3295] rollout_mean_bb=0.8708 policy_loss=-0.009810 value_loss=1.535220
[iter=3300] rollout_mean_bb=-1.8327 policy_loss=-0.001206 value_loss=1.427685
[iter=3305] rollout_mean_bb=-0.5010 policy_loss=0.012545 value_loss=1.733422
[iter=3310] rollout_mean_bb=1.1273 policy_loss=-0.000306 value_loss=1.504737
[iter=3315] rollout_mean_bb=2.5340 policy_loss=-0.003429 value_loss=1.120486
[iter=3320] rollout_mean_bb=9.4784 policy_loss=-0.004600 value_loss=1.604294
[iter=3325] rollout_mean_bb=5.9263 policy_loss=0.022248 value_loss=0.976409
[iter=3330] rollout_mean_bb=1.1471 policy_loss=0.003121 value_loss=1.182602
[iter=3335] rollout_mean_bb=0.3928 policy_loss=-0.238119 value_loss=1.537877
[iter=3340] rollout_mean_bb=4.7080 policy_loss=-0.084828 value_loss=1.384580
[iter=3345] rollout_mean_bb=-2.3688 policy_loss=-0.004828 value_loss=1.369217
[iter=3350] rollout_mean_bb=-0.8049 policy_loss=0.002536 value_loss=1.996643
[iter=3355] rollout_mean_bb=4.3035 policy_loss=-0.018381 value_loss=2.076982
[iter=3360] rollout_mean_bb=0.8758 policy_loss=0.044345 value_loss=1.814181
[iter=3365] rollout_mean_bb=-1.7530 policy_loss=-0.004521 value_loss=1.907188
[iter=3370] rollout_mean_bb=-3.3705 policy_loss=-0.000365 value_loss=2.137202
[iter=3375] rollout_mean_bb=3.9977 policy_loss=0.146932 value_loss=1.800422
[iter=3380] rollout_mean_bb=9.7393 policy_loss=0.012495 value_loss=1.648941
[iter=3385] rollout_mean_bb=1.8985 policy_loss=-0.014836 value_loss=1.716056
[iter=3390] rollout_mean_bb=6.2271 policy_loss=-0.002088 value_loss=1.323511
[iter=3395] rollout_mean_bb=-2.2912 policy_loss=-0.001864 value_loss=1.429948
[iter=3400] rollout_mean_bb=6.2607 policy_loss=-0.003288 value_loss=1.570457
[iter=3405] rollout_mean_bb=14.1632 policy_loss=0.003247 value_loss=1.598303
[iter=3410] rollout_mean_bb=-0.8283 policy_loss=-0.046424 value_loss=1.554869
[iter=3415] rollout_mean_bb=0.0755 policy_loss=-0.003158 value_loss=1.564043
[iter=3420] rollout_mean_bb=8.0772 policy_loss=-0.000467 value_loss=1.414792
[iter=3425] rollout_mean_bb=13.9616 policy_loss=0.013193 value_loss=1.538172
[iter=3430] rollout_mean_bb=0.4065 policy_loss=-0.006568 value_loss=1.784115
[iter=3435] rollout_mean_bb=1.7309 policy_loss=0.005307 value_loss=2.012379
[iter=3440] rollout_mean_bb=7.1155 policy_loss=0.001265 value_loss=1.566239
[iter=3445] rollout_mean_bb=5.1334 policy_loss=-0.003557 value_loss=1.473827
[iter=3450] rollout_mean_bb=-2.2805 policy_loss=-0.018332 value_loss=1.324778
[iter=3455] rollout_mean_bb=4.5247 policy_loss=-0.003745 value_loss=1.695624
[iter=3460] rollout_mean_bb=3.2093 policy_loss=-0.009242 value_loss=1.750015
[iter=3465] rollout_mean_bb=3.4200 policy_loss=0.015799 value_loss=1.734308
[iter=3470] rollout_mean_bb=6.6100 policy_loss=0.003078 value_loss=1.606399
[iter=3475] rollout_mean_bb=4.3585 policy_loss=-0.003804 value_loss=1.442178
[iter=3480] rollout_mean_bb=-2.9116 policy_loss=-0.003211 value_loss=1.783244
[iter=3485] rollout_mean_bb=5.4325 policy_loss=0.005525 value_loss=1.623423
[iter=3490] rollout_mean_bb=8.2473 policy_loss=-0.075635 value_loss=1.743101
